"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13003","Georgia","Atkinson",2015-01-08 09:00:00,0.75,2015-01-08 09:45:00,208,208,208,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13009","Georgia","Baldwin",2015-01-07 23:30:00,0.5,2015-01-08,377,377,377,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13009","Georgia","Baldwin",2015-01-08 00:15:00,2.75,2015-01-08 03:00:00,217,378,301.727272727273,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13009","Georgia","Baldwin",2015-01-08 03:15:00,2,2015-01-08 05:15:00,212,590,518.875,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13021","Georgia","Bibb",2015-01-08 06:00:00,1,2015-01-08 07:00:00,214,215,214.25,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13031","Georgia","Bulloch",2015-01-10 23:30:00,0.25,2015-01-10 23:45:00,4715,4715,4715,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13051","Georgia","Chatham",2015-01-08 06:15:00,0.75,2015-01-08 07:00:00,446,446,446,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13051","Georgia","Chatham",2015-01-08 15:00:00,3.5,2015-01-08 18:30:00,330,2157,562.5,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13051","Georgia","Chatham",2015-01-08 20:30:00,0.25,2015-01-08 20:45:00,234,234,234,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13051","Georgia","Chatham",2015-01-08 21:15:00,1.25,2015-01-08 22:30:00,214,247,232.8,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13057","Georgia","Cherokee",2015-01-07 23:45:00,2.5,2015-01-08 02:15:00,296,578,534.5,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13063","Georgia","Clayton",2015-01-08 12:15:00,1,2015-01-08 13:15:00,275,277,276.25,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13067","Georgia","Cobb",2015-01-08 10:45:00,4.75,2015-01-08 15:30:00,295,2730,1379.05263157895,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13067","Georgia","Cobb",2015-01-09 16:15:00,0.25,2015-01-09 16:30:00,271,271,271,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13089","Georgia","DeKalb",2015-01-07 23:30:00,1,2015-01-08 00:30:00,259,261,259.75,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13089","Georgia","DeKalb",2015-01-08 01:00:00,5.5,2015-01-08 06:30:00,265,380,300.818181818182,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13101","Georgia","Echols",2015-01-08 09:15:00,2.25,2015-01-08 11:30:00,581,581,581,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13103","Georgia","Effingham",2015-01-08 03:00:00,0.5,2015-01-08 03:30:00,526,526,526,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13115","Georgia","Floyd",2015-01-08 16:00:00,0.5,2015-01-08 16:30:00,209,209,209,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13121","Georgia","Fulton",2015-01-08 01:30:00,1.5,2015-01-08 03:00:00,475,662,550.666666666667,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13121","Georgia","Fulton",2015-01-08 05:15:00,0.75,2015-01-08 06:00:00,217,217,217,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13121","Georgia","Fulton",2015-01-08 12:45:00,1.5,2015-01-08 14:15:00,463,502,481.166666666667,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13121","Georgia","Fulton",2015-01-08 14:30:00,0.5,2015-01-08 15:00:00,490,491,490.5,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13121","Georgia","Fulton",2015-01-08 22:15:00,0.25,2015-01-08 22:30:00,254,254,254,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13123","Georgia","Gilmer",2015-01-08 04:00:00,0.5,2015-01-08 04:30:00,202,216,209,"Weather"
"Georgia",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter","13141","Georgia","Hancock",2015-01-08 03:30:00,4.75,2015-01-08 08:15:00,330,330,330,"Weather"
