"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33001","New Hampshire","Belknap",2014-11-03 05:30:00,0.25,2014-11-03 05:45:00,871,871,871,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33001","New Hampshire","Belknap",2014-11-03 06:00:00,0.75,2014-11-03 06:45:00,280,280,280,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33003","New Hampshire","Carroll",2014-11-02 21:45:00,2.5,2014-11-03 00:15:00,271,959,580.6,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33003","New Hampshire","Carroll",2014-11-03 01:45:00,0.5,2014-11-03 02:15:00,824,824,824,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33003","New Hampshire","Carroll",2014-11-03 03:45:00,0.5,2014-11-03 04:15:00,839,839,839,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33003","New Hampshire","Carroll",2014-11-03 04:45:00,0.5,2014-11-03 05:15:00,207,207,207,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33005","New Hampshire","Cheshire",2014-11-02 15:15:00,11.25,2014-11-03 02:30:00,212,1678,701.755555555556,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33005","New Hampshire","Cheshire",2014-11-03 02:45:00,0.5,2014-11-03 03:15:00,218,218,218,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33007","New Hampshire","Coos",2014-11-03 04:15:00,1.25,2014-11-03 05:30:00,243,243,243,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33009","New Hampshire","Grafton",2014-11-02 18:45:00,2.5,2014-11-02 21:15:00,219,517,324.6,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33009","New Hampshire","Grafton",2014-11-02 21:45:00,0.75,2014-11-02 22:30:00,253,347,315.666666666667,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33011","New Hampshire","Hillsborough",2014-11-02 14:45:00,1,2014-11-02 15:45:00,240,634,418.5,"Weather"
"New Hampshire",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm","33011","New Hampshire","Hillsborough",2014-11-02 16:15:00,8.5,2014-11-03 00:45:00,226,2067,746.823529411765,"Weather"
