"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Alabama",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",1039,"Alabama","Covington",2015-01-08 05:00:00,2,2015-01-08 07:00:00,723,723,723
"Alabama",2015-02-16 21:00:00,2015-02-18 14:00:00,"Severe Weather - Winter",1003,"Alabama","Baldwin",2015-02-19 22:15:00,1,2015-02-19 23:15:00,368,567,417.75
"Alabama",2015-02-16 21:00:00,2015-02-18 14:00:00,"Severe Weather - Winter",1085,"Alabama","Lowndes",2015-02-18 18:45:00,1.25,2015-02-18 20:00:00,405,414,410.4
"Alabama",2015-02-18 15:00:00,2015-02-20 09:00:00,"Severe Weather - Winter",1003,"Alabama","Baldwin",2015-02-19 22:15:00,1,2015-02-19 23:15:00,368,567,417.75
"Alabama",2015-02-18 15:00:00,2015-02-20 09:00:00,"Severe Weather - Winter",1003,"Alabama","Baldwin",2015-02-21 17:45:00,0.75,2015-02-21 18:30:00,312,315,313.333333333333
"Alabama",2015-02-18 15:00:00,2015-02-20 09:00:00,"Severe Weather - Winter",1085,"Alabama","Lowndes",2015-02-18 18:45:00,1.25,2015-02-18 20:00:00,405,414,410.4
"Alabama",2015-07-14 20:00:00,2015-07-15 09:23:00,"Severe Weather",1001,"Alabama","Autauga",2015-07-15 02:45:00,2.25,2015-07-15 05:00:00,381,1607,1451.22222222222
"Alabama",2015-07-14 20:00:00,2015-07-15 09:23:00,"Severe Weather",1021,"Alabama","Chilton",2015-07-15 02:30:00,2.5,2015-07-15 05:00:00,289,540,474.2
"Alabama",2015-07-14 20:00:00,2015-07-15 09:23:00,"Severe Weather",1021,"Alabama","Chilton",2015-07-15 22:30:00,1.25,2015-07-15 23:45:00,203,224,212
"Alabama",2015-07-14 20:00:00,2015-07-15 09:23:00,"Severe Weather",1039,"Alabama","Covington",2015-07-16 13:00:00,0.25,2015-07-16 13:15:00,352,352,352
"Alabama",2015-07-14 20:00:00,2015-07-15 09:23:00,"Severe Weather",1051,"Alabama","Elmore",2015-07-15 22:30:00,2,2015-07-16 00:30:00,271,633,361.25
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1001,"Alabama","Autauga",2016-06-17 21:30:00,6.75,2016-06-18 04:15:00,624,928,899.814814814815
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1003,"Alabama","Baldwin",2016-06-17 23:30:00,5.75,2016-06-18 05:15:00,287,1573,836
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1013,"Alabama","Butler",2016-06-17 22:45:00,5.5,2016-06-18 04:15:00,255,2484,1639.54545454545
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1013,"Alabama","Butler",2016-06-18 04:30:00,2,2016-06-18 06:30:00,1592,3184,1791
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1021,"Alabama","Chilton",2016-06-17 21:30:00,6.75,2016-06-18 04:15:00,821,2705,2559.96296296296
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1031,"Alabama","Coffee",2016-06-18,7,2016-06-18 07:00:00,231,1826,1197.89285714286
"Alabama",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",1035,"Alabama","Conecuh",2016-06-18 04:30:00,0.25,2016-06-18 04:45:00,358,358,358
