"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Arizona",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",4013,"Arizona","Maricopa",2015-08-05 22:30:00,0.5,2015-08-05 23:00:00,2341,2341,2341
"Arizona",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",4013,"Arizona","Maricopa",2015-08-06 03:30:00,1.25,2015-08-06 04:45:00,272,291,275.8
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4013,"Arizona","Maricopa",2016-09-26 17:15:00,1.5,2016-09-26 18:45:00,799,853,820.833333333333
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4013,"Arizona","Maricopa",2016-09-27 00:45:00,1,2016-09-27 01:45:00,1170,1170,1170
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4013,"Arizona","Maricopa",2016-09-27 16:15:00,2,2016-09-27 18:15:00,455,497,475.125
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4013,"Arizona","Maricopa",2016-09-28 01:45:00,0.25,2016-09-28 02:00:00,511,511,511
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4013,"Arizona","Maricopa",2016-09-28 06:15:00,1.75,2016-09-28 08:00:00,655,655,655
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4019,"Arizona","Pima",2016-09-26 20:30:00,2,2016-09-26 22:30:00,471,1657,782.875
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4019,"Arizona","Pima",2016-09-28 15:00:00,1.25,2016-09-28 16:15:00,218,218,218
"Arizona",2016-09-25 12:49:00,2016-09-25 18:20:00,"Vandalism",4021,"Arizona","Pinal",2016-09-25 18:00:00,0.25,2016-09-25 18:15:00,370,370,370
