"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5021,"Arkansas","Clay",2014-11-24 09:30:00,5.75,2014-11-24 15:15:00,456,1803,1301.47826086957
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5035,"Arkansas","Crittenden",2014-11-24 09:30:00,1.25,2014-11-24 10:45:00,755,755,755
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5051,"Arkansas","Garland",2014-11-24 06:15:00,0.75,2014-11-24 07:00:00,279,293,287.333333333333
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5069,"Arkansas","Jefferson",2014-11-25 18:15:00,1.25,2014-11-25 19:30:00,252,256,254
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5093,"Arkansas","Mississippi",2014-11-24 09:30:00,0.75,2014-11-24 10:15:00,301,301,301
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5119,"Arkansas","Pulaski",2014-11-26 10:45:00,1.25,2014-11-26 12:00:00,523,523,523
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5121,"Arkansas","Randolph",2014-11-24 10:30:00,5.25,2014-11-24 15:45:00,223,401,367.095238095238
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5121,"Arkansas","Randolph",2014-11-24 16:00:00,0.75,2014-11-24 16:45:00,229,229,229
"Arkansas",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",5131,"Arkansas","Sebastian",2014-11-26 16:45:00,6.25,2014-11-26 23:00:00,588,700,615.52
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5001,"Arkansas","Arkansas",2015-05-26 12:15:00,1.75,2015-05-26 14:00:00,388,409,398.857142857143
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5003,"Arkansas","Ashley",2015-05-26 04:15:00,8.5,2015-05-26 12:45:00,213,282,238.705882352941
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5019,"Arkansas","Clark",2015-05-26 01:00:00,7.25,2015-05-26 08:15:00,277,708,493.379310344828
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5019,"Arkansas","Clark",2015-05-26 18:30:00,0.75,2015-05-26 19:15:00,205,207,205.666666666667
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5023,"Arkansas","Cleburne",2015-05-26 03:30:00,8,2015-05-26 11:30:00,388,464,425.59375
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5023,"Arkansas","Cleburne",2015-05-28 01:45:00,0.25,2015-05-28 02:00:00,583,583,583
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5027,"Arkansas","Columbia",2015-05-26 02:30:00,1,2015-05-26 03:30:00,315,353,342.75
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5027,"Arkansas","Columbia",2015-05-26 11:45:00,1.25,2015-05-26 13:00:00,1316,2462,1778.2
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5039,"Arkansas","Dallas",2015-05-26 00:45:00,25.5,2015-05-27 02:15:00,296,1143,634.156862745098
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5041,"Arkansas","Desha",2015-05-27 11:15:00,1.25,2015-05-27 12:30:00,344,344,344
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5045,"Arkansas","Faulkner",2015-05-26 02:30:00,20.25,2015-05-26 22:45:00,274,1714,1081.7037037037
"Arkansas",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",5051,"Arkansas","Garland",2015-05-26 00:30:00,37.25,2015-05-27 13:45:00,899,8327,3165.14765100671
