"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6027,"California","Inyo",2014-11-20 17:30:00,0.5,2014-11-20 18:00:00,287,287,287,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6029,"California","Kern",2014-11-21 14:15:00,1,2014-11-21 15:15:00,379,531,493,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6037,"California","Los Angeles",2014-11-19 16:30:00,59.25,2014-11-22 03:45:00,216,4704,1803.44303797468,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6051,"California","Mono",2014-11-19 17:30:00,0.25,2014-11-19 17:45:00,332,332,332,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-19 16:45:00,8,2014-11-20 00:45:00,949,1328,1187.0625,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-20 01:00:00,0.5,2014-11-20 01:30:00,220,220,220,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-20 07:15:00,8.5,2014-11-20 15:45:00,223,709,455.735294117647,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-20 16:30:00,9.25,2014-11-21 01:45:00,310,2894,631.297297297297,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-21 07:00:00,4,2014-11-21 11:00:00,1861,2047,1974.25,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6059,"California","Orange",2014-11-21 16:45:00,7.75,2014-11-22 00:30:00,319,1273,642.161290322581,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6065,"California","Riverside",2014-11-19 16:15:00,14,2014-11-20 06:15:00,238,1388,791.946428571429,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6065,"California","Riverside",2014-11-20 15:00:00,12.5,2014-11-21 03:30:00,475,1848,1257.24,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6065,"California","Riverside",2014-11-21 16:45:00,12.25,2014-11-22 05:00:00,787,3337,1448.55102040816,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6065,"California","Riverside",2014-11-22 06:30:00,7.75,2014-11-22 14:15:00,218,1660,1426.90322580645,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6067,"California","Sacramento",2014-11-21 13:15:00,1,2014-11-21 14:15:00,1507,1508,1507.5,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-19 16:30:00,10.5,2014-11-20 03:00:00,308,1420,1021.52380952381,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-20 06:30:00,7.75,2014-11-20 14:15:00,228,703,502.709677419355,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-20 16:45:00,20.5,2014-11-21 13:15:00,337,1227,674.560975609756,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-21 14:15:00,1,2014-11-21 15:15:00,1057,1075,1066,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-21 16:45:00,8.5,2014-11-22 01:15:00,342,945,613.235294117647,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-22 01:30:00,0.75,2014-11-22 02:15:00,1220,1237,1225.66666666667,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6071,"California","San Bernardino",2014-11-22 07:15:00,3.25,2014-11-22 10:30:00,200,515,418.384615384615,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6073,"California","San Diego",2014-11-20 06:45:00,0.75,2014-11-20 07:30:00,563,563,563,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6073,"California","San Diego",2014-11-20 16:15:00,7,2014-11-20 23:15:00,400,844,574.642857142857,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6073,"California","San Diego",2014-11-21 08:15:00,4.25,2014-11-21 12:30:00,1677,1765,1689.88235294118,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6073,"California","San Diego",2014-11-21 17:15:00,1.25,2014-11-21 18:30:00,474,484,479.4,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6073,"California","San Diego",2014-11-22 06:00:00,0.5,2014-11-22 06:30:00,807,809,808,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6083,"California","Santa Barbara",2014-11-20 05:30:00,1,2014-11-20 06:30:00,244,244,244,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6083,"California","Santa Barbara",2014-11-20 06:45:00,4.5,2014-11-20 11:15:00,298,298,298,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6083,"California","Santa Barbara",2014-11-21 06:30:00,7.75,2014-11-21 14:15:00,444,444,444,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6083,"California","Santa Barbara",2014-11-21 16:45:00,7.5,2014-11-22 00:15:00,862,864,863,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6107,"California","Tulare",2014-11-19 16:30:00,0.75,2014-11-19 17:15:00,594,595,594.666666666667,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6107,"California","Tulare",2014-11-20 00:15:00,0.25,2014-11-20 00:30:00,238,238,238,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6107,"California","Tulare",2014-11-20 21:15:00,0.25,2014-11-20 21:30:00,313,313,313,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-19 18:00:00,2.5,2014-11-19 20:30:00,220,220,220,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-20 07:30:00,1,2014-11-20 08:30:00,257,257,257,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-20 18:00:00,4.25,2014-11-20 22:15:00,285,537,320.529411764706,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-21 01:00:00,2.25,2014-11-21 03:15:00,237,239,237.666666666667,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-21 03:30:00,1,2014-11-21 04:30:00,236,237,236.25,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6111,"California","Ventura",2014-11-21 16:45:00,1.25,2014-11-21 18:00:00,209,2086,1076.2,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6113,"California","Yolo",2014-11-21 14:15:00,0.5,2014-11-21 14:45:00,201,201,201,"Potential or Actual Physical Interference"
"California",2014-11-19 14:44:00,2014-11-19 14:45:00,"Suspected Physical Attack - Vandalism",6113,"California","Yolo",2014-11-22 07:45:00,2,2014-11-22 09:45:00,237,237,237,"Potential or Actual Physical Interference"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6019,"California","Fresno",2014-12-12 23:15:00,1.5,2014-12-13 00:45:00,686,688,686.333333333333,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6019,"California","Fresno",2014-12-13 11:00:00,28.25,2014-12-14 15:15:00,240,1681,670.902654867257,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6027,"California","Inyo",2014-12-12 10:45:00,0.5,2014-12-12 11:15:00,724,1525,1124.5,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6029,"California","Kern",2014-12-12 07:45:00,11,2014-12-12 18:45:00,1910,3960,3004.79545454545,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6029,"California","Kern",2014-12-12 19:15:00,6.5,2014-12-13 01:45:00,637,1786,841.576923076923,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6029,"California","Kern",2014-12-14 21:30:00,0.25,2014-12-14 21:45:00,1973,1973,1973,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6037,"California","Los Angeles",2014-12-11 16:30:00,12.75,2014-12-12 05:15:00,326,2227,1240.39215686275,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-11 16:00:00,13.25,2014-12-12 05:15:00,884,2864,1960.54716981132,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-12 12:15:00,0.25,2014-12-12 12:30:00,258,258,258,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-12 13:00:00,27.75,2014-12-13 16:45:00,266,3754,959.54054054054,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-13 17:15:00,7.75,2014-12-14 01:00:00,295,2420,699.451612903226,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-14 05:00:00,7.5,2014-12-14 12:30:00,432,3605,2279.86666666667,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6059,"California","Orange",2014-12-14 14:30:00,2.25,2014-12-14 16:45:00,221,1363,553.555555555556,"Distribution Interruption"
"California",2014-12-11 07:21:00,2014-12-11 21:53:00,"Distribution Interruption - Unknown Cause",6065,"California","Riverside",2014-12-11 17:00:00,0.75,2014-12-11 17:45:00,215,215,215,"Distribution Interruption"
