"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Colorado",2015-02-09 11:30:00,2015-02-09 13:15:00,"Sabotage",8123,"Colorado","Weld",2015-02-09 23:15:00,0.75,2015-02-10,768,768,768,"Potential or Actual Physical Interference"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8005,"Colorado","Arapahoe",2016-09-01 03:45:00,2,2016-09-01 05:45:00,298,298,298,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8005,"Colorado","Arapahoe",2016-09-02 03:30:00,0.5,2016-09-02 04:00:00,251,251,251,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8005,"Colorado","Arapahoe",2016-09-02 10:15:00,2.5,2016-09-02 12:45:00,1180,4468,1939,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8013,"Colorado","Boulder",2016-09-01 12:45:00,1,2016-09-01 13:45:00,252,428,384,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8019,"Colorado","Clear Creek",2016-09-02 00:15:00,0.25,2016-09-02 00:30:00,1541,1541,1541,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8045,"Colorado","Garfield",2016-08-31 16:30:00,0.25,2016-08-31 16:45:00,1845,1845,1845,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8047,"Colorado","Gilpin",2016-09-02,1.25,2016-09-02 01:15:00,770,865,789,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8075,"Colorado","Logan",2016-09-02 21:30:00,0.25,2016-09-02 21:45:00,282,282,282,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8077,"Colorado","Mesa",2016-09-02 12:30:00,0.5,2016-09-02 13:00:00,2061,5204,3632.5,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8077,"Colorado","Mesa",2016-09-03 06:45:00,1.25,2016-09-03 08:00:00,280,280,280,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8087,"Colorado","Morgan",2016-09-02 21:30:00,0.5,2016-09-02 22:00:00,216,216,216,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8097,"Colorado","Pitkin",2016-09-03 00:15:00,2,2016-09-03 02:15:00,385,385,385,"Equipment Issue"
"Colorado",2016-08-31 09:45:00,2016-08-31 09:55:00,"Transmission Interruption",8117,"Colorado","Summit",2016-09-01 23:30:00,3.25,2016-09-02 02:45:00,294,295,294.076923076923,"Equipment Issue"
"Colorado",2016-03-23 05:00:00,2016-03-25 23:59:00,"Weather",8001,"Colorado","Adams",2016-03-23 11:45:00,2.75,2016-03-23 14:30:00,300,14425,4671.27272727273,"Weather"
"Colorado",2016-03-23 05:00:00,2016-03-25 23:59:00,"Weather",8001,"Colorado","Adams",2016-03-23 14:45:00,45.75,2016-03-25 12:30:00,799,30136,8796.52459016393,"Weather"
