"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12001,"Florida","Alachua",2016-06-18 13:30:00,0.5,2016-06-18 14:00:00,264,264,264,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12001,"Florida","Alachua",2016-06-18 20:15:00,0.25,2016-06-18 20:30:00,231,231,231,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12001,"Florida","Alachua",2016-06-20 22:15:00,0.25,2016-06-20 22:30:00,536,536,536,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12005,"Florida","Bay",2016-06-18 02:00:00,2,2016-06-18 04:00:00,232,674,381.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12005,"Florida","Bay",2016-06-20 14:30:00,0.25,2016-06-20 14:45:00,212,212,212,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12009,"Florida","Brevard",2016-06-18 21:30:00,10.75,2016-06-19 08:15:00,262,4077,1683.6976744186,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12009,"Florida","Brevard",2016-06-19 12:45:00,0.5,2016-06-19 13:15:00,200,204,202,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-17 16:15:00,15.25,2016-06-18 07:30:00,204,9751,2333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 08:00:00,1.5,2016-06-18 09:30:00,334,334,334,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 09:45:00,2,2016-06-18 11:45:00,200,203,201.25,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 15:45:00,2.5,2016-06-18 18:15:00,386,1112,658.8,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 18:30:00,1,2016-06-18 19:30:00,2502,3773,3062.25,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 19:45:00,1.25,2016-06-18 21:00:00,276,315,296.4,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-18 21:15:00,17.5,2016-06-19 14:45:00,202,3757,764.928571428571,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-19 16:15:00,1.25,2016-06-19 17:30:00,203,333,280.2,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-19 20:30:00,0.75,2016-06-19 21:15:00,206,228,217,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-19 22:30:00,1.75,2016-06-20 00:15:00,208,515,409.571428571429,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-20 03:30:00,3.25,2016-06-20 06:45:00,385,2531,1539.53846153846,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-20 16:15:00,2,2016-06-20 18:15:00,210,476,290.75,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12011,"Florida","Broward",2016-06-20 20:00:00,2.5,2016-06-20 22:30:00,208,2106,424.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12015,"Florida","Charlotte",2016-06-19 08:15:00,1,2016-06-19 09:15:00,205,205,205,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12019,"Florida","Clay",2016-06-18 16:15:00,1.75,2016-06-18 18:00:00,257,335,303.142857142857,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12021,"Florida","Collier",2016-06-17 16:30:00,0.25,2016-06-17 16:45:00,239,239,239,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12023,"Florida","Columbia",2016-06-19 23:15:00,0.5,2016-06-19 23:45:00,241,242,241.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12023,"Florida","Columbia",2016-06-20 00:30:00,0.25,2016-06-20 00:45:00,206,206,206,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12027,"Florida","DeSoto",2016-06-19 21:15:00,0.25,2016-06-19 21:30:00,612,612,612,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12029,"Florida","Dixie",2016-06-20 14:30:00,2,2016-06-20 16:30:00,385,858,562.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12029,"Florida","Dixie",2016-06-20 16:45:00,0.25,2016-06-20 17:00:00,385,385,385,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12031,"Florida","Duval",2016-06-20 12:15:00,1.25,2016-06-20 13:30:00,5899,5904,5900.4,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12031,"Florida","Duval",2016-06-20 18:00:00,4.25,2016-06-20 22:15:00,2634,2696,2642.70588235294,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12031,"Florida","Duval",2016-06-20 22:45:00,0.25,2016-06-20 23:00:00,2640,2640,2640,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12033,"Florida","Escambia",2016-06-18 00:45:00,10.5,2016-06-18 11:15:00,301,5510,2051.47619047619,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12033,"Florida","Escambia",2016-06-20 05:15:00,0.75,2016-06-20 06:00:00,212,218,214,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12035,"Florida","Flagler",2016-06-19 03:15:00,0.75,2016-06-19 04:00:00,283,332,299.666666666667,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12037,"Florida","Franklin",2016-06-18 21:45:00,1.75,2016-06-18 23:30:00,590,591,590.714285714286,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12041,"Florida","Gilchrist",2016-06-20 16:30:00,0.25,2016-06-20 16:45:00,385,385,385,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12049,"Florida","Hardee",2016-06-19 21:00:00,0.75,2016-06-19 21:45:00,226,231,229.333333333333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12055,"Florida","Highlands",2016-06-18 20:15:00,4.25,2016-06-19 00:30:00,461,1340,797.588235294118,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12057,"Florida","Hillsborough",2016-06-18 08:45:00,1,2016-06-18 09:45:00,1520,1524,1521,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12057,"Florida","Hillsborough",2016-06-18 20:30:00,1.75,2016-06-18 22:15:00,225,314,276.428571428571,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12057,"Florida","Hillsborough",2016-06-19 01:30:00,1.5,2016-06-19 03:00:00,205,229,213.833333333333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12057,"Florida","Hillsborough",2016-06-20 12:45:00,1,2016-06-20 13:45:00,213,218,215.25,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12059,"Florida","Holmes",2016-06-18 01:00:00,5.75,2016-06-18 06:45:00,260,1246,801.130434782609,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12059,"Florida","Holmes",2016-06-18 07:00:00,0.25,2016-06-18 07:15:00,316,316,316,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12059,"Florida","Holmes",2016-06-18 07:45:00,0.25,2016-06-18 08:00:00,248,248,248,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12061,"Florida","Indian River",2016-06-17 18:45:00,1,2016-06-17 19:45:00,1047,2464,1714.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12061,"Florida","Indian River",2016-06-18 20:30:00,4,2016-06-19 00:30:00,257,3322,898.9375,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12061,"Florida","Indian River",2016-06-19 01:15:00,0.25,2016-06-19 01:30:00,298,298,298,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12061,"Florida","Indian River",2016-06-19 21:15:00,1.5,2016-06-19 22:45:00,501,1134,769.166666666667,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12063,"Florida","Jackson",2016-06-17 23:30:00,6.25,2016-06-18 05:45:00,355,1117,710.48,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12065,"Florida","Jefferson",2016-06-18 22:30:00,1.75,2016-06-19 00:15:00,285,482,442,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12067,"Florida","Lafayette",2016-06-17 21:00:00,0.25,2016-06-17 21:15:00,208,208,208,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12069,"Florida","Lake",2016-06-18 19:30:00,1,2016-06-18 20:30:00,1330,1332,1330.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12071,"Florida","Lee",2016-06-17 18:45:00,0.75,2016-06-17 19:30:00,259,270,266.333333333333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12071,"Florida","Lee",2016-06-17 20:15:00,0.5,2016-06-17 20:45:00,228,231,229.5,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12071,"Florida","Lee",2016-06-19 21:30:00,3.25,2016-06-20 00:45:00,204,337,251.538461538462,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12073,"Florida","Leon",2016-06-18 12:00:00,3.75,2016-06-18 15:45:00,221,669,430.133333333333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12073,"Florida","Leon",2016-06-18 23:45:00,0.5,2016-06-19 00:15:00,589,593,591,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12077,"Florida","Liberty",2016-06-17 20:45:00,1,2016-06-17 21:45:00,202,228,215,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12081,"Florida","Manatee",2016-06-18 09:30:00,1.25,2016-06-18 10:45:00,501,501,501,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12083,"Florida","Marion",2016-06-18 20:15:00,1.5,2016-06-18 21:45:00,200,302,260.333333333333,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12083,"Florida","Marion",2016-06-19 11:15:00,0.75,2016-06-19 12:00:00,220,225,221.666666666667,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12083,"Florida","Marion",2016-06-19 15:15:00,1,2016-06-19 16:15:00,277,278,277.75,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12085,"Florida","Martin",2016-06-18 21:30:00,1.5,2016-06-18 23:00:00,457,1541,992,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12086,"Florida","Miami-Dade",2016-06-17 16:00:00,10.25,2016-06-18 02:15:00,208,4524,1096.14634146341,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12086,"Florida","Miami-Dade",2016-06-18 02:30:00,4,2016-06-18 06:30:00,203,2904,421.875,"Weather"
"Florida",2016-06-17 15:40:00,2016-06-18 08:34:00,"Weather",12086,"Florida","Miami-Dade",2016-06-18 07:15:00,3.5,2016-06-18 10:45:00,224,361,245.571428571429,"Weather"
