"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Idaho",2014-11-21 20:29:00,2014-11-23 00:16:00,"Suspected Physical Attack - Vandalism",16049,"Idaho","Idaho",2014-11-22 18:15:00,2.5,2014-11-22 20:45:00,208,208,208
"Idaho",2014-11-21 20:29:00,2014-11-23 00:16:00,"Suspected Physical Attack - Vandalism",16049,"Idaho","Idaho",2014-11-23 05:00:00,8,2014-11-23 13:00:00,566,566,566
"Idaho",2014-11-21 20:29:00,2014-11-23 00:16:00,"Suspected Physical Attack - Vandalism",16055,"Idaho","Kootenai",2014-11-25 18:15:00,1.5,2014-11-25 19:45:00,216,216,216
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 03:00:00,9.5,2015-11-18 12:30:00,689,7832,4515.3947368421
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 12:45:00,2.25,2015-11-18 15:00:00,4379,8756,4942.44444444444
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 15:45:00,0.75,2015-11-18 16:30:00,3740,4684,4362.66666666667
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 16:45:00,1.25,2015-11-18 18:00:00,2720,5335,3243.4
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 18:15:00,0.5,2015-11-18 18:45:00,2720,5262,3991
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-18 19:00:00,5.5,2015-11-19 00:30:00,980,2646,2078.18181818182
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-19 00:45:00,1.25,2015-11-19 02:00:00,661,1525,981.2
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-19 02:15:00,2.5,2015-11-19 04:45:00,402,774,475.2
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16009,"Idaho","Benewah",2015-11-19 05:00:00,22,2015-11-20 03:00:00,220,837,538.636363636364
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-17 22:15:00,0.5,2015-11-17 22:45:00,320,759,539.5
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-17 23:00:00,1.25,2015-11-18 00:15:00,761,1584,932.8
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 00:30:00,8.5,2015-11-18 09:00:00,1076,6668,3631.70588235294
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 09:15:00,2.25,2015-11-18 11:30:00,3266,6557,3668.77777777778
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 11:45:00,0.75,2015-11-18 12:30:00,3259,6580,4376
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 12:45:00,2.25,2015-11-18 15:00:00,3293,6566,3659.22222222222
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 15:45:00,0.75,2015-11-18 16:30:00,3472,3480,3475.33333333333
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 16:45:00,1.25,2015-11-18 18:00:00,3495,7084,4242.6
"Idaho",2015-11-17 13:30:00,2015-11-17 13:30:00,"Severe Weather",16017,"Idaho","Bonner",2015-11-18 18:15:00,0.5,2015-11-18 18:45:00,3496,6998,5247
