"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17019,"Illinois","Champaign",2015-08-03 15:30:00,0.75,2015-08-03 16:15:00,248,249,248.333333333333,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17019,"Illinois","Champaign",2015-08-04 13:00:00,1,2015-08-04 14:00:00,276,276,276,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-04 10:30:00,0.5,2015-08-04 11:00:00,231,231,231,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-04 13:30:00,1.5,2015-08-04 15:00:00,531,816,719.666666666667,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-04 16:00:00,1.75,2015-08-04 17:45:00,257,766,447.142857142857,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-04 18:30:00,0.5,2015-08-04 19:00:00,204,204,204,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-04 21:00:00,3,2015-08-05,202,663,421.833333333333,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-05 00:30:00,0.5,2015-08-05 01:00:00,246,246,246,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-05 12:00:00,1,2015-08-05 13:00:00,1066,1069,1067.5,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-05 13:15:00,0.25,2015-08-05 13:30:00,1080,1080,1080,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-05 14:30:00,3.5,2015-08-05 18:00:00,219,526,345.142857142857,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17031,"Illinois","Cook",2015-08-05 18:30:00,7,2015-08-06 01:30:00,218,1676,645.5,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17043,"Illinois","DuPage",2015-08-03 04:30:00,13.5,2015-08-03 18:00:00,226,2905,964.518518518518,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17043,"Illinois","DuPage",2015-08-04 17:00:00,0.75,2015-08-04 17:45:00,202,202,202,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17043,"Illinois","DuPage",2015-08-04 21:30:00,0.5,2015-08-04 22:00:00,639,639,639,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17055,"Illinois","Franklin",2015-08-04 20:30:00,0.5,2015-08-04 21:00:00,3866,3866,3866,"Weather"
"Illinois",2015-08-03 00:30:00,2015-08-03 02:00:00,"Severe Weather",17087,"Illinois","Johnson",2015-08-03 14:00:00,0.5,2015-08-03 14:30:00,286,286,286,"Weather"
