"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20005,"Kansas","Atchison",2015-06-26 06:15:00,1.5,2015-06-26 07:45:00,224,225,224.833333333333
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20045,"Kansas","Douglas",2015-06-26 06:45:00,1.25,2015-06-26 08:00:00,322,424,397.4
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20045,"Kansas","Douglas",2015-06-26 08:15:00,0.25,2015-06-26 08:30:00,430,430,430
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20045,"Kansas","Douglas",2015-06-26 11:45:00,7.5,2015-06-26 19:15:00,249,342,285.133333333333
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20059,"Kansas","Franklin",2015-06-26 07:15:00,2.75,2015-06-26 10:00:00,215,533,454.545454545455
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20059,"Kansas","Franklin",2015-06-26 11:45:00,2.25,2015-06-26 14:00:00,297,340,325.444444444444
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20091,"Kansas","Johnson",2015-06-26 06:45:00,39.25,2015-06-27 22:00:00,1263,9713,4107.44585987261
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20091,"Kansas","Johnson",2015-06-27 22:15:00,25.75,2015-06-29,226,1205,528.582524271845
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20103,"Kansas","Leavenworth",2015-06-26 06:15:00,10.25,2015-06-26 16:30:00,211,7986,2244.73170731707
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20113,"Kansas","McPherson",2015-06-26 05:15:00,3.25,2015-06-26 08:30:00,392,392,392
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20121,"Kansas","Miami",2015-06-26 02:45:00,0.5,2015-06-26 03:15:00,582,582,582
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20121,"Kansas","Miami",2015-06-26 08:00:00,3.75,2015-06-26 11:45:00,205,330,267.533333333333
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20121,"Kansas","Miami",2015-06-26 14:00:00,1.25,2015-06-26 15:15:00,247,248,247.6
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20139,"Kansas","Osage",2015-06-26 12:45:00,0.5,2015-06-26 13:15:00,225,269,247
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20155,"Kansas","Reno",2015-06-26 04:15:00,1.75,2015-06-26 06:00:00,233,712,500.285714285714
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20173,"Kansas","Sedgwick",2015-06-26 10:30:00,1,2015-06-26 11:30:00,268,273,269.25
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20173,"Kansas","Sedgwick",2015-06-26 14:45:00,0.25,2015-06-26 15:00:00,206,206,206
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20173,"Kansas","Sedgwick",2015-06-26 15:30:00,0.75,2015-06-26 16:15:00,207,279,253.666666666667
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20177,"Kansas","Shawnee",2015-06-26 06:45:00,3,2015-06-26 09:45:00,232,483,361.916666666667
"Kansas",2015-06-26 02:00:00,2015-06-26 02:00:00,"Severe Weather",20209,"Kansas","Wyandotte",2015-06-26 06:30:00,39.5,2015-06-27 22:00:00,1393,13587,10033.170886076
"Kansas",2015-12-05 21:00:00,2015-12-05 22:30:00,"Vandalism",20051,"Kansas","Ellis",2015-12-06 17:00:00,4.5,2015-12-06 21:30:00,470,470,470
"Kansas",2015-12-05 21:00:00,2015-12-05 22:30:00,"Vandalism",20111,"Kansas","Lyon",2015-12-08 07:30:00,1,2015-12-08 08:30:00,433,433,433
"Kansas",2015-12-05 21:00:00,2015-12-05 22:30:00,"Vandalism",20173,"Kansas","Sedgwick",2015-12-07 18:00:00,0.75,2015-12-07 18:45:00,267,267,267
"Kansas",2015-12-05 21:00:00,2015-12-05 22:30:00,"Vandalism",20177,"Kansas","Shawnee",2015-12-06 17:45:00,2.25,2015-12-06 20:00:00,219,414,333.888888888889
"Kansas",2015-12-02 13:03:00,2015-12-03 12:29:00,"Vandalism",20037,"Kansas","Crawford",2015-12-02 20:45:00,0.25,2015-12-02 21:00:00,1338,1338,1338
"Kansas",2015-12-02 13:03:00,2015-12-03 12:29:00,"Vandalism",20091,"Kansas","Johnson",2015-12-04 19:30:00,1,2015-12-04 20:30:00,333,337,335.75
"Kansas",2015-12-02 13:03:00,2015-12-03 12:29:00,"Vandalism",20091,"Kansas","Johnson",2015-12-04 21:45:00,0.75,2015-12-04 22:30:00,228,241,232.666666666667
"Kansas",2015-12-02 13:03:00,2015-12-03 12:29:00,"Vandalism",20103,"Kansas","Leavenworth",2015-12-04 20:15:00,1,2015-12-04 21:15:00,1474,5219,4282
