"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22011,"Louisiana","Beauregard",2014-11-25 04:45:00,0.5,2014-11-25 05:15:00,200,200,200,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22015,"Louisiana","Bossier",2014-11-26 14:15:00,0.75,2014-11-26 15:00:00,238,257,250.666666666667,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22017,"Louisiana","Caddo",2014-11-26 20:15:00,0.25,2014-11-26 20:30:00,326,326,326,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22019,"Louisiana","Calcasieu",2014-11-26 01:45:00,0.25,2014-11-26 02:00:00,2774,2774,2774,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22031,"Louisiana","De Soto",2014-11-24 14:00:00,0.25,2014-11-24 14:15:00,213,213,213,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22031,"Louisiana","De Soto",2014-11-25 19:15:00,0.25,2014-11-25 19:30:00,948,948,948,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22033,"Louisiana","East Baton Rouge",2014-11-25 13:45:00,0.75,2014-11-25 14:30:00,203,203,203,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22045,"Louisiana","Iberia",2014-11-25 13:30:00,1,2014-11-25 14:30:00,222,683,454.75,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22045,"Louisiana","Iberia",2014-11-26 12:45:00,1.5,2014-11-26 14:15:00,239,421,358.5,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22051,"Louisiana","Jefferson",2014-11-24 16:30:00,0.25,2014-11-24 16:45:00,1017,1017,1017,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22051,"Louisiana","Jefferson",2014-11-24 17:00:00,0.25,2014-11-24 17:15:00,436,436,436,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22069,"Louisiana","Natchitoches",2014-11-26,2,2014-11-26 02:00:00,300,300,300,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-24 14:00:00,2.75,2014-11-24 16:45:00,324,670,357,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-24 17:00:00,0.75,2014-11-24 17:45:00,206,711,541,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-24 20:30:00,0.25,2014-11-24 20:45:00,365,365,365,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-24 21:15:00,0.25,2014-11-24 21:30:00,378,378,378,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-24 22:15:00,0.25,2014-11-24 22:30:00,211,211,211,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22071,"Louisiana","Orleans",2014-11-26 00:45:00,0.25,2014-11-26 01:00:00,355,355,355,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22083,"Louisiana","Richland",2014-11-25 17:00:00,0.25,2014-11-25 17:15:00,506,506,506,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22103,"Louisiana","St. Tammany",2014-11-24 06:15:00,1,2014-11-24 07:15:00,259,259,259,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22103,"Louisiana","St. Tammany",2014-11-25 17:15:00,0.75,2014-11-25 18:00:00,624,634,630.666666666667,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22105,"Louisiana","Tangipahoa",2014-11-24 16:15:00,0.5,2014-11-24 16:45:00,1973,1976,1974.5,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22109,"Louisiana","Terrebonne",2014-11-25 05:30:00,0.75,2014-11-25 06:15:00,1261,1261,1261,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22109,"Louisiana","Terrebonne",2014-11-25 08:00:00,0.25,2014-11-25 08:15:00,214,214,214,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22109,"Louisiana","Terrebonne",2014-11-25 09:00:00,0.5,2014-11-25 09:30:00,214,214,214,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22113,"Louisiana","Vermilion",2014-11-26 15:15:00,0.25,2014-11-26 15:30:00,1125,1125,1125,"Fuel Supply Issue"
"Louisiana",2014-11-24,2014-11-24,"Fuel Supply Emergency - Coal",22115,"Louisiana","Vernon",2014-11-24 05:15:00,1.25,2014-11-24 06:30:00,385,501,455.2,"Fuel Supply Issue"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22003,"Louisiana","Allen",2015-05-26 04:45:00,2.75,2015-05-26 07:30:00,280,3824,970.727272727273,"Weather"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22003,"Louisiana","Allen",2015-05-26 08:15:00,4.25,2015-05-26 12:30:00,246,374,351.294117647059,"Weather"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22005,"Louisiana","Ascension",2015-05-26 07:45:00,5.25,2015-05-26 13:00:00,448,1824,1039.85714285714,"Weather"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22005,"Louisiana","Ascension",2015-05-27 15:45:00,2.25,2015-05-27 18:00:00,234,1813,1181.66666666667,"Weather"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22005,"Louisiana","Ascension",2015-05-27 18:15:00,0.25,2015-05-27 18:30:00,236,236,236,"Weather"
"Louisiana",2015-05-25 20:30:00,2015-05-25 20:30:00,"Severe Weather",22007,"Louisiana","Assumption",2015-05-28 20:00:00,0.5,2015-05-28 20:30:00,1355,1355,1355,"Weather"
