"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23001,"Maine","Androscoggin",2014-11-02 14:15:00,0.75,2014-11-02 15:00:00,245,245,245
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23001,"Maine","Androscoggin",2014-11-02 15:15:00,11.25,2014-11-03 02:30:00,279,913,542.355555555556
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23001,"Maine","Androscoggin",2014-11-03 03:45:00,0.75,2014-11-03 04:30:00,271,273,272
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23001,"Maine","Androscoggin",2014-11-03 11:45:00,2,2014-11-03 13:45:00,333,341,337.375
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23001,"Maine","Androscoggin",2014-11-03 17:00:00,3,2014-11-03 20:00:00,226,310,302.083333333333
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23003,"Maine","Aroostook",2014-11-03 00:45:00,0.25,2014-11-03 01:00:00,789,789,789
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23003,"Maine","Aroostook",2014-11-03 16:15:00,0.75,2014-11-03 17:00:00,205,205,205
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23005,"Maine","Cumberland",2014-11-02 17:30:00,14,2014-11-03 07:30:00,224,3408,1320.875
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23005,"Maine","Cumberland",2014-11-03 11:00:00,4.25,2014-11-03 15:15:00,205,288,242.470588235294
"Maine",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",23005,"Maine","Cumberland",2014-11-03 17:30:00,1.5,2014-11-03 19:00:00,217,223,219.666666666667
