"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-03 05:00:00,0.75,2014-11-03 05:45:00,225,230,227,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-03 21:00:00,0.75,2014-11-03 21:45:00,455,464,458.333333333333,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-04 16:45:00,1,2014-11-04 17:45:00,720,1188,850.25,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-04 18:00:00,0.25,2014-11-04 18:15:00,718,718,718,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-05 06:15:00,4.25,2014-11-05 10:30:00,219,433,300.588235294118,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25003,"Massachusetts","Berkshire",2014-11-02 14:15:00,13.5,2014-11-03 03:45:00,203,3792,997.314814814815,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25003,"Massachusetts","Berkshire",2014-11-05 12:30:00,0.5,2014-11-05 13:00:00,1186,1187,1186.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25007,"Massachusetts","Dukes",2014-11-02 21:30:00,0.5,2014-11-02 22:00:00,442,447,444.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25009,"Massachusetts","Essex",2014-11-02 18:45:00,0.5,2014-11-02 19:15:00,211,211,211,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25009,"Massachusetts","Essex",2014-11-02 22:30:00,2,2014-11-03 00:30:00,490,2265,1295.75,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25009,"Massachusetts","Essex",2014-11-03 01:15:00,1,2014-11-03 02:15:00,210,232,220.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25009,"Massachusetts","Essex",2014-11-05 12:45:00,0.75,2014-11-05 13:30:00,290,294,292.666666666667,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25011,"Massachusetts","Franklin",2014-11-02 15:00:00,1,2014-11-02 16:00:00,560,657,584.75,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25011,"Massachusetts","Franklin",2014-11-02 16:15:00,0.5,2014-11-02 16:45:00,206,208,207,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25011,"Massachusetts","Franklin",2014-11-02 18:30:00,2.5,2014-11-02 21:00:00,200,213,205.2,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25015,"Massachusetts","Hampshire",2014-11-02 16:30:00,0.5,2014-11-02 17:00:00,200,200,200,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25015,"Massachusetts","Hampshire",2014-11-02 17:15:00,2.25,2014-11-02 19:30:00,244,2864,1250.66666666667,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-03 05:00:00,0.75,2014-11-03 05:45:00,203,207,205,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-03 15:45:00,6.75,2014-11-03 22:30:00,203,1091,545.296296296296,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-04 13:30:00,1.25,2014-11-04 14:45:00,340,392,353.2,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-04 15:15:00,2.5,2014-11-04 17:45:00,207,238,217.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-04 18:00:00,0.25,2014-11-04 18:15:00,202,202,202,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-04 18:30:00,0.75,2014-11-04 19:15:00,200,224,208.333333333333,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-04 19:30:00,2.75,2014-11-04 22:15:00,200,212,205,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25017,"Massachusetts","Middlesex",2014-11-05 03:45:00,0.5,2014-11-05 04:15:00,231,234,232.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25019,"Massachusetts","Nantucket",2014-11-02 15:30:00,1.25,2014-11-02 16:45:00,1082,1082,1082,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25021,"Massachusetts","Norfolk",2014-11-02 17:00:00,1.25,2014-11-02 18:15:00,765,864,841,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25021,"Massachusetts","Norfolk",2014-11-02 18:30:00,3,2014-11-02 21:30:00,342,1542,1015.5,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25021,"Massachusetts","Norfolk",2014-11-04 05:15:00,1.75,2014-11-04 07:00:00,266,267,266.142857142857,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25027,"Massachusetts","Worcester",2014-11-02 18:00:00,3.25,2014-11-02 21:15:00,267,500,349.384615384615,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25027,"Massachusetts","Worcester",2014-11-02 21:45:00,4.75,2014-11-03 02:30:00,214,1356,365.631578947368,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25027,"Massachusetts","Worcester",2014-11-03 05:30:00,6,2014-11-03 11:30:00,237,1138,814.25,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25027,"Massachusetts","Worcester",2014-11-03 14:00:00,0.25,2014-11-03 14:15:00,486,486,486,"Weather"
"Massachusetts",2014-11-02 13:46:00,2014-11-02 13:46:00,"Severe Weather - Winter Storm",25027,"Massachusetts","Worcester",2014-11-03 17:15:00,1.25,2014-11-03 18:30:00,512,531,520.2,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-26 23:45:00,1.75,2014-11-27 01:30:00,225,250,235.428571428571,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-27 02:30:00,1.75,2014-11-27 04:15:00,840,846,844,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-27 16:30:00,1.5,2014-11-27 18:00:00,343,344,343.5,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-29 02:45:00,2.75,2014-11-29 05:30:00,858,869,859.727272727273,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-29 10:15:00,1,2014-11-29 11:15:00,391,391,391,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-29 16:15:00,0.5,2014-11-29 16:45:00,1280,1285,1282.5,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-29 20:00:00,9,2014-11-30 05:00:00,251,1035,625.694444444444,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-30 14:30:00,1.5,2014-11-30 16:00:00,242,254,247.5,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-11-30 19:00:00,1.75,2014-11-30 20:45:00,220,267,240.285714285714,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25001,"Massachusetts","Barnstable",2014-12-01,0.25,2014-12-01 00:15:00,329,329,329,"Weather"
"Massachusetts",2014-11-26 17:50:00,2014-11-28 07:00:00,"Severe Weather - Winter Storm",25003,"Massachusetts","Berkshire",2014-11-26 18:15:00,55.5,2014-11-29 01:45:00,222,15335,4168.92342342342,"Weather"
