"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Mississippi",2015-05-12 00:40:00,2015-05-12 00:45:00,"Sabotage","28001","Mississippi","Adams",2015-05-12 17:30:00,1,2015-05-12 18:30:00,912,1747,1538.25
"Mississippi",2015-05-12 00:40:00,2015-05-12 00:45:00,"Sabotage","28047","Mississippi","Harrison",2015-05-13,1.75,2015-05-13 01:45:00,481,543,498.857142857143
"Mississippi",2015-05-12 00:40:00,2015-05-12 00:45:00,"Sabotage","28047","Mississippi","Harrison",2015-05-13 02:30:00,0.25,2015-05-13 02:45:00,484,484,484
"Mississippi",2015-05-12 00:40:00,2015-05-12 00:45:00,"Sabotage","28059","Mississippi","Jackson",2015-05-14 04:15:00,1.5,2015-05-14 05:45:00,1016,1018,1017.66666666667
"Mississippi",2015-05-12 00:40:00,2015-05-12 00:45:00,"Sabotage","28059","Mississippi","Jackson",2015-05-14 06:00:00,2,2015-05-14 08:00:00,600,601,600.5
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28001","Mississippi","Adams",2015-05-26 05:30:00,1,2015-05-26 06:30:00,252,301,278.25
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28027","Mississippi","Coahoma",2015-05-27 14:00:00,2.75,2015-05-27 16:45:00,571,1381,994.727272727273
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28047","Mississippi","Harrison",2015-05-26 11:15:00,0.75,2015-05-26 12:00:00,428,452,442
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28047","Mississippi","Harrison",2015-05-26 12:15:00,0.25,2015-05-26 12:30:00,211,211,211
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28049","Mississippi","Hinds",2015-05-26 07:15:00,9.75,2015-05-26 17:00:00,213,2990,913.102564102564
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28049","Mississippi","Hinds",2015-05-26 17:15:00,0.75,2015-05-26 18:00:00,233,238,236.333333333333
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28049","Mississippi","Hinds",2015-05-28 01:45:00,1.25,2015-05-28 03:00:00,466,2530,1495
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28049","Mississippi","Hinds",2015-05-29 19:45:00,3.5,2015-05-29 23:15:00,214,1043,580.214285714286
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28051","Mississippi","Holmes",2015-05-28 06:15:00,4.75,2015-05-28 11:00:00,218,346,333.368421052632
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28051","Mississippi","Holmes",2015-05-28 12:30:00,0.75,2015-05-28 13:15:00,204,213,207
"Mississippi",2015-05-26 05:30:00,2015-05-27 19:00:00,"Severe Weather","28053","Mississippi","Humphreys",2015-05-26 17:15:00,6.5,2015-05-26 23:45:00,475,1782,832.576923076923
