"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Missouri",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",29077,"Missouri","Greene",2015-01-08 03:00:00,1,2015-01-08 04:00:00,400,583,521.75,"Weather"
"Missouri",2015-12-10 21:25:00,2015-12-10 22:30:00,"System Operations",29047,"Missouri","Clay",2015-12-13 16:45:00,2.25,2015-12-13 19:00:00,202,218,207.333333333333,"System Operations"
"Missouri",2015-12-10 21:25:00,2015-12-10 22:30:00,"System Operations",29095,"Missouri","Jackson",2015-12-11 11:15:00,2.5,2015-12-11 13:45:00,204,1528,836.3,"System Operations"
"Missouri",2015-12-10 21:25:00,2015-12-10 22:30:00,"System Operations",29147,"Missouri","Nodaway",2015-12-13 01:30:00,0.5,2015-12-13 02:00:00,1169,1171,1170,"System Operations"
"Missouri",2015-12-10 21:25:00,2015-12-10 22:30:00,"System Operations",29217,"Missouri","Vernon",2015-12-13 10:30:00,3.25,2015-12-13 13:45:00,933,2103,1173.61538461538,"System Operations"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29021,"Missouri","Buchanan",2016-05-15 21:15:00,2,2016-05-15 23:15:00,253,253,253,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29031,"Missouri","Cape Girardeau",2016-05-17 05:15:00,1.25,2016-05-17 06:30:00,270,658,347.8,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29037,"Missouri","Cass",2016-05-16 12:45:00,1.25,2016-05-16 14:00:00,2854,2855,2854.6,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29077,"Missouri","Greene",2016-05-18,0.25,2016-05-18 00:15:00,212,212,212,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29095,"Missouri","Jackson",2016-05-17 02:45:00,1.5,2016-05-17 04:15:00,989,1911,1597.83333333333,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29097,"Missouri","Jasper",2016-05-15 14:15:00,1.75,2016-05-15 16:00:00,713,1044,996.714285714286,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29099,"Missouri","Jefferson",2016-05-17 23:00:00,2,2016-05-18 01:00:00,241,340,319.125,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29113,"Missouri","Lincoln",2016-05-17 06:45:00,1.75,2016-05-17 08:30:00,254,255,254.857142857143,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29145,"Missouri","Newton",2016-05-15 23:30:00,3.75,2016-05-16 03:15:00,746,1503,1452.53333333333,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29165,"Missouri","Platte",2016-05-17 15:30:00,0.75,2016-05-17 16:15:00,248,490,409,"Potential or Actual Physical Interference"
"Missouri",2016-05-14 21:25:00,2016-05-15 17:24:00,"Sabotage",29183,"Missouri","St. Charles",2016-05-15 10:00:00,0.5,2016-05-15 10:30:00,381,381,381,"Potential or Actual Physical Interference"
