"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30021","Montana","Dawson",2017-10-18 16:15:00,1,2017-10-18 17:15:00,523,524,523.5
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30029","Montana","Flathead",2017-10-17 20:30:00,25,2017-10-18 21:30:00,245,10941,2703.97
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30047","Montana","Lake",2017-10-18,4,2017-10-18 04:00:00,451,958,820.875
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30053","Montana","Lincoln",2017-10-17 20:00:00,12.75,2017-10-18 08:45:00,220,1988,1224.6862745098
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30083","Montana","Richland",2017-10-19 15:15:00,0.5,2017-10-19 15:45:00,2059,2059,2059
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30089","Montana","Sanders",2017-10-17 21:30:00,5,2017-10-18 02:30:00,314,1041,547.4
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30089","Montana","Sanders",2017-10-18 06:30:00,1.75,2017-10-18 08:15:00,386,395,393.714285714286
"Montana",2017-10-16 15:45:00,2017-10-16 16:09:00,"Transmission Interruption","30089","Montana","Sanders",2017-10-18 21:45:00,0.25,2017-10-18 22:00:00,348,348,348
"Montana",2017-10-26 08:17:00,2017-10-26 08:41:00,"Transmission Interruption","30029","Montana","Flathead",2017-10-26 12:45:00,2.5,2017-10-26 15:15:00,577,581,579
"Montana",2017-10-26 08:17:00,2017-10-26 08:41:00,"Transmission Interruption","30087","Montana","Rosebud",2017-10-26 13:15:00,1.25,2017-10-26 14:30:00,1182,1185,1184.4
"Montana",2018-08-01 09:11:00,2018-08-01 10:56:00,"Vandalism","30067","Montana","Park",2018-08-03 03:00:00,5.75,2018-08-03 08:45:00,345,345,345
"Montana",2019-04-04 10:13:00,2019-04-04 12:08:00,"Transmission Interruption","30029","Montana","Flathead",2019-04-04 16:15:00,0.25,2019-04-04 16:30:00,1453,1453,1453
"Montana",2019-04-04 10:13:00,2019-04-04 12:08:00,"Transmission Interruption","30089","Montana","Sanders",2019-04-04 20:45:00,0.75,2019-04-04 21:30:00,207,336,293
"Montana",2020-01-27 14:10:00,2020-01-27 18:58:00,"System Operations","30031","Montana","Gallatin",2020-01-27 16:00:00,1.75,2020-01-27 17:45:00,314,314,314
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30031","Montana","Gallatin",2020-09-15 15:45:00,23.5,2020-09-16 15:15:00,244,278,275.776595744681
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30031","Montana","Gallatin",2020-09-17 00:30:00,2.75,2020-09-17 03:15:00,921,921,921
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30049","Montana","Lewis and Clark",2020-09-17 18:45:00,1.75,2020-09-17 20:30:00,577,4488,2729.42857142857
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30057","Montana","Madison",2020-09-17 17:45:00,2,2020-09-17 19:45:00,724,724,724
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30061","Montana","Mineral",2020-09-17 22:45:00,1.25,2020-09-18,300,300,300
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30089","Montana","Sanders",2020-09-17 22:45:00,1.25,2020-09-18,920,1497,1381.6
"Montana",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations","30111","Montana","Yellowstone",2020-09-17 18:45:00,1.75,2020-09-17 20:30:00,232,266,260.142857142857
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30009","Montana","Carbon",2021-08-16 23:15:00,0.25,2021-08-16 23:30:00,425,425,425
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30029","Montana","Flathead",2021-08-17 08:30:00,4.75,2021-08-17 13:15:00,251,254,253
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30031","Montana","Gallatin",2021-08-17 22:45:00,7.5,2021-08-18 06:15:00,224,1715,822.266666666667
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30039","Montana","Granite",2021-08-18 17:45:00,2.5,2021-08-18 20:15:00,895,910,901.4
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30041","Montana","Hill",2021-08-17 22:15:00,1.25,2021-08-17 23:30:00,764,764,764
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30049","Montana","Lewis and Clark",2021-08-18 23:30:00,1,2021-08-19 00:30:00,807,808,807.25
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30063","Montana","Missoula",2021-08-17 21:45:00,2.25,2021-08-18,812,814,812.666666666667
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30081","Montana","Ravalli",2021-08-17 15:30:00,5.25,2021-08-17 20:45:00,2457,2458,2457.28571428571
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30087","Montana","Rosebud",2021-08-18 22:45:00,0.5,2021-08-18 23:15:00,274,274,274
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30105","Montana","Valley",2021-08-18 06:30:00,2,2021-08-18 08:30:00,968,1299,1249
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30111","Montana","Yellowstone",2021-08-17 01:00:00,1.25,2021-08-17 02:15:00,207,209,208.2
"Montana",2021-08-16 16:11:00,2021-08-16 16:31:00,"Vandalism","30111","Montana","Yellowstone",2021-08-17 03:15:00,2,2021-08-17 05:15:00,684,1007,961.75
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30005","Montana","Blaine",2021-11-05 03:00:00,7,2021-11-05 10:00:00,447,2641,2550.75
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30013","Montana","Cascade",2021-11-06 23:30:00,1.5,2021-11-07 01:00:00,756,756,756
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30015","Montana","Chouteau",2021-11-05 03:00:00,3.5,2021-11-05 06:30:00,464,464,464
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30041","Montana","Hill",2021-11-05 03:00:00,5.75,2021-11-05 08:45:00,215,7180,4342.78260869565
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30047","Montana","Lake",2021-11-05 14:30:00,2.25,2021-11-05 16:45:00,333,334,333.666666666667
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30049","Montana","Lewis and Clark",2021-11-05 06:00:00,1.25,2021-11-05 07:15:00,1323,1323,1323
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30053","Montana","Lincoln",2021-11-06 02:15:00,3,2021-11-06 05:15:00,266,266,266
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30071","Montana","Phillips",2021-11-05 03:00:00,7,2021-11-05 10:00:00,205,2330,2247.03571428571
"Montana",2021-11-04 21:34:00,2021-11-04 22:57:00,"System Operations","30105","Montana","Valley",2021-11-05 03:00:00,7,2021-11-05 10:00:00,473,3174,3060.60714285714
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30009","Montana","Carbon",2022-04-23 10:30:00,3,2022-04-23 13:30:00,440,440,440
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30013","Montana","Cascade",2022-04-26 20:00:00,1.75,2022-04-26 21:45:00,3409,3415,3413
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30019","Montana","Daniels",2022-04-24 08:30:00,1.75,2022-04-24 10:15:00,208,221,214.714285714286
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30019","Montana","Daniels",2022-04-24 16:00:00,3,2022-04-24 19:00:00,699,709,705.333333333333
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30021","Montana","Dawson",2022-04-23 17:45:00,0.5,2022-04-23 18:15:00,1787,1801,1794
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30021","Montana","Dawson",2022-04-24 01:30:00,0.75,2022-04-24 02:15:00,939,945,942.333333333333
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30053","Montana","Lincoln",2022-04-26 13:15:00,2,2022-04-26 15:15:00,253,1127,932
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30053","Montana","Lincoln",2022-04-26 20:00:00,2,2022-04-26 22:00:00,1127,1127,1127
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30063","Montana","Missoula",2022-04-26 19:15:00,1,2022-04-26 20:15:00,273,273,273
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30071","Montana","Phillips",2022-04-23 22:15:00,1.75,2022-04-24,201,201,201
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30083","Montana","Richland",2022-04-23 20:30:00,0.75,2022-04-23 21:15:00,1624,1633,1628
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30083","Montana","Richland",2022-04-23 23:45:00,0.25,2022-04-24,1608,1608,1608
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30085","Montana","Roosevelt",2022-04-24 16:00:00,2.75,2022-04-24 18:45:00,1267,1289,1274.45454545455
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30087","Montana","Rosebud",2022-04-23 18:30:00,1.5,2022-04-23 20:00:00,1162,1163,1162.16666666667
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30087","Montana","Rosebud",2022-04-26 15:15:00,0.75,2022-04-26 16:00:00,1121,1133,1125
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30091","Montana","Sheridan",2022-04-24 16:00:00,3,2022-04-24 19:00:00,228,290,279.75
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30095","Montana","Stillwater",2022-04-23 01:45:00,3.25,2022-04-23 05:00:00,464,464,464
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30109","Montana","Wibaux",2022-04-23 20:45:00,24.75,2022-04-24 21:30:00,339,355,347.666666666667
"Montana",2022-12-14 12:52:00,2022-12-14 12:52:00,"Suspicious Activity","30029","Montana","Flathead",2022-12-15 23:15:00,0.75,2022-12-16,247,290,263.333333333333
"Montana",2022-12-14 12:52:00,2022-12-14 12:52:00,"Suspicious Activity","30063","Montana","Missoula",2022-12-15 22:00:00,1.5,2022-12-15 23:30:00,3517,3519,3517.83333333333
"Montana",2022-03-31 22:43:00,2022-03-31 22:43:00,"Cyber Event","30029","Montana","Flathead",2022-04-03 01:45:00,0.25,2022-04-03 02:00:00,310,310,310
"Montana",2022-03-31 22:43:00,2022-03-31 22:43:00,"Cyber Event","30063","Montana","Missoula",2022-04-01 05:00:00,5.75,2022-04-01 10:45:00,280,280,280
"Montana",2022-03-31 22:43:00,2022-03-31 22:43:00,"Cyber Event","30085","Montana","Roosevelt",2022-04-03 12:00:00,2,2022-04-03 14:00:00,371,378,374.875
"Montana",2022-03-31 22:43:00,2022-03-31 22:43:00,"Cyber Event","30111","Montana","Yellowstone",2022-04-02 21:30:00,0.5,2022-04-02 22:00:00,396,1381,888.5
"Montana",2022-04-22 23:16:00,2022-04-24 16:00:00,"Severe Weather","30009","Montana","Carbon",2022-04-23 10:30:00,3,2022-04-23 13:30:00,440,440,440
