"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-23 22:45:00,18.75,2015-06-24 17:30:00,4157,21735,12967.9066666667
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-24 17:45:00,22.75,2015-06-25 16:30:00,4717,14506,8537.04395604396
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-25 16:45:00,0.5,2015-06-25 17:15:00,6846,7024,6935
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-25 17:30:00,1.25,2015-06-25 18:45:00,6555,6853,6688
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-25 19:00:00,0.25,2015-06-25 19:15:00,6638,6638,6638
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-25 19:30:00,50.5,2015-06-27 22:00:00,698,7615,3079.88118811881
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-27 22:15:00,27,2015-06-29 01:15:00,200,4336,927.712962962963
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-29 11:00:00,0.25,2015-06-29 11:15:00,1148,1148,1148
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-30 02:45:00,0.75,2015-06-30 03:30:00,2034,2045,2038.33333333333
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-30 18:45:00,0.25,2015-06-30 19:00:00,520,520,520
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-30 19:15:00,0.25,2015-06-30 19:30:00,524,524,524
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-30 20:00:00,0.25,2015-06-30 20:15:00,525,525,525
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34001","New Jersey","Atlantic",2015-06-30 20:30:00,0.25,2015-06-30 20:45:00,525,525,525
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-24 06:15:00,1,2015-06-24 07:15:00,524,524,524
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-24 18:15:00,0.5,2015-06-24 18:45:00,474,526,500
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-25 07:15:00,0.25,2015-06-25 07:30:00,866,866,866
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-26 19:15:00,0.25,2015-06-26 19:30:00,2623,2623,2623
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-28 01:30:00,0.5,2015-06-28 02:00:00,704,705,704.5
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-28 02:45:00,0.25,2015-06-28 03:00:00,465,465,465
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-28 03:30:00,0.75,2015-06-28 04:15:00,452,466,461.333333333333
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-28 04:45:00,5.25,2015-06-28 10:00:00,281,283,281.714285714286
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-06-30 09:45:00,0.25,2015-06-30 10:00:00,1148,1148,1148
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-07-01 08:30:00,10.25,2015-07-01 18:45:00,274,3755,1193.24390243902
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-07-01 19:00:00,0.25,2015-07-01 19:15:00,577,577,577
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-07-01 19:30:00,5,2015-07-02 00:30:00,242,571,346.15
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-07-02 12:45:00,0.25,2015-07-02 13:00:00,932,932,932
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34003","New Jersey","Bergen",2015-07-02 20:45:00,0.75,2015-07-02 21:30:00,707,1414,958
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-23 22:45:00,18.75,2015-06-24 17:30:00,27265,60166,40894.72
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-24 17:45:00,22.75,2015-06-25 16:30:00,12186,32144,17787.4285714286
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-25 16:45:00,0.5,2015-06-25 17:15:00,13770,13802,13786
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-25 17:30:00,1.25,2015-06-25 18:45:00,12961,13229,13085.8
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-25 19:00:00,0.25,2015-06-25 19:15:00,16450,16450,16450
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-25 19:30:00,50.5,2015-06-27 22:00:00,3950,17679,8468.87623762376
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-27 22:15:00,33.25,2015-06-29 07:30:00,245,6346,2009.32330827068
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-29 11:30:00,2.25,2015-06-29 13:45:00,221,254,234.666666666667
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-29 21:45:00,1,2015-06-29 22:45:00,798,798,798
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-30 00:15:00,0.25,2015-06-30 00:30:00,778,778,778
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-30 16:30:00,0.25,2015-06-30 16:45:00,404,404,404
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34005","New Jersey","Burlington",2015-06-30 22:15:00,1.5,2015-06-30 23:45:00,1435,1552,1494.83333333333
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34007","New Jersey","Camden",2015-06-23 22:15:00,19.25,2015-06-24 17:30:00,2661,93824,77272.3896103896
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34007","New Jersey","Camden",2015-06-24 17:45:00,22.75,2015-06-25 16:30:00,46227,81967,58140.3626373626
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34007","New Jersey","Camden",2015-06-25 16:45:00,0.5,2015-06-25 17:15:00,46030,47013,46521.5
"New Jersey",2015-06-23 18:00:00,2015-06-30 18:00:00,"Severe Weather","34007","New Jersey","Camden",2015-06-25 17:30:00,1.25,2015-06-25 18:45:00,42470,45425,44077.6
