"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35001,"New Mexico","Bernalillo",2015-08-05 23:15:00,0.25,2015-08-05 23:30:00,1823,1823,1823
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35015,"New Mexico","Eddy",2015-08-03 20:30:00,0.75,2015-08-03 21:15:00,213,213,213
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35015,"New Mexico","Eddy",2015-08-04 15:45:00,2,2015-08-04 17:45:00,330,331,330.5
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35017,"New Mexico","Grant",2015-08-04 14:45:00,0.75,2015-08-04 15:30:00,2602,3296,2833.66666666667
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35025,"New Mexico","Lea",2015-08-04 01:15:00,5,2015-08-04 06:15:00,296,351,313.45
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35035,"New Mexico","Otero",2015-08-04 06:45:00,3,2015-08-04 09:45:00,265,265,265
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35037,"New Mexico","Quay",2015-08-05 22:45:00,0.75,2015-08-05 23:30:00,284,284,284
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35041,"New Mexico","Roosevelt",2015-08-05 17:30:00,0.5,2015-08-05 18:00:00,620,967,793.5
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35047,"New Mexico","San Miguel",2015-08-06 02:15:00,1.75,2015-08-06 04:00:00,306,306,306
"New Mexico",2015-08-03 08:27:00,2015-08-04 01:18:00,"Sabotage",35043,"New Mexico","Sandoval",2015-08-05 07:30:00,5.5,2015-08-05 13:00:00,250,250,250
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35001,"New Mexico","Bernalillo",2016-08-08 04:00:00,7.75,2016-08-08 11:45:00,201,56811,23121.3548387097
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35001,"New Mexico","Bernalillo",2016-08-10 04:45:00,1.5,2016-08-10 06:15:00,1132,1137,1134.5
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35001,"New Mexico","Bernalillo",2016-08-10 09:45:00,0.5,2016-08-10 10:15:00,4395,4395,4395
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35001,"New Mexico","Bernalillo",2016-08-10 16:00:00,0.25,2016-08-10 16:15:00,609,609,609
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35001,"New Mexico","Bernalillo",2016-08-10 16:30:00,0.25,2016-08-10 16:45:00,4935,4935,4935
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35015,"New Mexico","Eddy",2016-08-09 14:30:00,1.25,2016-08-09 15:45:00,1711,1711,1711
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35015,"New Mexico","Eddy",2016-08-10 02:00:00,1.75,2016-08-10 03:45:00,514,818,637.428571428571
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35017,"New Mexico","Grant",2016-08-08 22:45:00,2.75,2016-08-09 01:30:00,224,1563,533.818181818182
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35025,"New Mexico","Lea",2016-08-08 21:30:00,0.25,2016-08-08 21:45:00,274,274,274
"New Mexico",2016-08-07 18:39:00,2016-08-07 20:27:00,"System Operations",35025,"New Mexico","Lea",2016-08-08 22:00:00,0.75,2016-08-08 22:45:00,988,988,988
