"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36005,"New York","Bronx",2015-07-30 21:00:00,5,2015-07-31 02:00:00,204,971,583.8
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36005,"New York","Bronx",2015-07-31 22:15:00,0.25,2015-07-31 22:30:00,274,274,274
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36029,"New York","Erie",2015-07-29 21:00:00,9.25,2015-07-30 06:15:00,301,6544,2626.48648648649
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36029,"New York","Erie",2015-07-30 13:00:00,2,2015-07-30 15:00:00,236,241,238
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36029,"New York","Erie",2015-07-30 15:45:00,0.75,2015-07-30 16:30:00,1585,1611,1602.33333333333
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36029,"New York","Erie",2015-07-30 18:45:00,1.75,2015-07-30 20:30:00,422,865,721.714285714286
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36029,"New York","Erie",2015-07-31 13:30:00,6,2015-07-31 19:30:00,312,696,447.25
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36031,"New York","Essex",2015-07-30 17:15:00,6.75,2015-07-31,1919,9289,6599.11111111111
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36045,"New York","Jefferson",2015-07-30 13:00:00,1.5,2015-07-30 14:30:00,359,540,479.666666666667
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36045,"New York","Jefferson",2015-08-01 02:15:00,1.5,2015-08-01 03:45:00,2228,2243,2230.66666666667
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36047,"New York","Kings",2015-07-30 23:15:00,5.5,2015-07-31 04:45:00,201,700,566.863636363636
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36047,"New York","Kings",2015-07-31 05:00:00,2,2015-07-31 07:00:00,279,285,281.25
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36049,"New York","Lewis",2015-07-30 18:30:00,0.5,2015-07-30 19:00:00,2304,2304,2304
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36055,"New York","Monroe",2015-07-30 19:00:00,1.5,2015-07-30 20:30:00,642,682,667.333333333333
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36055,"New York","Monroe",2015-07-30 23:00:00,0.75,2015-07-30 23:45:00,268,351,323.333333333333
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36059,"New York","Nassau",2015-07-29 20:30:00,3.5,2015-07-30,225,259,238.785714285714
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36059,"New York","Nassau",2015-07-30 14:15:00,2.75,2015-07-30 17:00:00,248,389,288.545454545455
"New York",2015-07-29 16:45:00,2015-07-29 21:00:00,"System Operations",36059,"New York","Nassau",2015-07-30 19:30:00,0.5,2015-07-30 20:00:00,463,733,598
