"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37031,"North Carolina","Carteret",2014-12-01 21:45:00,0.75,2014-12-01 22:30:00,825,825,825,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37031,"North Carolina","Carteret",2014-12-02 17:15:00,0.75,2014-12-02 18:00:00,287,825,645.666666666667,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37051,"North Carolina","Cumberland",2014-12-03 12:15:00,1.75,2014-12-03 14:00:00,247,248,247.857142857143,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37067,"North Carolina","Forsyth",2014-12-01 15:15:00,0.25,2014-12-01 15:30:00,1659,1659,1659,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37067,"North Carolina","Forsyth",2014-12-01 15:45:00,1,2014-12-01 16:45:00,1265,1662,1562,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37067,"North Carolina","Forsyth",2014-12-01 19:15:00,0.25,2014-12-01 19:30:00,1265,1265,1265,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37089,"North Carolina","Henderson",2014-12-03 20:45:00,0.5,2014-12-03 21:15:00,434,434,434,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37119,"North Carolina","Mecklenburg",2014-12-02 16:15:00,0.75,2014-12-02 17:00:00,331,333,331.666666666667,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37119,"North Carolina","Mecklenburg",2014-12-03 16:30:00,1,2014-12-03 17:30:00,949,960,953,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37155,"North Carolina","Robeson",2014-12-03 10:00:00,0.25,2014-12-03 10:15:00,804,804,804,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37181,"North Carolina","Vance",2014-12-03 22:45:00,1,2014-12-03 23:45:00,608,609,608.25,"Potential or Actual Physical Interference"
"North Carolina",2014-12-01 10:44:00,2014-12-01 10:45:00,"Suspected Physical Attack - Vandalism",37183,"North Carolina","Wake",2014-12-01 18:45:00,0.25,2014-12-01 19:00:00,3081,3081,3081,"Potential or Actual Physical Interference"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37001,"North Carolina","Alamance",2015-01-08 02:30:00,2.25,2015-01-08 04:45:00,275,279,277.333333333333,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37017,"North Carolina","Bladen",2015-01-09 22:15:00,1.75,2015-01-10,373,373,373,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37019,"North Carolina","Brunswick",2015-01-08 08:30:00,3.25,2015-01-08 11:45:00,599,600,599.846153846154,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37025,"North Carolina","Cabarrus",2015-01-08 03:45:00,0.25,2015-01-08 04:00:00,485,485,485,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37025,"North Carolina","Cabarrus",2015-01-08 13:00:00,3.25,2015-01-08 16:15:00,288,452,373.230769230769,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37027,"North Carolina","Caldwell",2015-01-07 23:30:00,1.5,2015-01-08 01:00:00,724,726,725,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37027,"North Carolina","Caldwell",2015-01-08 01:15:00,0.5,2015-01-08 01:45:00,726,726,726,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37037,"North Carolina","Chatham",2015-01-08 10:30:00,0.25,2015-01-08 10:45:00,282,282,282,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37047,"North Carolina","Columbus",2015-01-08 04:15:00,2.25,2015-01-08 06:30:00,301,1269,1021.77777777778,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37063,"North Carolina","Durham",2015-01-08 01:45:00,0.75,2015-01-08 02:30:00,708,710,709,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37063,"North Carolina","Durham",2015-01-08 03:00:00,1.5,2015-01-08 04:30:00,696,709,704.166666666667,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37063,"North Carolina","Durham",2015-01-08 23:45:00,0.25,2015-01-09,406,406,406,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37063,"North Carolina","Durham",2015-01-09 10:45:00,7.5,2015-01-09 18:15:00,262,270,265.5,"Weather"
"North Carolina",2015-01-07 17:00:00,2015-01-08 08:35:00,"Severe Weather - Winter",37063,"North Carolina","Durham",2015-01-10 06:45:00,7.75,2015-01-10 14:30:00,399,1446,703.677419354839,"Weather"
