"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39003","Ohio","Allen",2015-07-14 08:15:00,1.25,2015-07-14 09:30:00,321,381,365.2
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39003","Ohio","Allen",2015-07-14 18:15:00,0.25,2015-07-14 18:30:00,467,467,467
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39003","Ohio","Allen",2015-07-17 13:30:00,0.75,2015-07-17 14:15:00,346,346,346
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39005","Ohio","Ashland",2015-07-16 20:00:00,1,2015-07-16 21:00:00,450,450,450
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39009","Ohio","Athens",2015-07-14 20:15:00,2.25,2015-07-14 22:30:00,218,361,293.222222222222
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39009","Ohio","Athens",2015-07-14 22:45:00,1.25,2015-07-15,243,251,249
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39009","Ohio","Athens",2015-07-15 00:30:00,0.75,2015-07-15 01:15:00,202,202,202
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39009","Ohio","Athens",2015-07-18 21:30:00,0.5,2015-07-18 22:00:00,260,260,260
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39011","Ohio","Auglaize",2015-07-13 16:15:00,2,2015-07-13 18:15:00,220,489,455.375
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39015","Ohio","Brown",2015-07-14 15:15:00,1.5,2015-07-14 16:45:00,237,245,241.833333333333
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39015","Ohio","Brown",2015-07-14 20:30:00,2,2015-07-14 22:30:00,211,4318,3252.5
"Ohio",2015-07-13 14:14:00,2015-07-16 06:00:00,"Severe Weather","39015","Ohio","Brown",2015-07-14 22:45:00,23.75,2015-07-15 22:30:00,216,4013,1610.65263157895
