"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 01:00:00,0.75,2015-11-29 01:45:00,204,205,204.666666666667
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 03:30:00,2,2015-11-29 05:30:00,202,247,227.5
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 06:15:00,1.5,2015-11-29 07:45:00,213,231,228
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 21:30:00,1.5,2015-11-29 23:00:00,1165,1180,1175.83333333333
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 23:45:00,3,2015-11-30 02:45:00,206,212,208.916666666667
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-30 16:30:00,1,2015-11-30 17:30:00,2397,2426,2409.75
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40011,"Oklahoma","Blaine",2015-11-28 15:45:00,98.5,2015-12-02 18:15:00,222,476,329.55076142132
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40021,"Oklahoma","Cherokee",2015-11-29 14:15:00,2.25,2015-11-29 16:30:00,707,707,707
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-28 12:45:00,0.5,2015-11-28 13:15:00,226,236,231
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-28 13:45:00,0.5,2015-11-28 14:15:00,230,230,230
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-28 21:30:00,0.5,2015-11-28 22:00:00,222,222,222
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-29 04:00:00,1.5,2015-11-29 05:30:00,2264,2274,2272.33333333333
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-30 18:00:00,0.25,2015-11-30 18:15:00,216,216,216
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40027,"Oklahoma","Cleveland",2015-11-30 19:30:00,0.25,2015-11-30 19:45:00,216,216,216
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40033,"Oklahoma","Cotton",2015-11-29 03:00:00,0.5,2015-11-29 03:30:00,556,558,557
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40035,"Oklahoma","Craig",2015-11-30 14:15:00,0.25,2015-11-30 14:30:00,422,422,422
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40039,"Oklahoma","Custer",2015-11-28 12:45:00,9.75,2015-11-28 22:30:00,808,1768,1638.74358974359
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40039,"Oklahoma","Custer",2015-11-29 03:30:00,0.25,2015-11-29 03:45:00,215,215,215
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40039,"Oklahoma","Custer",2015-11-29 09:15:00,35.5,2015-11-30 20:45:00,246,792,340.260563380282
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40041,"Oklahoma","Delaware",2015-11-29 15:15:00,2,2015-11-29 17:15:00,210,212,210.5
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40065,"Oklahoma","Jackson",2015-11-29 18:45:00,2.5,2015-11-29 21:15:00,268,273,272
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40075,"Oklahoma","Kiowa",2015-11-28 15:15:00,47.75,2015-11-30 15:00:00,212,1121,527.230366492147
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40075,"Oklahoma","Kiowa",2015-12-01 14:30:00,5.5,2015-12-01 20:00:00,214,238,226.272727272727
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40075,"Oklahoma","Kiowa",2015-12-02 17:15:00,0.25,2015-12-02 17:30:00,203,203,203
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40075,"Oklahoma","Kiowa",2015-12-02 22:45:00,1.5,2015-12-03 00:15:00,212,214,212.5
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40097,"Oklahoma","Mayes",2015-12-01 19:45:00,0.5,2015-12-01 20:15:00,790,790,790
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40087,"Oklahoma","McClain",2015-11-28 10:15:00,7.25,2015-11-28 17:30:00,224,9626,4885.72413793103
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40109,"Oklahoma","Oklahoma",2015-11-29 04:00:00,1.5,2015-11-29 05:30:00,896,925,920.166666666667
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40117,"Oklahoma","Pawnee",2015-11-28 07:30:00,7.5,2015-11-28 15:00:00,278,278,278
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40137,"Oklahoma","Stephens",2015-11-29 20:15:00,0.25,2015-11-29 20:30:00,252,252,252
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40141,"Oklahoma","Tillman",2015-11-29 02:45:00,3.5,2015-11-29 06:15:00,623,623,623
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40149,"Oklahoma","Washita",2015-11-28 06:30:00,93.25,2015-12-02 03:45:00,316,2890,1384.32171581769
"Oklahoma",2015-11-28 06:00:00,2015-11-30 13:00:00,"Severe Weather",40149,"Oklahoma","Washita",2015-12-02 07:00:00,18.75,2015-12-03 01:45:00,217,361,247.76
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 01:00:00,0.75,2015-11-29 01:45:00,204,205,204.666666666667
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 03:30:00,2,2015-11-29 05:30:00,202,247,227.5
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 06:15:00,1.5,2015-11-29 07:45:00,213,231,228
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 21:30:00,1.5,2015-11-29 23:00:00,1165,1180,1175.83333333333
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-29 23:45:00,3,2015-11-30 02:45:00,206,212,208.916666666667
"Oklahoma",2015-11-28 06:00:00,2015-11-28 06:00:00,"Severe Weather",40009,"Oklahoma","Beckham",2015-11-30 16:30:00,1,2015-11-30 17:30:00,2397,2426,2409.75
