"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Oregon",2014-11-01 01:00:00,2014-11-01 01:01:00,"Suspected Physical Attack - Vandalism",41005,"Oregon","Clackamas",2014-11-02 06:15:00,0.75,2014-11-02 07:00:00,203,203,203,"Potential or Actual Physical Interference"
"Oregon",2014-11-01 01:00:00,2014-11-01 01:01:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-02 17:30:00,1.25,2014-11-02 18:45:00,2523,2534,2525.4,"Potential or Actual Physical Interference"
"Oregon",2014-11-01 01:00:00,2014-11-01 01:01:00,"Suspected Physical Attack - Vandalism",41067,"Oregon","Washington",2014-11-03 05:00:00,4,2014-11-03 09:00:00,3196,3593,3353,"Potential or Actual Physical Interference"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41005,"Oregon","Clackamas",2014-11-14 21:00:00,5.5,2014-11-15 02:30:00,374,923,611.909090909091,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41005,"Oregon","Clackamas",2014-11-15 03:45:00,1.5,2014-11-15 05:15:00,485,486,485.666666666667,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41005,"Oregon","Clackamas",2014-11-16 17:30:00,1.25,2014-11-16 18:45:00,201,211,209,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41005,"Oregon","Clackamas",2014-11-16 22:00:00,0.75,2014-11-16 22:45:00,221,241,234,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41051,"Oregon","Multnomah",2014-11-16 21:30:00,6.75,2014-11-17 04:15:00,225,5035,1976.22222222222,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41053,"Oregon","Polk",2014-11-14 18:15:00,3.5,2014-11-14 21:45:00,235,266,253.214285714286,"Islanding"
"Oregon",2014-11-14 09:50:00,2014-11-14 13:18:00,"Electrical System Islanding",41067,"Oregon","Washington",2014-11-16 04:00:00,2.75,2014-11-16 06:45:00,461,463,462.454545454545,"Islanding"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41005,"Oregon","Clackamas",2014-11-22 01:45:00,19.75,2014-11-22 21:30:00,212,1606,569.379746835443,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41005,"Oregon","Clackamas",2014-11-25 21:15:00,0.75,2014-11-25 22:00:00,232,232,232,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41047,"Oregon","Marion",2014-11-22,1.75,2014-11-22 01:45:00,213,215,214.142857142857,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-21 15:45:00,1.5,2014-11-21 17:15:00,220,247,233.666666666667,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-21 20:45:00,3.25,2014-11-22,320,497,370.923076923077,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-22 13:30:00,1.5,2014-11-22 15:00:00,216,217,216.833333333333,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-22 15:15:00,5.25,2014-11-22 20:30:00,370,1814,462.095238095238,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-23 09:45:00,1.75,2014-11-23 11:30:00,235,235,235,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-23 20:00:00,1.25,2014-11-23 21:15:00,6059,6066,6063.6,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41051,"Oregon","Multnomah",2014-11-23 22:45:00,0.75,2014-11-23 23:30:00,227,229,228,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41067,"Oregon","Washington",2014-11-22 11:30:00,2.25,2014-11-22 13:45:00,401,432,420.333333333333,"Potential or Actual Physical Interference"
"Oregon",2014-11-21 11:26:00,2014-11-23 17:20:00,"Suspected Physical Attack - Vandalism",41067,"Oregon","Washington",2014-11-23 21:30:00,0.75,2014-11-23 22:15:00,660,685,676.666666666667,"Potential or Actual Physical Interference"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41005,"Oregon","Clackamas",2014-12-11 22:45:00,28.75,2014-12-13 03:30:00,277,16903,5322.68695652174,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41047,"Oregon","Marion",2014-12-11 21:30:00,27,2014-12-13 00:30:00,203,10258,3491.32407407407,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41051,"Oregon","Multnomah",2014-12-11 23:00:00,44,2014-12-13 19:00:00,267,15143,5264.39204545455,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41051,"Oregon","Multnomah",2014-12-14 08:00:00,10,2014-12-14 18:00:00,234,396,306.2,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41053,"Oregon","Polk",2014-12-11 22:00:00,12.5,2014-12-12 10:30:00,223,1380,812.16,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41067,"Oregon","Washington",2014-12-11 22:45:00,43.75,2014-12-13 18:30:00,214,40174,8418.17142857143,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41067,"Oregon","Washington",2014-12-14 12:30:00,2.75,2014-12-14 15:15:00,219,219,219,"Weather"
"Oregon",2014-12-11 16:05:00,2014-12-11 21:00:00,"Severe Weather- High Winds",41071,"Oregon","Yamhill",2014-12-11 22:00:00,22.75,2014-12-12 20:45:00,433,3537,1591.58241758242,"Weather"
"Oregon",2015-01-22 04:24:00,2015-01-22 05:55:00,"Vandalism",41047,"Oregon","Marion",2015-01-24 20:30:00,2.25,2015-01-24 22:45:00,381,548,529.444444444444,"Potential or Actual Physical Interference"
"Oregon",2015-01-22 04:24:00,2015-01-22 05:55:00,"Vandalism",41047,"Oregon","Marion",2015-01-25 01:00:00,3.75,2015-01-25 04:45:00,417,548,513.066666666667,"Potential or Actual Physical Interference"
"Oregon",2015-01-26 14:39:00,2015-01-26 14:40:00,"Vandalism",41005,"Oregon","Clackamas",2015-01-28 18:45:00,0.5,2015-01-28 19:15:00,1517,1518,1517.5,"Potential or Actual Physical Interference"
"Oregon",2015-01-26 14:39:00,2015-01-26 14:40:00,"Vandalism",41051,"Oregon","Multnomah",2015-01-28 18:45:00,0.5,2015-01-28 19:15:00,265,265,265,"Potential or Actual Physical Interference"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41005,"Oregon","Clackamas",2015-03-15 20:00:00,19.25,2015-03-16 15:15:00,441,31073,10165.8311688312,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41005,"Oregon","Clackamas",2015-03-16 15:30:00,1,2015-03-16 16:30:00,2872,3554,3066.25,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41005,"Oregon","Clackamas",2015-03-16 16:45:00,0.5,2015-03-16 17:15:00,2830,2870,2850,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41005,"Oregon","Clackamas",2015-03-16 17:30:00,8.75,2015-03-17 02:15:00,274,2823,1337.34285714286,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41047,"Oregon","Marion",2015-03-15 20:00:00,19.25,2015-03-16 15:15:00,1017,9980,3635.7012987013,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41047,"Oregon","Marion",2015-03-16 15:30:00,1,2015-03-16 16:30:00,1026,1027,1026.5,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41047,"Oregon","Marion",2015-03-16 16:45:00,0.5,2015-03-16 17:15:00,1027,1027,1027,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41047,"Oregon","Marion",2015-03-16 17:30:00,8.75,2015-03-17 02:15:00,290,1202,745.028571428571,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-15 20:30:00,18.75,2015-03-16 15:15:00,571,20515,9040.74666666667,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-16 15:30:00,1,2015-03-16 16:30:00,702,714,706.75,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-16 16:45:00,0.5,2015-03-16 17:15:00,618,633,625.5,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-16 17:30:00,2,2015-03-16 19:30:00,222,393,288.25,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-18 04:00:00,2.5,2015-03-18 06:30:00,744,750,745.1,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41051,"Oregon","Multnomah",2015-03-18 17:45:00,0.25,2015-03-18 18:00:00,948,948,948,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41053,"Oregon","Polk",2015-03-15 21:00:00,5.75,2015-03-16 02:45:00,655,1057,1016.08695652174,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41053,"Oregon","Polk",2015-03-16 15:45:00,0.75,2015-03-16 16:30:00,457,457,457,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41053,"Oregon","Polk",2015-03-16 16:45:00,0.5,2015-03-16 17:15:00,538,539,538.5,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41053,"Oregon","Polk",2015-03-16 17:30:00,3.75,2015-03-16 21:15:00,420,568,461.666666666667,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41067,"Oregon","Washington",2015-03-15 21:00:00,16.75,2015-03-16 13:45:00,211,7472,2194.56716417911,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41067,"Oregon","Washington",2015-03-17 08:15:00,14,2015-03-17 22:15:00,2488,3468,3262.07142857143,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41071,"Oregon","Yamhill",2015-03-15 21:00:00,16.25,2015-03-16 13:15:00,283,1686,720.184615384615,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41071,"Oregon","Yamhill",2015-03-16 15:45:00,0.75,2015-03-16 16:30:00,1041,1041,1041,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41071,"Oregon","Yamhill",2015-03-16 16:45:00,0.5,2015-03-16 17:15:00,1041,1041,1041,"Weather"
"Oregon",2015-03-15 15:30:00,2015-03-15 19:00:00,"Severe Weather - Wind",41071,"Oregon","Yamhill",2015-03-16 17:30:00,3.75,2015-03-16 21:15:00,1030,1041,1035.33333333333,"Weather"
"Oregon",2015-09-29 15:40:00,2015-09-29 15:41:00,"Vandalism",41005,"Oregon","Clackamas",2015-09-30 10:00:00,0.5,2015-09-30 10:30:00,289,289,289,"Potential or Actual Physical Interference"
"Oregon",2015-09-29 15:40:00,2015-09-29 15:41:00,"Vandalism",41005,"Oregon","Clackamas",2015-09-30 11:15:00,3.25,2015-09-30 14:30:00,289,417,298.846153846154,"Potential or Actual Physical Interference"
"Oregon",2015-09-29 15:40:00,2015-09-29 15:41:00,"Vandalism",41005,"Oregon","Clackamas",2015-09-30 14:45:00,1.75,2015-09-30 16:30:00,414,2168,666.571428571429,"Potential or Actual Physical Interference"
"Oregon",2015-09-29 15:40:00,2015-09-29 15:41:00,"Vandalism",41051,"Oregon","Multnomah",2015-09-30 14:15:00,0.25,2015-09-30 14:30:00,201,201,201,"Potential or Actual Physical Interference"
"Oregon",2015-09-29 15:40:00,2015-09-29 15:41:00,"Vandalism",41051,"Oregon","Multnomah",2015-09-30 14:45:00,4.75,2015-09-30 19:30:00,250,1000,290.368421052632,"Potential or Actual Physical Interference"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41005,"Oregon","Clackamas",2015-10-31 19:30:00,0.25,2015-10-31 19:45:00,1737,1737,1737,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41005,"Oregon","Clackamas",2015-11-01 01:00:00,2,2015-11-01 03:00:00,204,250,211.125,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41005,"Oregon","Clackamas",2015-11-01 03:30:00,0.5,2015-11-01 04:00:00,222,222,222,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41005,"Oregon","Clackamas",2015-11-01 05:00:00,0.75,2015-11-01 05:45:00,224,224,224,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41005,"Oregon","Clackamas",2015-11-02 07:30:00,2,2015-11-02 09:30:00,737,1624,893.5,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41047,"Oregon","Marion",2015-11-01 02:30:00,1.5,2015-11-01 04:00:00,1166,2220,1544.83333333333,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41047,"Oregon","Marion",2015-11-01 05:00:00,2.25,2015-11-01 07:15:00,1070,2226,1711.77777777778,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41051,"Oregon","Multnomah",2015-10-30 16:00:00,2.5,2015-10-30 18:30:00,202,255,219.7,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41051,"Oregon","Multnomah",2015-10-31 10:15:00,2,2015-10-31 12:15:00,210,266,245,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41053,"Oregon","Polk",2015-11-01 02:00:00,2,2015-11-01 04:00:00,1196,1199,1197.75,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41053,"Oregon","Polk",2015-11-01 05:00:00,1.25,2015-11-01 06:15:00,1196,1196,1196,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41067,"Oregon","Washington",2015-10-30 18:00:00,1.5,2015-10-30 19:30:00,203,231,219.333333333333,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41071,"Oregon","Yamhill",2015-10-30 17:00:00,1.25,2015-10-30 18:15:00,1441,1441,1441,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41071,"Oregon","Yamhill",2015-10-31 23:45:00,0.5,2015-11-01 00:15:00,233,233,233,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41071,"Oregon","Yamhill",2015-11-01 02:00:00,2,2015-11-01 04:00:00,1138,1138,1138,"Unknown"
"Oregon",2015-10-30 15:00:00,2015-10-30 16:00:00,"Other",41071,"Oregon","Yamhill",2015-11-01 05:00:00,1.25,2015-11-01 06:15:00,1138,1138,1138,"Unknown"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41005,"Oregon","Clackamas",2016-10-20 13:30:00,0.25,2016-10-20 13:45:00,1907,1907,1907,"Potential or Actual Physical Interference"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41005,"Oregon","Clackamas",2016-10-23 05:45:00,0.25,2016-10-23 06:00:00,722,722,722,"Potential or Actual Physical Interference"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41047,"Oregon","Marion",2016-10-22 03:30:00,1.75,2016-10-22 05:15:00,230,231,230.714285714286,"Potential or Actual Physical Interference"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41051,"Oregon","Multnomah",2016-10-22 01:00:00,5.5,2016-10-22 06:30:00,2652,3211,2912.45454545455,"Potential or Actual Physical Interference"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41053,"Oregon","Polk",2016-10-21 01:15:00,5.75,2016-10-21 07:00:00,246,248,246.434782608696,"Potential or Actual Physical Interference"
"Oregon",2016-10-20 12:30:00,2016-10-20 12:31:00,"Vandalism",41067,"Oregon","Washington",2016-10-21,2.5,2016-10-21 02:30:00,420,441,437.6,"Potential or Actual Physical Interference"
"Oregon",2016-08-25 18:40:00,2016-08-26 18:19:00,"Vandalism",41047,"Oregon","Marion",2016-08-27 11:00:00,11,2016-08-27 22:00:00,1298,1299,1298.04545454545,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41005,"Oregon","Clackamas",2016-10-18 14:15:00,1,2016-10-18 15:15:00,2213,2230,2225.75,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41005,"Oregon","Clackamas",2016-10-20 13:30:00,0.25,2016-10-20 13:45:00,1907,1907,1907,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41005,"Oregon","Clackamas",2016-10-23 05:45:00,0.25,2016-10-23 06:00:00,722,722,722,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41047,"Oregon","Marion",2016-10-22 03:30:00,1.75,2016-10-22 05:15:00,230,231,230.714285714286,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41047,"Oregon","Marion",2016-10-24 09:15:00,3.25,2016-10-24 12:30:00,397,532,511.230769230769,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41051,"Oregon","Multnomah",2016-10-19 17:00:00,16.75,2016-10-20 09:45:00,654,2582,1967.26865671642,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41051,"Oregon","Multnomah",2016-10-22 01:00:00,5.5,2016-10-22 06:30:00,2652,3211,2912.45454545455,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41053,"Oregon","Polk",2016-10-21 01:15:00,5.75,2016-10-21 07:00:00,246,248,246.434782608696,"Potential or Actual Physical Interference"
"Oregon",2016-10-18 14:06:00,2016-10-21 15:00:00,"Vandalism",41067,"Oregon","Washington",2016-10-21,2.5,2016-10-21 02:30:00,420,441,437.6,"Potential or Actual Physical Interference"
"Oregon",2016-02-07 14:58:00,2016-02-07 14:58:00,"Sabotage",41005,"Oregon","Clackamas",2016-02-07 22:30:00,1.25,2016-02-07 23:45:00,428,428,428,"Potential or Actual Physical Interference"
"Oregon",2016-02-07 14:58:00,2016-02-07 14:58:00,"Sabotage",41051,"Oregon","Multnomah",2016-02-09 02:30:00,2.25,2016-02-09 04:45:00,969,975,973,"Potential or Actual Physical Interference"
