"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-28 16:00:00,3,2015-10-28 19:00:00,200,201,200.166666666667
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-28 22:30:00,2.5,2015-10-29 01:00:00,207,1083,867.6
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-29 11:30:00,2.5,2015-10-29 14:00:00,293,389,349.8
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-29 17:00:00,12,2015-10-30 05:00:00,215,1484,832.208333333333
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-30 13:30:00,1.5,2015-10-30 15:00:00,461,467,464.333333333333
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-10-30 17:00:00,1.5,2015-10-30 18:30:00,748,748,748
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42003,"Pennsylvania","Allegheny",2015-11-01 13:30:00,0.5,2015-11-01 14:00:00,400,400,400
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42005,"Pennsylvania","Armstrong",2015-10-29 18:00:00,1.5,2015-10-29 19:30:00,270,279,275.333333333333
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42011,"Pennsylvania","Berks",2015-10-29 03:00:00,2.5,2015-10-29 05:30:00,266,335,308.1
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42011,"Pennsylvania","Berks",2015-10-29 07:00:00,0.5,2015-10-29 07:30:00,222,222,222
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42011,"Pennsylvania","Berks",2015-10-29 09:00:00,0.5,2015-10-29 09:30:00,240,240,240
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42011,"Pennsylvania","Berks",2015-10-29 14:30:00,4,2015-10-29 18:30:00,1569,3970,2110.9375
"Pennsylvania",2015-10-28 13:38:00,2015-10-29 17:00:00,"Other",42011,"Pennsylvania","Berks",2015-10-29 21:00:00,3,2015-10-30,1574,1590,1583.5
