"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45001","South Carolina","Abbeville",2015-02-17 02:15:00,2.5,2015-02-17 04:45:00,467,472,468
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45001","South Carolina","Abbeville",2015-02-17 05:00:00,13.75,2015-02-17 18:45:00,232,914,766.490909090909
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45001","South Carolina","Abbeville",2015-02-17 19:00:00,0.25,2015-02-17 19:15:00,830,830,830
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45001","South Carolina","Abbeville",2015-02-17 19:30:00,27,2015-02-18 22:30:00,289,876,716.027777777778
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45007","South Carolina","Anderson",2015-02-17 19:00:00,0.25,2015-02-17 19:15:00,22762,22762,22762
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45007","South Carolina","Anderson",2015-02-17 19:30:00,30,2015-02-19 01:30:00,231,24801,10404.3083333333
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45007","South Carolina","Anderson",2015-02-19 07:30:00,0.5,2015-02-19 08:00:00,305,305,305
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45013","South Carolina","Beaufort",2015-02-21 07:30:00,3.75,2015-02-21 11:15:00,496,500,499.733333333333
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45019","South Carolina","Charleston",2015-02-19 14:30:00,1.5,2015-02-19 16:00:00,233,243,236.833333333333
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45021","South Carolina","Cherokee",2015-02-19 17:30:00,0.5,2015-02-19 18:00:00,1170,1171,1170.5
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45023","South Carolina","Chester",2015-02-17 07:45:00,4.25,2015-02-17 12:00:00,219,620,450.529411764706
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45023","South Carolina","Chester",2015-02-17 17:30:00,0.5,2015-02-17 18:00:00,206,213,209.5
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45023","South Carolina","Chester",2015-02-17 19:00:00,0.25,2015-02-17 19:15:00,213,213,213
"South Carolina",2015-02-17 02:12:00,2015-02-18 16:00:00,"Severe Weather - Winter","45023","South Carolina","Chester",2015-02-17 19:30:00,3.5,2015-02-17 23:00:00,825,1029,904.071428571429
