"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers","event_category"
"Utah",2017-04-17 09:25:00,2017-04-17 09:26:00,"Sabotage",49011,"Utah","Davis",2017-04-17 16:45:00,0.5,2017-04-17 17:15:00,1748,1748,1748,"Potential or Actual Physical Interference"
"Utah",2017-04-17 09:25:00,2017-04-17 09:26:00,"Sabotage",49027,"Utah","Millard",2017-04-19 00:45:00,2.75,2017-04-19 03:30:00,254,254,254,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49035,"Utah","Salt Lake",2017-10-20 15:00:00,1,2017-10-20 16:00:00,224,3425,1056.5,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49035,"Utah","Salt Lake",2017-10-20 18:15:00,4,2017-10-20 22:15:00,290,1679,659.4375,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49035,"Utah","Salt Lake",2017-10-20 23:30:00,0.5,2017-10-21,214,222,218,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49035,"Utah","Salt Lake",2017-10-22 08:15:00,3.75,2017-10-22 12:00:00,212,213,212.2,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49043,"Utah","Summit",2017-10-20 18:45:00,0.5,2017-10-20 19:15:00,1922,1923,1922.5,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49043,"Utah","Summit",2017-10-20 19:30:00,0.5,2017-10-20 20:00:00,884,1722,1303,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49047,"Utah","Uintah",2017-10-19 20:15:00,1.5,2017-10-19 21:45:00,321,321,321,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49049,"Utah","Utah",2017-10-21 06:45:00,0.25,2017-10-21 07:00:00,240,240,240,"Potential or Actual Physical Interference"
"Utah",2017-10-19 16:01:00,2017-10-19 16:02:00,"Suspected Physical Attack",49057,"Utah","Weber",2017-10-20 15:15:00,1.25,2017-10-20 16:30:00,619,696,667,"Potential or Actual Physical Interference"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49011,"Utah","Davis",2018-04-10 00:15:00,0.25,2018-04-10 00:30:00,2200,2200,2200,"Equipment Issue"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49027,"Utah","Millard",2018-04-09 18:15:00,0.25,2018-04-09 18:30:00,208,208,208,"Equipment Issue"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49035,"Utah","Salt Lake",2018-04-09 19:30:00,0.5,2018-04-09 20:00:00,15357,15378,15367.5,"Equipment Issue"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49037,"Utah","San Juan",2018-04-10 21:45:00,0.25,2018-04-10 22:00:00,260,260,260,"Equipment Issue"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49053,"Utah","Washington",2018-04-10 07:15:00,2.25,2018-04-10 09:30:00,898,898,898,"Equipment Issue"
"Utah",2018-04-09 11:16:00,2018-04-09 11:16:00,"Transmission Interruption",49057,"Utah","Weber",2018-04-11 16:00:00,1.75,2018-04-11 17:45:00,204,209,205.857142857143,"Equipment Issue"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49015,"Utah","Emery",2018-10-16 19:45:00,1.25,2018-10-16 21:00:00,1921,1923,1922.4,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-10 20:45:00,4.75,2018-10-11 01:30:00,346,411,372.894736842105,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-11 03:30:00,2.5,2018-10-11 06:00:00,244,342,302.8,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-11 07:15:00,8.25,2018-10-11 15:30:00,237,243,238.121212121212,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-11 16:15:00,1.75,2018-10-11 18:00:00,242,342,260.857142857143,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-11 20:30:00,1.5,2018-10-11 22:00:00,228,236,232.333333333333,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-12 18:45:00,1.25,2018-10-12 20:00:00,205,217,211.8,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-13 20:00:00,2.5,2018-10-13 22:30:00,3357,9882,6047.2,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-13 23:00:00,4.25,2018-10-14 03:15:00,220,1318,621.235294117647,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-16 16:30:00,5.75,2018-10-16 22:15:00,218,441,338.521739130435,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-17 01:00:00,0.75,2018-10-17 01:45:00,226,235,231.666666666667,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-17 16:00:00,5,2018-10-17 21:00:00,225,3402,455.45,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49043,"Utah","Summit",2018-10-10 19:30:00,0.75,2018-10-10 20:15:00,201,287,238,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49049,"Utah","Utah",2018-10-11 22:15:00,1.25,2018-10-11 23:30:00,2553,2553,2553,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49057,"Utah","Weber",2018-10-16 07:15:00,1.25,2018-10-16 08:30:00,2026,2026,2026,"Potential or Actual Physical Interference"
"Utah",2018-10-10 17:00:00,2018-10-15 05:00:00,"Vandalism",49057,"Utah","Weber",2018-10-16 09:45:00,1.75,2018-10-16 11:30:00,207,208,207.142857142857,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49003,"Utah","Box Elder",2018-08-21 13:45:00,0.25,2018-08-21 14:00:00,290,290,290,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49011,"Utah","Davis",2018-08-20 23:00:00,1.75,2018-08-21 00:45:00,1035,1055,1044.14285714286,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49027,"Utah","Millard",2018-08-20 21:00:00,2,2018-08-20 23:00:00,523,753,637.875,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49035,"Utah","Salt Lake",2018-08-20 18:45:00,1.5,2018-08-20 20:15:00,286,427,342.166666666667,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49035,"Utah","Salt Lake",2018-08-20 23:15:00,0.75,2018-08-21,290,305,299.333333333333,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49035,"Utah","Salt Lake",2018-08-21 00:30:00,1,2018-08-21 01:30:00,295,309,304.75,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49037,"Utah","San Juan",2018-08-21 21:15:00,3.75,2018-08-22 01:00:00,346,409,350.2,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49039,"Utah","Sanpete",2018-08-21 13:45:00,2.75,2018-08-21 16:30:00,232,674,633.454545454545,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49043,"Utah","Summit",2018-08-21 16:30:00,2.5,2018-08-21 19:00:00,737,742,740.9,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49049,"Utah","Utah",2018-08-21 01:30:00,5.75,2018-08-21 07:15:00,278,1205,405.347826086957,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49053,"Utah","Washington",2018-08-22 04:15:00,2.75,2018-08-22 07:00:00,391,391,391,"Potential or Actual Physical Interference"
"Utah",2018-08-19 15:20:00,2018-08-19 15:21:00,"Vandalism",49057,"Utah","Weber",2018-08-20 23:45:00,0.5,2018-08-21 00:15:00,250,250,250,"Potential or Actual Physical Interference"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49011,"Utah","Davis",2018-04-10 00:15:00,0.25,2018-04-10 00:30:00,2200,2200,2200,"Equipment Issue"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49027,"Utah","Millard",2018-04-09 18:15:00,0.25,2018-04-09 18:30:00,208,208,208,"Equipment Issue"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49035,"Utah","Salt Lake",2018-04-09 19:30:00,0.5,2018-04-09 20:00:00,15357,15378,15367.5,"Equipment Issue"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49037,"Utah","San Juan",2018-04-10 21:45:00,0.25,2018-04-10 22:00:00,260,260,260,"Equipment Issue"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49053,"Utah","Washington",2018-04-10 07:15:00,2.25,2018-04-10 09:30:00,898,898,898,"Equipment Issue"
"Utah",2018-04-09 12:16:00,2018-04-09 13:52:00,"Transmission Interruption",49057,"Utah","Weber",2018-04-11 16:00:00,1.75,2018-04-11 17:45:00,204,209,205.857142857143,"Equipment Issue"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49017,"Utah","Garfield",2018-10-22 17:15:00,3.25,2018-10-22 20:30:00,643,685,664.846153846154,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-23 00:30:00,0.25,2018-10-23 00:45:00,1655,1655,1655,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-24 16:00:00,1,2018-10-24 17:00:00,215,221,216.5,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49035,"Utah","Salt Lake",2018-10-24 17:15:00,1.75,2018-10-24 19:00:00,301,308,305.285714285714,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49053,"Utah","Washington",2018-10-22 10:30:00,5,2018-10-22 15:30:00,394,557,414.4,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49057,"Utah","Weber",2018-10-23 08:00:00,2,2018-10-23 10:00:00,348,1578,811,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49057,"Utah","Weber",2018-10-23 12:30:00,1.25,2018-10-23 13:45:00,206,206,206,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49057,"Utah","Weber",2018-10-23 16:15:00,2.75,2018-10-23 19:00:00,233,380,324.909090909091,"Potential or Actual Physical Interference"
"Utah",2018-10-22 10:25:00,2018-10-22 10:31:00,"Vandalism",49057,"Utah","Weber",2018-10-24 01:45:00,2.25,2018-10-24 04:00:00,267,269,267.888888888889,"Potential or Actual Physical Interference"
"Utah",2018-12-18 08:47:00,2018-12-18 08:48:00,"Vandalism",49033,"Utah","Rich",2018-12-19 13:30:00,0.5,2018-12-19 14:00:00,309,309,309,"Potential or Actual Physical Interference"
"Utah",2018-12-18 08:47:00,2018-12-18 08:48:00,"Vandalism",49035,"Utah","Salt Lake",2018-12-21 02:45:00,1,2018-12-21 03:45:00,200,2036,1574.75,"Potential or Actual Physical Interference"
"Utah",2018-12-18 08:47:00,2018-12-18 08:48:00,"Vandalism",49039,"Utah","Sanpete",2018-12-19 23:15:00,1.25,2018-12-20 00:30:00,2243,2243,2243,"Potential or Actual Physical Interference"
"Utah",2018-12-18 08:47:00,2018-12-18 08:48:00,"Vandalism",49053,"Utah","Washington",2018-12-20 07:45:00,1.75,2018-12-20 09:30:00,283,283,283,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49003,"Utah","Box Elder",2018-05-11 11:30:00,4,2018-05-11 15:30:00,202,228,216.9375,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-08 16:00:00,1.5,2018-05-08 17:30:00,204,216,210.166666666667,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-08 18:15:00,0.5,2018-05-08 18:45:00,252,252,252,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-09 00:30:00,1.75,2018-05-09 02:15:00,218,314,287,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-09 15:15:00,2.75,2018-05-09 18:00:00,222,241,228.545454545455,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-09 18:30:00,2.75,2018-05-09 21:15:00,239,299,278.363636363636,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-09 22:45:00,1.75,2018-05-10 00:30:00,334,344,338.857142857143,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49035,"Utah","Salt Lake",2018-05-10 14:00:00,2.75,2018-05-10 16:45:00,214,296,246.636363636364,"Potential or Actual Physical Interference"
"Utah",2018-05-08 16:00:00,2018-05-08 16:01:00,"Actual Physical Attack",49039,"Utah","Sanpete",2018-05-10 17:00:00,0.75,2018-05-10 17:45:00,293,293,293,"Potential or Actual Physical Interference"
