"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"Welcome To New York","1989","2014-01-01",1,"spotify:track:10nqz67NQWWa7XPq7ycihi",0.038,0.793,0.634,1.76e-06,0.304,-4.807,0.0324,117.023,0.615,59,3.54333333333333
"Blank Space","1989","2014-01-01",2,"spotify:track:2ls70nUDfjzm1lSRDuKxmw",0.085,0.752,0.678,1.64e-06,0.13,-5.421,0.0646,96.009,0.583,60,3.86376666666667
"Style","1989","2014-01-01",3,"spotify:track:71PmZqBXH0RUETqxpwlV0w",0.00256,0.598,0.786,0.00143,0.117,-5.572,0.0382,95.021,0.456,56,3.85
"Out Of The Woods","1989","2014-01-01",4,"spotify:track:7EpVQjqtKygiwJIASxMWNg",0.00103,0.552,0.841,1.23e-05,0.337,-6.938,0.0372,91.993,0.342,46,3.93
"All You Had To Do Was Stay","1989","2014-01-01",5,"spotify:track:4NNolUeL5m2ju7kf8pdg6H",0.00196,0.602,0.735,4.77e-05,0.105,-5.778,0.0337,96.969,0.472,53,3.22155
"Shake It Off","1989","2014-01-01",6,"spotify:track:1kKlhuQE0HXp1IwBRpaH2P",0.0561,0.648,0.785,0,0.148,-5.414,0.165,160.02,0.943,53,3.65333333333333
"I Wish You Would","1989","2014-01-01",7,"spotify:track:5RVJ6VKfwtosA5Q1qeHdjF",0.016,0.649,0.898,9.9e-05,0.109,-5.963,0.0511,118.027,0.503,42,3.45733333333333
"Bad Blood","1989","2014-01-01",8,"spotify:track:0TvQLMecTE8utzoNmvXRbK",0.0871,0.652,0.802,6.45e-06,0.148,-6.114,0.181,170.157,0.295,71,3.53221666666667
"Wildest Dreams","1989","2014-01-01",9,"spotify:track:3fVnlF4pGqWI9flVENcT28",0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467,75,3.674
"How You Get The Girl","1989","2014-01-01",10,"spotify:track:5Z9ocF6ng0m2haHnKtHwTp",0.00463,0.764,0.659,0.00458,0.0915,-6.136,0.0492,119.982,0.525,43,4.12555
"This Love","1989","2014-01-01",11,"spotify:track:7lTxQZVXlvIX7Z3szSy8Sh",0.635,0.485,0.459,0,0.101,-8.768,0.0337,71.981,0.0858,42,4.16821666666667
"I Know Places","1989","2014-01-01",12,"spotify:track:6Ck9WerfsyvC4v4AylUoDp",0.231,0.595,0.763,0,0.2,-4.991,0.0661,159.959,0.507,43,3.26176666666667
"Clean","1989","2014-01-01",13,"spotify:track:2k43eySbfpDVx0PrO99UI8",0.242,0.81,0.38,0,0.113,-7.755,0.035,103.981,0.211,42,4.51666666666667
