"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"I Forgot That You Existed","Lover","2019-08-23",1,"spotify:track:43rA71bccXFGD4C8GOpIlN",0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,0.541,71,2.844
"Cruel Summer","Lover","2019-08-23",2,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr",0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,93,2.97376666666667
"Lover","Lover","2019-08-23",3,"spotify:track:1dGr1c8CrMLDpV6mPbImSI",0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,86,3.68843333333333
"The Man","Lover","2019-08-23",4,"spotify:track:3RauEVgRgj1IuWdJ9fDs70",0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,81,3.17266666666667
"The Archer","Lover","2019-08-23",5,"spotify:track:3pHkh7d0lzM2AldUtz2x37",0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,75,3.52066666666667
"I Think He Knows","Lover","2019-08-23",6,"spotify:track:2YWtcWi3a83pdEg3Gif4Pd",0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,72,2.88976666666667
"Miss Americana & The Heartbreak Prince","Lover","2019-08-23",7,"spotify:track:214nt20w5wOxJnY462klLw",0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,79,3.90243333333333
"Paper Rings","Lover","2019-08-23",8,"spotify:track:4y5bvROuBDPr5fuwXbIBZR",0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,0.865,78,3.70666666666667
"Cornelia Street","Lover","2019-08-23",9,"spotify:track:12M5uqx0ZuwkpLp5rJim1a",0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,74,4.78776666666667
"Death By A Thousand Cuts","Lover","2019-08-23",10,"spotify:track:2dgFqt3w9xIQRjhPtwNk3D",0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,72,3.30888333333333
"London Boy","Lover","2019-08-23",11,"spotify:track:1LLXZFeAHK9R4xUramtUKw",0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,74,3.17066666666667
"Soon You’ll Get Better (feat. The Chicks)","Lover","2019-08-23",12,"spotify:track:4AYtqFyFbX0Xkc2wtcygTr",0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,0.421,66,3.35976666666667
"False God","Lover","2019-08-23",13,"spotify:track:5hQSXkFgbxjZo9uCwd11so",0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,73,3.33843333333333
"You Need To Calm Down","Lover","2019-08-23",14,"spotify:track:6RRNNciQGZEXnqk8SQ9yv5",0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,0.714,80,2.856
"Afterglow","Lover","2019-08-23",15,"spotify:track:1SymEzIT3H8UZfibCs3TYi",0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,74,3.72155
"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","2019-08-23",16,"spotify:track:2Rk4JlNc2TPmZe2af99d45",0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,0.728,75,3.21666666666667
"It’s Nice To Have A Friend","Lover","2019-08-23",17,"spotify:track:1SmiQ65iSAbPto6gPFlBYm",0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,66,2.50733333333333
"Daylight","Lover","2019-08-23",18,"spotify:track:1fzAuUVbzlhZ1lJAx9PtY6",0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,78,4.89088333333333
