"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"State Of Grace","Red (Deluxe Edition)","2012-10-22",1,"spotify:track:0b16LTzby1YRVd2nq2Z0fw",0.000197,0.588,0.825,0.00138,0.0884,-5.882,0.0328,129.968,0.397,43,4.92866666666667
"Red","Red (Deluxe Edition)","2012-10-22",2,"spotify:track:7gJtmLyPTwKzhGzMBXtuXH",0.0773,0.602,0.896,8.87e-05,0.0911,-4.267,0.0437,124.978,0.641,54,3.71821666666667
"Treacherous","Red (Deluxe Edition)","2012-10-22",3,"spotify:track:7nECwCDHS1JvQbrmuorZIH",0.101,0.704,0.621,4.3e-06,0.14,-8.086,0.0334,109.995,0.395,41,4.046
"I Knew You Were Trouble.","Red (Deluxe Edition)","2012-10-22",4,"spotify:track:3lKZf71jeNi14udIFPJ29V",0.00454,0.622,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,0.679,59,3.662
"All Too Well","Red (Deluxe Edition)","2012-10-22",5,"spotify:track:6GNRkaWUB0Lwc19SdkTgx8",0.0382,0.602,0.609,2e-04,0.128,-7.803,0.0243,93.06,0.337,59,5.486
"22","Red (Deluxe Edition)","2012-10-22",6,"spotify:track:3WC5CVAahvn98hiseoIvbw",0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,0.668,59,3.86866666666667
"I Almost Do","Red (Deluxe Edition)","2012-10-22",7,"spotify:track:1eyqSYBCTane4rl4vc6PWJ",0.0173,0.567,0.481,4.13e-05,0.182,-7.357,0.027,145.865,0.233,43,4.076
"We Are Never Ever Getting Back Together","Red (Deluxe Edition)","2012-10-22",8,"spotify:track:6kISMRfweKSvgHR0urMQFG",0.00957,0.628,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75,59,3.2191
"Stay Stay Stay","Red (Deluxe Edition)","2012-10-22",9,"spotify:track:0F2S1QlnMaOfmNHIgmES3k",0.307,0.729,0.748,1.29e-06,0.0962,-6.67,0.0245,99.981,0.928,43,3.43088333333333
"The Last Time","Red (Deluxe Edition)","2012-10-22",10,"spotify:track:2Tz4JnXZOcjcp8fWfMjBBk",0.035,0.505,0.443,3.15e-06,0.0906,-7.039,0.0276,94.069,0.123,45,4.98355
"Holy Ground","Red (Deluxe Edition)","2012-10-22",11,"spotify:track:3KmYVOuK2eG7LGP7qQ8DLR",0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,0.648,41,3.38266666666667
"Sad Beautiful Tragic","Red (Deluxe Edition)","2012-10-22",12,"spotify:track:70e9zuv2pJc7ON1OUAJ1zl",0.632,0.624,0.34,0.0337,0.0805,-12.411,0.029,129.987,0.261,40,4.74776666666667
"The Lucky One","Red (Deluxe Edition)","2012-10-22",13,"spotify:track:5VQLMrWhailAhErKNUSnv1",0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,40,4.00443333333333
"Everything Has Changed","Red (Deluxe Edition)","2012-10-22",14,"spotify:track:5PjfMmF06QtxTPZBZHdhoZ",0.36,0.624,0.458,3.89e-06,0.311,-6.755,0.0287,80.016,0.436,52,4.09021666666667
"Starlight","Red (Deluxe Edition)","2012-10-22",15,"spotify:track:1gL4vMhDV3RgJQmDuY5HK1",0.0213,0.649,0.777,0.000335,0.21,-5.804,0.0406,126.018,0.587,41,3.67666666666667
"Begin Again","Red (Deluxe Edition)","2012-10-22",16,"spotify:track:1yG491M3fRfowMdGN5pey4",0.199,0.53,0.526,3.52e-06,0.14,-8.349,0.0263,79.025,0.323,45,3.99043333333333
"The Moment I Knew","Red (Deluxe Edition)","2012-10-22",17,"spotify:track:4qTAwKJQ68gmnrnfPD3vlO",0.187,0.619,0.506,1.47e-05,0.101,-7.327,0.0315,126.03,0.274,38,4.77688333333333
"Come Back...Be Here","Red (Deluxe Edition)","2012-10-22",18,"spotify:track:1n8rB9AhxiAvVP1E2c3yOd",0.00471,0.483,0.548,2.01e-06,0.0997,-6.291,0.0254,79.926,0.217,43,3.732
"Girl At Home","Red (Deluxe Edition)","2012-10-22",19,"spotify:track:6VFpuI0DDmbC5UyWZQ4IRY",0.272,0.733,0.59,0,0.134,-5.86,0.0284,125.048,0.633,37,3.68066666666667
"Treacherous - Original Demo Recording","Red (Deluxe Edition)","2012-10-22",20,"spotify:track:7skiELMb9SiQCcBpsExIJf",0.175,0.828,0.64,6.14e-05,0.0991,-8.248,0.0355,109.993,0.519,34,4.00443333333333
"Red - Original Demo Recording","Red (Deluxe Edition)","2012-10-22",21,"spotify:track:2OghnlGqZZsFzHjG0CSE9l",0.113,0.678,0.902,0.000235,0.0705,-4.659,0.0358,124.998,0.637,36,3.78466666666667
"State Of Grace - Acoustic","Red (Deluxe Edition)","2012-10-22",22,"spotify:track:5mfDBWY7ncZFm7ykmFTG4i",0.664,0.626,0.118,0.000169,0.127,-15.91,0.0305,105.597,0.0682,37,5.38466666666667
