"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"State Of Grace (Taylor's Version)","Red (Taylor's Version)","2021-11-12",1,"spotify:track:6lzc0Al0zfZOIFsFvBS1ki",0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,0.328,65,4.92355
"Red (Taylor's Version)","Red (Taylor's Version)","2021-11-12",2,"spotify:track:4OAuvHryIVv4kMDNSLuPt6",0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,73,3.71821666666667
"Treacherous (Taylor's Version)","Red (Taylor's Version)","2021-11-12",3,"spotify:track:3S7HNKPakdwNEBFIVTL6dZ",0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,65,4.04533333333333
"I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)","2021-11-12",4,"spotify:track:6AtZLIzUINvExIUy4QhdjP",0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,76,3.66266666666667
"All Too Well (Taylor's Version)","Red (Taylor's Version)","2021-11-12",5,"spotify:track:3nsfB1vus2qaloUdcBZvDu",0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,71,5.486
"22 (Taylor's Version)","Red (Taylor's Version)","2021-11-12",6,"spotify:track:3yII7UwgLF6K5zW3xad3MP",0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,76,3.84933333333333
"I Almost Do (Taylor's Version)","Red (Taylor's Version)","2021-11-12",7,"spotify:track:2r9CbjYgFhtAmcFv1cSquB",0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,0.248,64,4.07643333333333
"We Are Never Ever Getting Back Together (Taylor's Version)","Red (Taylor's Version)","2021-11-12",8,"spotify:track:5YqltLsjdqFtvqE7Nrysvs",0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,76,3.2191
"Stay Stay Stay (Taylor's Version)","Red (Taylor's Version)","2021-11-12",9,"spotify:track:7eQj6r5PIdYKEIZjucBMcq",0.0848,0.693,0.681,0,0.0768,-7.039,0.025,100.02,0.663,64,3.42976666666667
"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Red (Taylor's Version)","2021-11-12",10,"spotify:track:0y6kdSRCVQhSsHSpWvTUm7",0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,0.155,67,4.98466666666667
"Holy Ground (Taylor's Version)","Red (Taylor's Version)","2021-11-12",11,"spotify:track:7J4b3LVCIGO4CMBDFLPoP6",0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,64,3.38266666666667
"Sad Beautiful Tragic (Taylor's Version)","Red (Taylor's Version)","2021-11-12",12,"spotify:track:73qMN9bXy7MSPwwGfH3wQr",0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,65,4.74621666666667
"The Lucky One (Taylor's Version)","Red (Taylor's Version)","2021-11-12",13,"spotify:track:4e5ayHsOLJNLTGfjau2mEw",0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,0.538,63,4.00776666666667
"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Red (Taylor's Version)","2021-11-12",14,"spotify:track:7qEUFOVcxRI19tbT68JcYK",0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,70,4.09043333333333
"Starlight (Taylor's Version)","Red (Taylor's Version)","2021-11-12",15,"spotify:track:7A2cNLRT0YJc1yjxHlKihs",0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,0.605,63,3.67355
"Begin Again (Taylor's Version)","Red (Taylor's Version)","2021-11-12",16,"spotify:track:05GsNucq8Bngd9fnd4fRa0",0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,66,3.9811
"The Moment I Knew (Taylor's Version)","Red (Taylor's Version)","2021-11-12",17,"spotify:track:0NRHj8hDwwmSPaA41o379r",0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,0.208,63,4.75466666666667
"Come Back...Be Here (Taylor's Version)","Red (Taylor's Version)","2021-11-12",18,"spotify:track:4pNApnaUWAL2J4KO2eqokq",0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,66,3.72221666666667
"Girl At Home (Taylor's Version)","Red (Taylor's Version)","2021-11-12",19,"spotify:track:0DMVrlMUn01M0IcpDbwgu7",0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,61,3.67533333333333
"State Of Grace (Acoustic Version) (Taylor's Version)","Red (Taylor's Version)","2021-11-12",20,"spotify:track:5jAIouBES8LWMiriuNq170",0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,61,5.36066666666667
"Ronan (Taylor's Version)","Red (Taylor's Version)","2021-11-12",21,"spotify:track:7nWui6jiMM2m9qFmET1Mtj",0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,58,4.40421666666667
"Better Man (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",22,"spotify:track:4OmFmE0fzcMG6g0Y8p4eSD",0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,67,4.95021666666667
"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",23,"spotify:track:01K4zKU104LyJ8gMb7227B",0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,70,4.31353333333333
"Babe (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",24,"spotify:track:0v4z1tuZvn6LGknom9Qx7d",0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,67,3.73733333333333
"Message In A Bottle (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",25,"spotify:track:3z6XUommYDWPHeFhmhhT6j",0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,70,3.766
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",26,"spotify:track:4CkgMiMqZ5JzW9iYXSTMTL",0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,70,4.75176666666667
"Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",27,"spotify:track:3oGVx9RBmiYGv5ZCecWLkx",0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,63,4.39221666666667
"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",28,"spotify:track:4IQkfUsrwXol38VV3U7t7T",0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,0.443,64,4.00376666666667
"The Very First Night (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",29,"spotify:track:6pYNq0ZwpPVazKzsqpf0G8",0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,69,3.338
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",30,"spotify:track:5enxwA8aAbwZbf5qCHORXi",0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,80,10.2171
