"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT","2024-04-18",1,"spotify:track:2OzhQlSqBEmt7hmkYxfT6m",0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,91,3.81608333333333
"The Tortured Poets Department","THE TORTURED POETS DEPARTMENT","2024-04-18",2,"spotify:track:3NMrVbIVWT3fPXBj0rNDKG",0.0483,0.604,0.428,0,0.126,-8.441,0.0255,110.259,0.292,75,4.88413333333333
"My Boy Only Breaks His Favorite Toys","THE TORTURED POETS DEPARTMENT","2024-04-18",3,"spotify:track:2XXwLdtuAcE0HSCu61ijAb",0.137,0.596,0.563,0,0.302,-7.362,0.0269,97.073,0.481,77,3.39668333333333
"Down Bad","THE TORTURED POETS DEPARTMENT","2024-04-18",4,"spotify:track:2F3N9tdombb64aW6VtZOdo",0.56,0.541,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,82,4.3538
"So Long, London","THE TORTURED POETS DEPARTMENT","2024-04-18",5,"spotify:track:3Vevii7qKqrmW8CcyzBHDl",0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,78,4.3829
"But Daddy I Love Him","THE TORTURED POETS DEPARTMENT","2024-04-18",6,"spotify:track:5og4Qzt92jJzVDkOtSEilb",0.384,0.521,0.72,0,0.135,-7.684,0.104,79.943,0.438,78,5.6738
"Fresh Out The Slammer","THE TORTURED POETS DEPARTMENT","2024-04-18",7,"spotify:track:3fO566xJgwxIa3qGCGBvIC",0.624,0.33,0.483,0,0.111,-9.394,0.0399,87.115,0.34,69,3.51315
"Florida!!! (feat. Florence + The Machine)","THE TORTURED POETS DEPARTMENT","2024-04-18",8,"spotify:track:3ZVFcD8Wlw9T9klGqmJf9F",0.178,0.533,0.573,0,0.309,-7.123,0.138,150.088,0.398,76,3.59105
"Guilty as Sin?","THE TORTURED POETS DEPARTMENT","2024-04-18",9,"spotify:track:0W0iAC1VGlB82PI6elxFYf",0.607,0.626,0.428,0,0.0921,-8.374,0.0261,94.95,0.487,82,4.23941666666667
"Who’s Afraid of Little Old Me?","THE TORTURED POETS DEPARTMENT","2024-04-18",10,"spotify:track:36t6frENUtCYKuZus6aYDO",0.315,0.606,0.338,0,0.106,-10.555,0.048,119.88,0.238,80,5.56806666666667
"I Can Fix Him (No Really I Can)","THE TORTURED POETS DEPARTMENT","2024-04-18",11,"spotify:track:2h3MDMf8sd9s4XIzpTBIjX",0.768,0.661,0.257,1.72e-06,0.176,-13.961,0.045,106.896,0.318,67,2.60495
"loml","THE TORTURED POETS DEPARTMENT","2024-04-18",12,"spotify:track:6RSG1dKPV5gEvILwJb4QtS",0.858,0.423,0.272,0,0.108,-12.56,0.0489,78.539,0.195,75,4.61926666666667
"I Can Do It With a Broken Heart","THE TORTURED POETS DEPARTMENT","2024-04-18",13,"spotify:track:4q5YezDOIPcoLr8R81x9qy",0.123,0.701,0.751,0,0.15,-8.39,0.0502,129.994,0.22,88,3.6334
"The Smallest Man Who Ever Lived","THE TORTURED POETS DEPARTMENT","2024-04-18",14,"spotify:track:2v1ivOOsgn64g5OywuH55L",0.52,0.426,0.41,0,0.338,-9.083,0.0581,142.377,0.263,74,4.09235
"The Alchemy","THE TORTURED POETS DEPARTMENT","2024-04-18",15,"spotify:track:1dhMTsEZz6ZEquGvmzVoHn",0.422,0.64,0.421,0,0.103,-8.802,0.0273,100.056,0.353,73,3.28166666666667
"Clara Bow","THE TORTURED POETS DEPARTMENT","2024-04-18",16,"spotify:track:1UlhrRvYzbHEyugEDspXUB",0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,67,3.61103333333333
