"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"willow","evermore (deluxe version)","2021-01-07",1,"spotify:track:2gVhfX2Gy1T9kDuS9azrF7",0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,66,3.57843333333333
"champagne problems","evermore (deluxe version)","2021-01-07",2,"spotify:track:1gcyHQpBQ1lfXGdhZmWrHP",0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,67,4.06666666666667
"gold rush","evermore (deluxe version)","2021-01-07",3,"spotify:track:3Dby3p1m6IOZn2gIIqECgK",0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,64,3.08866666666667
"‘tis the damn season","evermore (deluxe version)","2021-01-07",4,"spotify:track:6sQckd3Z8NPxVVKUnavY1F",0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,64,3.83066666666667
"tolerate it","evermore (deluxe version)","2021-01-07",5,"spotify:track:6lCvK2AR2uOKkVFCVlAzzm",0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,0.221,66,4.09066666666667
"no body, no crime (feat. HAIM)","evermore (deluxe version)","2021-01-07",6,"spotify:track:6uwfVkaOM1mcMkFmSn35ix",0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,64,3.59376666666667
"happiness","evermore (deluxe version)","2021-01-07",7,"spotify:track:55Vf4bimc1Rtfg0PAQRAo2",0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,62,5.25243333333333
"dorothea","evermore (deluxe version)","2021-01-07",8,"spotify:track:66tOfHVH3aUrscg8vExRV4",0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,61,3.76466666666667
"coney island (feat. The National)","evermore (deluxe version)","2021-01-07",9,"spotify:track:2awNGIJHodfLZSClB3PYhz",0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,63,4.58866666666667
"ivy","evermore (deluxe version)","2021-01-07",10,"spotify:track:43Ykum9T72UOPhBN31grpN",0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,0.535,63,4.34066666666667
"cowboy like me","evermore (deluxe version)","2021-01-07",11,"spotify:track:52OkpDsU6MmPx1AwGOb6Ap",0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,63,4.584
"long story short","evermore (deluxe version)","2021-01-07",12,"spotify:track:5VYWxXUpxuxEmCqMLDqICo",0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,62,3.59866666666667
"marjorie","evermore (deluxe version)","2021-01-07",13,"spotify:track:5uICWmZTLkpEVbK22PBP6e",0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,63,4.29621666666667
"closure","evermore (deluxe version)","2021-01-07",14,"spotify:track:6a8aUhYbaQBUI8PcJ5ZmQ6",0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,0.92,60,3.01088333333333
"evermore (feat. Bon Iver)","evermore (deluxe version)","2021-01-07",15,"spotify:track:6Wlq9rqkxrqj5Kls4Kw14H",0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,64,5.06843333333333
"right where you left me - bonus track","evermore (deluxe version)","2021-01-07",16,"spotify:track:3zwMVvkBe2qIKDObWgXw4N",0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,74,4.08376666666667
"it’s time to go - bonus track","evermore (deluxe version)","2021-01-07",17,"spotify:track:1kdWw77ZpYOkhxeuhzU1j6",0.801,0.592,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,0.416,66,4.244
