"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"willow","evermore","2020-12-11",1,"spotify:track:0lx2cLdOt3piJbcaXIV74f",0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,77,3.57843333333333
"champagne problems","evermore","2020-12-11",2,"spotify:track:0sY6ZUTh4yoctD8VIXz339",0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,77,4.06666666666667
"gold rush","evermore","2020-12-11",3,"spotify:track:5BK0uqwY9DNfZ630STAEaq",0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,67,3.08866666666667
"‘tis the damn season","evermore","2020-12-11",4,"spotify:track:7dW84mWkdWE5a6lFWxJCBG",0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,65,3.83066666666667
"tolerate it","evermore","2020-12-11",5,"spotify:track:0PurA4JVJ8YQgSVopY8fn6",0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,0.221,72,4.09066666666667
"no body, no crime (feat. HAIM)","evermore","2020-12-11",6,"spotify:track:3RaT22zZsxVYxxKR7TAaYF",0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,66,3.59376666666667
"happiness","evermore","2020-12-11",7,"spotify:track:73YUReisjb3A9ActdLLjJQ",0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,64,5.25243333333333
"dorothea","evermore","2020-12-11",8,"spotify:track:670fUmXf4KQekzbEgaXyPA",0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,62,3.76466666666667
"coney island (feat. The National)","evermore","2020-12-11",9,"spotify:track:3k7ne7VmH43ZPWxPdvPUgR",0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,61,4.58866666666667
"ivy","evermore","2020-12-11",10,"spotify:track:19CSr8rwW05VJL2F91KFNK",0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,0.535,66,4.34066666666667
"cowboy like me","evermore","2020-12-11",11,"spotify:track:1XjHRolIXL2M1EEOUsGGR4",0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,65,4.584
"long story short","evermore","2020-12-11",12,"spotify:track:2o2sgVJIgFXk8GQjWTgI6U",0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,62,3.59866666666667
"marjorie","evermore","2020-12-11",13,"spotify:track:12ntTeqEeTg7GAVpe8Mhpl",0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,70,4.29621666666667
"closure","evermore","2020-12-11",14,"spotify:track:35rdVq36LMHQX0Suw9a6tK",0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,0.92,59,3.01088333333333
"evermore (feat. Bon Iver)","evermore","2020-12-11",15,"spotify:track:3O5osWf1rSoKMwe6E9ZaXP",0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,63,5.06843333333333
