"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"the 1","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",1,"spotify:track:0P9wLFurlgumLXuqFEpw52",0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,0.163,48,3.504
"cardigan","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",2,"spotify:track:7zcnlq38eqNWyUF6eNaB5Z",0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,49,3.99266666666667
"the last great american dynasty","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",3,"spotify:track:4ojxSyrEraN7d46BMBPThZ",0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,47,3.85
"exile (feat. Bon Iver)","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",4,"spotify:track:6kz2hkq1xQvDqPcUyBkw8f",0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,0.16,48,4.76066666666667
"my tears ricochet","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",5,"spotify:track:0Oju1YcbPCJuUQQWoZNdJK",0.814,0.456,0.265,0,0.0679,-10.663,0.0328,129.947,0.112,48,4.26488333333333
"mirrorball","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",6,"spotify:track:5jQyGzcwqAxwT5QUIMivoX",0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,0.347,46,3.48288333333333
"seven","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",7,"spotify:track:2vJ7QvyCiR4DaHxwO58izA",0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,0.374,45,3.48176666666667
"august","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",8,"spotify:track:1UHoF9p75IVsvUt6WdTYhn",0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,0.42,48,4.36533333333333
"this is me trying","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",9,"spotify:track:5DnDBYrfGoxdnomqEAkFIv",0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,0.408,47,3.25176666666667
"illicit affairs","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",10,"spotify:track:7CVTowKpGPA2MsIbkTl2oc",0.862,0.529,0.304,0,0.108,-10.567,0.0356,119.58,0.44,46,3.18155
"invisible string","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",11,"spotify:track:4WHIqhrbdva5vQSrCuet3l",0.859,0.651,0.459,6.63e-05,0.105,-11.128,0.0507,83.455,0.454,46,4.21466666666667
"mad woman","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",12,"spotify:track:7klXN6RCN5Rj0VeYO5gBzU",0.67,0.593,0.7,6.77e-06,0.116,-9.016,0.0492,141.898,0.451,44,3.95443333333333
"epiphany","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",13,"spotify:track:5MFjHn1qfR9AsWuyzJLk1z",0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,43,4.8291
"betty","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",14,"spotify:track:2jhfs6moEAK13eLM6xim4l",0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,0.476,45,4.90866666666667
"peace","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",15,"spotify:track:0O9i6jhscByEJs1ipy5hu4",0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,0.328,43,3.9
