"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"All Too Well","reputation Stadium Tour Surprise Song Playlist","2017-11-09",1,"spotify:track:00vJzaoxM3Eja1doBUhX0P",0.0448,0.463,0.605,0.000334,0.128,-7.803,0.0293,186.113,0.317,35,5.486
"Wildest Dreams","reputation Stadium Tour Surprise Song Playlist","2017-11-09",2,"spotify:track:22C0JIVhFaczZ4t9heqREN",0.0703,0.55,0.688,0.00138,0.106,-7.416,0.0904,139.998,0.461,38,3.674
"The Best Day","reputation Stadium Tour Surprise Song Playlist","2017-11-09",3,"spotify:track:7APTsjmZbj7TFXQJAiRti4",0.638,0.668,0.448,4.1e-06,0.158,-8.567,0.0285,126.066,0.386,30,4.1051
"Red","reputation Stadium Tour Surprise Song Playlist","2017-11-09",4,"spotify:track:4V9NuhKQcUFt4cgbynHV79",0.0779,0.605,0.899,0.000124,0.0911,-4.273,0.0423,124.982,0.647,33,3.71821666666667
"Holy Ground","reputation Stadium Tour Surprise Song Playlist","2017-11-09",5,"spotify:track:4hCZk6WJBFQeG3P7WsyntI",0.0159,0.627,0.816,0.0022,0.0965,-6.698,0.0774,157.043,0.648,29,3.38266666666667
"Teardrops On My Guitar - Radio Single Remix","reputation Stadium Tour Surprise Song Playlist","2017-11-09",6,"spotify:track:7eGeUVeCEvEQrivmjl9Qn3",0.315,0.626,0.427,0,0.138,-6.993,0.0234,99.962,0.265,32,3.41176666666667
"Our Song","reputation Stadium Tour Surprise Song Playlist","2017-11-09",7,"spotify:track:7qGr3rjRhndRIpFUA5f2HJ",0.114,0.545,0.663,0,0.321,-5.05,0.0363,178.016,0.565,36,3.39066666666667
"22","reputation Stadium Tour Surprise Song Playlist","2017-11-09",8,"spotify:track:2P5gfMtCcKP0CkmgqFMyPg",0.00254,0.66,0.732,0.00146,0.0473,-6.565,0.0379,104.009,0.677,35,3.86866666666667
"I Knew You Were Trouble.","reputation Stadium Tour Surprise Song Playlist","2017-11-09",9,"spotify:track:2o2IVjuqRkR9hJxtPjtAP0",0.00476,0.536,0.464,2.74e-06,0.0358,-6.761,0.0412,77.318,0.666,36,3.662
"I Don’t Wanna Live Forever (Fifty Shades Darker)","reputation Stadium Tour Surprise Song Playlist","2017-11-09",10,"spotify:track:55n9yjI6qqXh5F2mYvUc2y",0.059,0.73,0.444,1.8e-05,0.14,-8.418,0.0538,117.979,0.106,79,4.11933333333333
"Mean","reputation Stadium Tour Surprise Song Playlist","2017-11-09",11,"spotify:track:5rcHBt2aNcGFWW0jaAUe1L",0.449,0.576,0.755,0,0.223,-3.982,0.0427,163.884,0.791,32,3.97821666666667
"How You Get The Girl","reputation Stadium Tour Surprise Song Playlist","2017-11-09",12,"spotify:track:3aSYZ4upQ6OSNos26YeVWL",0.00363,0.764,0.657,0.00899,0.0918,-6.112,0.0503,119.995,0.546,31,4.12555
"So It Goes...","reputation Stadium Tour Surprise Song Playlist","2017-11-09",13,"spotify:track:41T04yafZVrjNq2FqvLtId",0.122,0.578,0.61,1.1e-06,0.13,-7.283,0.0676,74.996,0.371,54,3.79843333333333
"Fifteen","reputation Stadium Tour Surprise Song Playlist","2017-11-09",14,"spotify:track:0H2UD0LfSCiRr59YMGlCuS",0.07,0.549,0.63,0,0.138,-4.436,0.027,95.124,0.217,29,4.922
"Mine","reputation Stadium Tour Surprise Song Playlist","2017-11-09",15,"spotify:track:6FmJKLpyCt42nP2IOVEVc2",0.00311,0.622,0.781,3.1e-06,0.187,-2.945,0.0302,121.029,0.662,37,3.86443333333333
"Sparks Fly","reputation Stadium Tour Surprise Song Playlist","2017-11-09",16,"spotify:track:5h2sBwpUSAndjObfU3ti2r",0.041,0.61,0.782,0,0.16,-2.98,0.0309,114.974,0.399,31,4.382
"State Of Grace","reputation Stadium Tour Surprise Song Playlist","2017-11-09",17,"spotify:track:0YRGTdfmJPALpglAaraYUr",0.000182,0.591,0.828,0.00115,0.0879,-5.895,0.0333,129.958,0.383,28,4.92866666666667
"Haunted","reputation Stadium Tour Surprise Song Playlist","2017-11-09",18,"spotify:track:6CB7DczrX9ZJB9Wkjegmaq",0.0655,0.43,0.948,0,0.0612,-2.622,0.0605,162.026,0.371,30,4.09021666666667
"Never Grow Up","reputation Stadium Tour Surprise Song Playlist","2017-11-09",19,"spotify:track:1UPDfqsVIZLEiZeMuUsni2",0.824,0.714,0.309,0,0.136,-8.828,0.0302,124.892,0.546,28,4.882
"Treacherous","reputation Stadium Tour Surprise Song Playlist","2017-11-09",20,"spotify:track:0r3U7SOcoj4DIEyN44Lt5z",0.101,0.704,0.621,4.3e-06,0.14,-8.086,0.0334,109.996,0.395,27,4.046
"Babe","reputation Stadium Tour Surprise Song Playlist","2017-11-09",21,"spotify:track:40PXEOFLJc7UIpLMrhSfW1",0.0221,0.577,0.785,0,0.125,-3.266,0.102,171.78,0.647,29,3.5851
"Welcome To New York","reputation Stadium Tour Surprise Song Playlist","2017-11-09",22,"spotify:track:3YLA3NgzFRRa7LiHMtFPby",0.0348,0.789,0.634,1.69e-06,0.302,-4.762,0.0323,117,0.658,31,3.54333333333333
"Fearless","reputation Stadium Tour Surprise Song Playlist","2017-11-09",23,"spotify:track:43sE2O3skbGBpT2tO6fzv9",0.0381,0.603,0.717,0,0.307,-4.401,0.0272,100.163,0.429,29,4.04955
"Enchanted","reputation Stadium Tour Surprise Song Playlist","2017-11-09",24,"spotify:track:5lg33MHs1BoUtJVClw8ZpI",0.0707,0.536,0.629,0.00117,0.158,-3.907,0.0275,81.963,0.222,40,5.88755
"Change","reputation Stadium Tour Surprise Song Playlist","2017-11-09",25,"spotify:track:5PSOWHll3h3Vy226xSJk0M",0.00418,0.543,0.764,0,0.111,-4.206,0.0377,95.999,0.233,26,4.68421666666667
"Ours","reputation Stadium Tour Surprise Song Playlist","2017-11-09",26,"spotify:track:0V3SNHDka1JSCP71HAzpxw",0.469,0.609,0.56,0,0.087,-7.392,0.0279,159.838,0.228,30,3.9891
"Out Of The Woods","reputation Stadium Tour Surprise Song Playlist","2017-11-09",27,"spotify:track:0GmfiNHSgkKamYgQEMYOH3",0.000743,0.553,0.841,1.07e-05,0.341,-6.937,0.0397,91.999,0.339,32,3.93
"Come Back...Be Here","reputation Stadium Tour Surprise Song Playlist","2017-11-09",28,"spotify:track:5hiqtrACtMJkNpaNHj0n9Z",0.00471,0.486,0.548,2.06e-06,0.0997,-6.291,0.0256,79.873,0.22,28,3.732
"A Place in this World","reputation Stadium Tour Surprise Song Playlist","2017-11-09",29,"spotify:track:2RSYYe7LhKFxIi50T5XtUo",0.0576,0.573,0.767,0,0.327,-2.929,0.0323,114.985,0.438,27,3.368
"This Love","reputation Stadium Tour Surprise Song Playlist","2017-11-09",30,"spotify:track:64KRxmbqypPBlya4nxFmDn",0.679,0.48,0.435,0,0.0928,-8.795,0.0319,143.942,0.108,28,4.16821666666667
"The Lucky One","reputation Stadium Tour Surprise Song Playlist","2017-11-09",31,"spotify:track:24ksPWXKg1k7OOG57pufED",0.0352,0.706,0.505,0,0.13,-7.639,0.0358,117.935,0.561,26,4.00443333333333
"Invisible","reputation Stadium Tour Surprise Song Playlist","2017-11-09",32,"spotify:track:0kqC185OTcnuhbz4T7g5RB",0.56,0.608,0.384,0,0.165,-5.732,0.0246,95.963,0.217,27,3.43088333333333
"Breathe","reputation Stadium Tour Surprise Song Playlist","2017-11-09",33,"spotify:track:3oxgFdIlxFEDEJqn7k5TVN",0.416,0.442,0.48,0,0.129,-7.405,0.0281,73.849,0.167,31,4.41576666666667
"Better Man","reputation Stadium Tour Surprise Song Playlist","2017-11-09",34,"spotify:track:3EXetjrGgwIjDRNn6YA8sa",0.121,0.503,0.844,0,0.0974,-3.648,0.0379,143.941,0.508,30,4.39355
"Jump Then Fall","reputation Stadium Tour Surprise Song Playlist","2017-11-09",35,"spotify:track:5zytSTR2g0I9psX2Z12ex6",0.113,0.617,0.699,0,0.074,-5.712,0.0271,79.979,0.827,26,3.96821666666667
"Begin Again","reputation Stadium Tour Surprise Song Playlist","2017-11-09",36,"spotify:track:2G679wnKfyhUOeNx910OXg",0.197,0.516,0.526,3.49e-06,0.14,-8.349,0.0269,78.985,0.312,27,3.99043333333333
"Tied Together with a Smile","reputation Stadium Tour Surprise Song Playlist","2017-11-09",37,"spotify:track:4qNEi8zGIYLiMtoW8OaJdx",0.523,0.478,0.547,0,0.0728,-4.948,0.0275,146.134,0.238,27,4.18688333333333
"The Story Of Us","reputation Stadium Tour Surprise Song Playlist","2017-11-09",38,"spotify:track:2fF3QzbGCrtrDXIdWcg1mv",0.00556,0.547,0.807,0.000318,0.0588,-3.63,0.0398,139.911,0.645,28,4.46088333333333
"Forever & Always","reputation Stadium Tour Surprise Song Playlist","2017-11-09",39,"spotify:track:0QCS4NpURHvWdF1icdkfBw",0.0805,0.607,0.829,0,0.207,-5.02,0.0587,128.055,0.521,26,3.77155
"Hey Stephen","reputation Stadium Tour Surprise Song Playlist","2017-11-09",40,"spotify:track:0TYJbIHBtmWy9ugtU9BcbE",0.191,0.843,0.541,1.93e-06,0.108,-7.361,0.0318,116.002,0.839,26,4.26733333333333
"Speak Now","reputation Stadium Tour Surprise Song Playlist","2017-11-09",41,"spotify:track:1XLc4irbX7oQSneh6gWv3O",0.0991,0.712,0.603,0,0.102,-3.753,0.0304,118.979,0.714,28,4.05576666666667
"Wonderland","reputation Stadium Tour Surprise Song Playlist","2017-11-09",42,"spotify:track:0eTCaVOYLpJlSkbEi2jay4",0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.019,0.197,30,4.09266666666667
"White Horse","reputation Stadium Tour Surprise Song Playlist","2017-11-09",43,"spotify:track:4RMfSYDFkcz0bKoK8fHDgR",0.311,0.578,0.348,0,0.1,-8.066,0.0257,92.671,0.218,28,3.92333333333333
"I'm Only Me When I'm With You","reputation Stadium Tour Surprise Song Playlist","2017-11-09",44,"spotify:track:6Py8IKZqDyU8aQVrjilbJw",0.00454,0.556,0.933,0.000462,0.101,-3.685,0.0719,143.929,0.521,28,3.59333333333333
"Starlight","reputation Stadium Tour Surprise Song Playlist","2017-11-09",45,"spotify:track:7txpzmA69zyk50K3ZyZSzC",0.0186,0.649,0.779,0.000474,0.234,-5.798,0.0391,126.014,0.617,27,3.67666666666667
"I Know Places","reputation Stadium Tour Surprise Song Playlist","2017-11-09",46,"spotify:track:3qGLcmO0XnnrcpAQGZwTvA",0.243,0.603,0.755,0,0.178,-4.991,0.0709,159.971,0.496,28,3.26176666666667
