"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"...Ready For It?","reputation","2017-11-10",1,"spotify:track:2yLa0QULdQr0qAIvVwN6B5",0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,82,3.46976666666667
"End Game","reputation","2017-11-10",2,"spotify:track:2x0WlnmfG39ZuDmstl9xfX",0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,74,4.08043333333333
"I Did Something Bad","reputation","2017-11-10",3,"spotify:track:4svZDCRz4cJoneBpjpx8DJ",0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,0.305,75,3.97088333333333
"Don’t Blame Me","reputation","2017-11-10",4,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE",0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,0.193,85,3.94021666666667
"Delicate","reputation","2017-11-10",5,"spotify:track:6NFyWDv5CjfwuzoCkw47Xf",0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,81,3.87088333333333
"Look What You Made Me Do","reputation","2017-11-10",6,"spotify:track:1P17dC1amhFzptugyAO7Il",0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,0.506,81,3.53088333333333
"So It Goes...","reputation","2017-11-10",7,"spotify:track:5PxFv9yJEg9dxvbZggykro",0.122,0.574,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,0.374,69,3.79843333333333
"Gorgeous","reputation","2017-11-10",8,"spotify:track:1ZY1PqizIl78geGM4xWlEA",0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,0.451,76,3.49466666666667
"Getaway Car","reputation","2017-11-10",9,"spotify:track:0VE4kBnHJUgtMf0dy6DRmW",0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,0.351,79,3.89376666666667
"King Of My Heart","reputation","2017-11-10",10,"spotify:track:7HuBDWi18s4aJM8UFnNheH",0.00882,0.675,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,0.314,72,3.572
"Dancing With Our Hands Tied","reputation","2017-11-10",11,"spotify:track:7I7JbDv63ZJJsSi24DyJrz",0.0604,0.624,0.691,1.1e-05,0.138,-6.686,0.196,160.024,0.284,72,3.5251
"Dress","reputation","2017-11-10",12,"spotify:track:6oVxXO5oQ4pTpO8RSnkzvv",0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,75,3.83955
"This Is Why We Can't Have Nice Things","reputation","2017-11-10",13,"spotify:track:07NxDD1iKCHbAldceD7QLP",0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,70,3.45221666666667
"Call It What You Want","reputation","2017-11-10",14,"spotify:track:1GwMQaZz6Au3QLDbjbMdme",0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,75,3.39176666666667
"New Year’s Day","reputation","2017-11-10",15,"spotify:track:7F5oktn5YOsR9eR5YsFtqb",0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,70,3.92443333333333
