"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Welcome To New York","1989 (Deluxe)","2014-01-01",1,"spotify:track:3nRmDz7qGCvsMS30rGGY0x",0.0348,0.789,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,0.658,48,"03:32"
"Blank Space","1989 (Deluxe)","2014-01-01",2,"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g",0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,0.57,81,"03:51"
"Style","1989 (Deluxe)","2014-01-01",3,"spotify:track:0ug5NqcwcFR2xrfTkc7k8e",0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,79,"03:51"
"Out Of The Woods","1989 (Deluxe)","2014-01-01",4,"spotify:track:0qUnBLZ8bJqUNEeQgayL9t",0.000743,0.553,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,0.338,59,"03:55"
"All You Had To Do Was Stay","1989 (Deluxe)","2014-01-01",5,"spotify:track:6aLOekfwbytwWvQftxTEF0",0.00201,0.605,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,0.539,47,"03:13"
"Shake It Off","1989 (Deluxe)","2014-01-01",6,"spotify:track:0cqRj7pUJDkTCEsJkx8snD",0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,0.942,80,"03:39"
"I Wish You Would","1989 (Deluxe)","2014-01-01",7,"spotify:track:5gRYrtvyVyaCRvLt56OfuV",0.0158,0.653,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,0.513,51,"03:27"
"Bad Blood","1989 (Deluxe)","2014-01-01",8,"spotify:track:2NlmmAjGYrrjAp0MED5rGx",0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,0.287,52,"03:31"
"Wildest Dreams","1989 (Deluxe)","2014-01-01",9,"spotify:track:4A4A6dwl5DqdqrZaEtKGPR",0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,52,"03:40"
"How You Get The Girl","1989 (Deluxe)","2014-01-01",10,"spotify:track:0fM9dEhUFV4MHDuJgrcfOv",0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,0.545,55,"04:07"
"This Love","1989 (Deluxe)","2014-01-01",11,"spotify:track:4L560fic5PaTuCFm6CviKa",0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,0.107,50,"04:10"
"I Know Places","1989 (Deluxe)","2014-01-01",12,"spotify:track:6EwNJz8CuVsrsLvXprJ20Q",0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,0.495,50,"03:15"
"Clean","1989 (Deluxe)","2014-01-01",13,"spotify:track:1NmVZsG18CzCAtw7rnV3yA",0.232,0.815,0.377,0,0.1,-7.754,0.0346,103.97,0.211,55,"04:31"
"Wonderland","1989 (Deluxe)","2014-01-01",14,"spotify:track:6RvRzl1YJTDnUvdOtV21IK",0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,0.197,55,"04:05"
"You Are In Love","1989 (Deluxe)","2014-01-01",15,"spotify:track:2KrOAg6FftbjgSKdd2a4rS",0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,55,"04:27"
"New Romantics","1989 (Deluxe)","2014-01-01",16,"spotify:track:0qAIiGFKLdV1xpNlEhjpq8",0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,0.584,62,"03:50"
"I Know Places - Voice Memo","1989 (Deluxe)","2014-01-01",17,"spotify:track:4FoV729rw7IhoKlMZW5K5V",0.829,0.592,0.128,0,0.527,-17.932,0.589,78.828,0.15,0,"03:36"
"I Wish You Would - Voice Memo","1989 (Deluxe)","2014-01-01",18,"spotify:track:4eTXfpHxhxVofrBUjAhPMg",0.717,0.781,0.357,0,0.185,-16.394,0.912,118.317,0.645,0,"01:47"
"Blank Space - Voice Memo","1989 (Deluxe)","2014-01-01",19,"spotify:track:4e6QU4gpfZj9xxcK856RgG",0.801,0.675,0.234,0,0.657,-15.064,0.721,127.296,0.578,0,"02:11"
