"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Fearless","Fearless (International Version)","2008-11-11",1,"spotify:track:6zV8AVM9eVfdG7Qahwd64R",0.0449,0.593,0.705,0,0.309,-4.43,0.0269,100.11,0.472,36,"04:02"
"Fifteen","Fearless (International Version)","2008-11-11",2,"spotify:track:4yf9OivCH2lmQWN8mzpCC6",0.072,0.555,0.648,0,0.143,-4.419,0.027,95.431,0.207,32,"04:54"
"Love Story","Fearless (International Version)","2008-11-11",3,"spotify:track:5xPsybHWRHbTYO44xnREY5",0.0186,0.62,0.639,0.00011,0.206,-5.398,0.0285,119.055,0.34,46,"03:53"
"Hey Stephen","Fearless (International Version)","2008-11-11",4,"spotify:track:4fWDgRZa0GKE5KZNhE9MQa",0.174,0.843,0.543,3.87e-06,0.0968,-7.364,0.0317,116,0.826,30,"04:14"
"White Horse","Fearless (International Version)","2008-11-11",5,"spotify:track:1yFjBRQVhRdcdnrTE5LuyD",0.298,0.587,0.342,0,0.106,-8.034,0.0257,92.71,0.212,33,"03:53"
"You Belong With Me","Fearless (International Version)","2008-11-11",6,"spotify:track:7G6TDmGJXDoBaV6NGj3Yic",0.151,0.688,0.775,1.98e-05,0.104,-4.436,0.0381,129.969,0.469,45,"03:50"
"Breathe","Fearless (International Version)","2008-11-11",7,"spotify:track:0qsSmObOgBZfuMIwfAQDBP",0.389,0.488,0.472,0,0.125,-7.39,0.0275,147.926,0.163,31,"04:23"
"Tell Me Why","Fearless (International Version)","2008-11-11",8,"spotify:track:6vLpy7UPYuOa75Bkqocrcw",0.0611,0.606,0.848,1.99e-06,0.374,-3.058,0.0374,99.999,0.476,27,"03:20"
"You're Not Sorry","Fearless (International Version)","2008-11-11",9,"spotify:track:4N419mmxYybTfAECy5j4dw",0.145,0.471,0.458,2.39e-06,0.108,-4.137,0.027,133.96,0.309,28,"04:21"
"The Way I Loved You","Fearless (International Version)","2008-11-11",10,"spotify:track:04LDcz3RX1P5sIlzQGqgUN",0.0315,0.434,0.723,0,0.125,-3.748,0.0335,160.872,0.412,31,"04:04"
"Forever & Always","Fearless (International Version)","2008-11-11",11,"spotify:track:3yuOL0jFnVR8tizZzNNo0F",0.0788,0.604,0.816,0,0.164,-5.002,0.0537,128,0.55,28,"03:45"
"The Best Day","Fearless (International Version)","2008-11-11",12,"spotify:track:7G9D32Kx7hdQ9Uga1V4VXm",0.648,0.671,0.44,3.04e-06,0.141,-8.561,0.0287,126.059,0.368,26,"04:05"
"Change","Fearless (International Version)","2008-11-11",13,"spotify:track:493jXNrYmXPCMbSJvVRYLk",0.00465,0.545,0.747,0,0.115,-4.231,0.037,96.017,0.214,25,"04:38"
"Our Song - International Mix","Fearless (International Version)","2008-11-11",14,"spotify:track:5Ct2PYPUSogyWvbV40k9Bf",0.00739,0.516,0.696,1.11e-06,0.354,-4.833,0.0301,177.936,0.664,31,"03:19"
"Teardrops On My Guitar - International Mix","Fearless (International Version)","2008-11-11",15,"spotify:track:2RM02ladxD5mgdrlAwh3h9",0.0178,0.514,0.557,0.00755,0.114,-6.307,0.0264,99.974,0.152,34,"03:13"
"Should've Said No - International Mix","Fearless (International Version)","2008-11-11",16,"spotify:track:2gwvtlwlKhvkfjz7Fcb6Yk",0.00505,0.398,0.761,0.000437,0.234,-4.382,0.0377,168.092,0.454,29,"04:05"
