"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Fearless (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",1,"spotify:track:77sMIMlNaSURUAXq5coCxE",0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,0.43,78,"04:01"
"Fifteen (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",2,"spotify:track:2nqio0SfWg6gh2eCtfuMa5",0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,0.289,66,"04:54"
"Love Story (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",3,"spotify:track:6YvqWjhGD8mB5QXcbcUKtx",0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415,78,"03:55"
"Hey Stephen (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",4,"spotify:track:550erGcdD9n6PnwxrvYqZT",0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,0.797,65,"04:14"
"White Horse (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",5,"spotify:track:5YL553x8sHderRBDlm3NM3",0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,0.366,67,"03:54"
"You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",6,"spotify:track:1qrpoAMXodY6895hGKoUpA",0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,81,"03:51"
"Breathe (feat. Colbie Caillat) (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",7,"spotify:track:7HC7R2D8WjXVcUHJyEGjRs",0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,63,"04:23"
"Tell Me Why (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",8,"spotify:track:0k0vFacOHNuArLWMiH60p7",0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,0.541,62,"03:20"
"You’re Not Sorry (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",9,"spotify:track:6iiAfo4wTA2CVC3Uwx9uh8",0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,0.241,64,"04:21"
"The Way I Loved You (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",10,"spotify:track:22bPsP2jCgbLUvh82U0Z3M",0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,76,"04:03"
"Forever & Always (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",11,"spotify:track:1msEuwSBneBKpVCZQcFTsU",0.0231,0.598,0.821,0,0.143,-4.433,0.0447,128.03,0.673,67,"03:45"
"The Best Day (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",12,"spotify:track:6ON9UuIq49xXY9GPmHIYRp",0.488,0.642,0.576,0,0.159,-8.524,0.0282,125,0.469,61,"04:05"
"Change (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",13,"spotify:track:3ExweHKZF9B752DPQByRVT",0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,0.344,60,"04:39"
"Jump Then Fall (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",14,"spotify:track:2m3ObD945KvpE5y9A1eUWm",0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,0.624,62,"03:57"
