"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Lavender Haze","Midnights (3am Edition)","2022-10-22",1,"spotify:track:4g2c7NoTWAOSYDy44l9nub",0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,61,"03:22"
"Maroon","Midnights (3am Edition)","2022-10-22",2,"spotify:track:199E1RRrVmVTQqBXih5qRC",0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,61,"03:38"
"Anti-Hero","Midnights (3am Edition)","2022-10-22",3,"spotify:track:02Zkkf2zMkwRGQjZ7T4p8f",0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,62,"03:20"
"Snow On The Beach (feat. Lana Del Rey)","Midnights (3am Edition)","2022-10-22",4,"spotify:track:6ADDIJxxqzM9LMpm78yzQG",0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,62,"04:16"
"You're On Your Own, Kid","Midnights (3am Edition)","2022-10-22",5,"spotify:track:7gVWKBcfIW93YxNBi3ApIE",0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,62,"03:14"
"Midnight Rain","Midnights (3am Edition)","2022-10-22",6,"spotify:track:6Nl7KyvjkFncGsjB49SxLl",0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,61,"02:54"
"Question...?","Midnights (3am Edition)","2022-10-22",7,"spotify:track:6C7OF1Jal7YkyjzyUG8vkK",0.206,0.654,0.51,0,0.249,-8.767,0.242,108.874,0.105,58,"03:30"
"Vigilante Shit","Midnights (3am Edition)","2022-10-22",8,"spotify:track:5yeuXkukVGuix3vmLu2BPJ",0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,61,"02:44"
"Bejeweled","Midnights (3am Edition)","2022-10-22",9,"spotify:track:0jvo9CjnbR0lYUDTSNTMiu",0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,62,"03:14"
"Labyrinth","Midnights (3am Edition)","2022-10-22",10,"spotify:track:43q586vP8gGkYypKoSddhl",0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,58,"04:07"
"Karma","Midnights (3am Edition)","2022-10-22",11,"spotify:track:5oqDgw5VGBln5dSIOPWyBq",0.062,0.64,0.619,0,0.475,-7.108,0.065,90.008,0.121,65,"03:24"
"Sweet Nothing","Midnights (3am Edition)","2022-10-22",12,"spotify:track:3zmwONxswBAzGwExPugSLN",0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,60,"03:08"
"Mastermind","Midnights (3am Edition)","2022-10-22",13,"spotify:track:56hioFjQ0DXrdn04hZcFgG",0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,64,"03:11"
"The Great War","Midnights (3am Edition)","2022-10-22",14,"spotify:track:3UMrglJeju5yWyYIW6o99b",0.199,0.57,0.747,2.32e-05,0.0854,-8.93,0.0342,96.016,0.574,69,"04:00"
"Bigger Than The Whole Sky","Midnights (3am Edition)","2022-10-22",15,"spotify:track:0BiqmkasE5FdrChwKfVp8X",0.841,0.42,0.22,0.00131,0.114,-12.584,0.0472,165.564,0.0705,66,"03:38"
"Paris","Midnights (3am Edition)","2022-10-22",16,"spotify:track:7712gjoih4QoDbXpljEk21",0.103,0.703,0.518,2.89e-05,0.148,-10.501,0.085,110.94,0.347,66,"03:16"
"High Infidelity","Midnights (3am Edition)","2022-10-22",17,"spotify:track:5kiZGSxgqPdv6rbqL9THdd",0.704,0.571,0.547,0,0.0877,-10.141,0.101,175.933,0.768,64,"03:51"
"Glitch","Midnights (3am Edition)","2022-10-22",18,"spotify:track:6wAFvJPpTZVirBKGZ4EnMW",0.314,0.677,0.47,0,0.11,-9.65,0.259,140.881,0.347,63,"02:28"
"Would've, Could've, Should've","Midnights (3am Edition)","2022-10-22",19,"spotify:track:0aV5uARAknQgYhBaK944FP",0.393,0.485,0.846,0.00115,0.124,-6.557,0.117,157.918,0.548,68,"04:20"
"Dear Reader","Midnights (3am Edition)","2022-10-22",20,"spotify:track:3QF5RsWzK1lCvf2o2cY65P",0.464,0.674,0.39,0.00122,0.116,-11.944,0.0483,107.891,0.151,64,"03:45"
