"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Lavender Haze","Midnights","2022-10-21",1,"spotify:track:5jQI2r1RdgtuT8S3iG8zFC",0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,"03:22"
"Maroon","Midnights","2022-10-21",2,"spotify:track:3eX0NZfLtGzoLUxPNvRfqm",0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,72,"03:38"
"Anti-Hero","Midnights","2022-10-21",3,"spotify:track:0V3wPSX9ygBnCm8psDIegu",0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,85,"03:20"
"Snow On The Beach (feat. Lana Del Rey)","Midnights","2022-10-21",4,"spotify:track:1wtOxkiel43cVs0Yux5Q4h",0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,69,"04:16"
"You're On Your Own, Kid","Midnights","2022-10-21",5,"spotify:track:4D7BCuvgdJlYvlX5WlN54t",0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,77,"03:14"
"Midnight Rain","Midnights","2022-10-21",6,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4",0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,76,"02:54"
"Question...?","Midnights","2022-10-21",7,"spotify:track:0heeNYlwOGuUSe7TgUD27B",0.206,0.654,0.51,0,0.249,-8.767,0.242,108.874,0.105,66,"03:30"
"Vigilante Shit","Midnights","2022-10-21",8,"spotify:track:1xwAWUI6Dj0WGC3KiUPN0O",0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,74,"02:44"
"Bejeweled","Midnights","2022-10-21",9,"spotify:track:3qoftcUZaUOncvIYjFSPdE",0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,"03:14"
"Labyrinth","Midnights","2022-10-21",10,"spotify:track:0A1JLUlkZkp2EFrosoNQi0",0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,"04:07"
"Karma","Midnights","2022-10-21",11,"spotify:track:7KokYm8cMIXCsGVmUvKtqf",0.062,0.64,0.619,0,0.475,-7.108,0.065,90.008,0.121,80,"03:24"
"Sweet Nothing","Midnights","2022-10-21",12,"spotify:track:0wavGRldH0AWyu2zvTz8zb",0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,"03:08"
"Mastermind","Midnights","2022-10-21",13,"spotify:track:7FmYn9e7KHMXcxqGSj9LjH",0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,"03:11"
