"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Sparks Fly - Live/2011","Speak Now World Tour Live","2010-10-25",1,"spotify:track:1aBJNc2thaKyh5THWzIqHX",0.00917,0.455,0.783,0,0.918,-5.184,0.0393,114.981,0.298,42,"05:36"
"Mine - Live/2011","Speak Now World Tour Live","2010-10-25",2,"spotify:track:7yndkPYP6YQQLBpPsizDfh",0.00233,0.496,0.852,0,0.554,-4.775,0.0373,120.969,0.442,40,"04:19"
"The Story Of Us - Live","Speak Now World Tour Live","2010-10-25",3,"spotify:track:72GIZuUXo14oyrS0si3Rgc",0.00048,0.419,0.908,0,0.815,-5.156,0.0651,139.813,0.472,40,"04:50"
"Mean - Live/2011","Speak Now World Tour Live","2010-10-25",4,"spotify:track:7mFiEij8AXPUZB7aKLbUlQ",0.154,0.429,0.915,0,0.693,-4.373,0.069,163.752,0.432,40,"04:06"
"Ours - Live/2011","Speak Now World Tour Live","2010-10-25",5,"spotify:track:68QyrSzpnoU04AAhE5z8lj",0.715,0.421,0.355,0,0.867,-10.21,0.0298,77.769,0.267,39,"04:05"
"Back To December/Apologize/You're Not Sorry - Live/2011/Medley","Speak Now World Tour Live","2010-10-25",6,"spotify:track:1IsquhJFJ0qcFZI7FeAEuN",0.155,0.374,0.516,0,0.795,-8.745,0.0294,142.057,0.171,47,"06:02"
"Better Than Revenge - Live/2011","Speak Now World Tour Live","2010-10-25",7,"spotify:track:6505MLhnqTDDg4tjoUz2Wp",0.00306,0.445,0.887,2.67e-05,0.931,-5.629,0.0768,145.954,0.386,41,"05:44"
"Speak Now - Live/2011","Speak Now World Tour Live","2010-10-25",8,"spotify:track:3QFB14MOUf3imlyISNmrbT",0.0636,0.615,0.694,1.28e-06,0.83,-5.251,0.0318,118.876,0.373,40,"04:08"
"Last Kiss - Live/2011","Speak Now World Tour Live","2010-10-25",9,"spotify:track:6hH37tyeRdyan1mAppmVor",0.205,0.427,0.395,8.73e-06,0.701,-12.551,0.0291,79.517,0.188,40,"06:09"
"Drops Of Jupiter - Live/2011","Speak Now World Tour Live","2010-10-25",10,"spotify:track:0BSmbCIY36iw04azzJ3S0S",0.806,0.374,0.504,0,0.76,-8.407,0.0392,109.025,0.27,46,"05:15"
"Bette Davis Eyes - Live/2011","Speak Now World Tour Live","2010-10-25",11,"spotify:track:6KF9xd2hBLuexrmBX4vUWD",0.713,0.327,0.488,0,0.837,-9.287,0.0322,104.46,0.363,42,"03:09"
"I Want You Back - Live/2011","Speak Now World Tour Live","2010-10-25",12,"spotify:track:4KB3zBArZ1rHRExilzycaV",0.794,0.536,0.512,0.000122,0.497,-6.794,0.0341,97.397,0.249,40,"01:23"
"Dear John - Live/2011","Speak Now World Tour Live","2010-10-25",13,"spotify:track:4DbI1rr4IQ2bc8nejy9ttd",0.0157,0.521,0.386,0,0.884,-8.784,0.0301,119.518,0.138,40,"06:44"
"Enchanted - Live/2011","Speak Now World Tour Live","2010-10-25",14,"spotify:track:3lm4L3pPL32PFy74dR17OR",0.0747,0.34,0.663,2.34e-06,0.563,-5.597,0.0331,163.678,0.214,42,"06:29"
"Haunted - Live/2011","Speak Now World Tour Live","2010-10-25",15,"spotify:track:6znB7YZhMJT2B83zfbiyLq",0.0245,0.338,0.818,0,0.889,-7.495,0.0496,162.157,0.177,41,"04:52"
"Long Live - Live/2011","Speak Now World Tour Live","2010-10-25",16,"spotify:track:5QkzyLUb4ggojNDp8G2OxX",0.0053,0.544,0.728,0,0.865,-5.838,0.0282,101.939,0.204,41,"06:16"
