"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Mine - POP Mix","Speak Now","2010-10-25",1,"spotify:track:0GxW5K0qzrq7L1jwSY5OmY",0.00461,0.696,0.768,1.21e-06,0.101,-3.863,0.0308,121.05,0.692,42,"03:50"
"Sparks Fly","Speak Now","2010-10-25",2,"spotify:track:46NGAvL695VnbcSeTmQWmM",0.0387,0.608,0.785,0,0.158,-2.976,0.0311,114.985,0.376,53,"04:20"
"Back To December","Speak Now","2010-10-25",3,"spotify:track:5l6GqSxplqnZbLg0LTPQeG",0.0202,0.517,0.606,0,0.324,-5.797,0.0289,141.929,0.296,62,"04:53"
"Speak Now","Speak Now","2010-10-25",4,"spotify:track:7dXKdjpOaH2iwfFKmUj7aq",0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,0.742,50,"04:00"
"Dear John","Speak Now","2010-10-25",5,"spotify:track:3K2es3gElMRJ3qvmPW442g",0.183,0.583,0.468,1.65e-06,0.111,-5.378,0.0278,119.375,0.126,46,"06:43"
"Mean","Speak Now","2010-10-25",6,"spotify:track:0KztjtD3ytzgYjUKIVfBnW",0.445,0.57,0.747,0,0.219,-3.978,0.0426,164.004,0.808,51,"03:57"
"The Story Of Us","Speak Now","2010-10-25",7,"spotify:track:3lXekiVK1ZPZbKconsys73",0.000315,0.575,0.855,0.00161,0.0419,-4.827,0.0467,139.92,0.84,48,"04:25"
"Never Grow Up","Speak Now","2010-10-25",8,"spotify:track:3JilapcaOXzjR9gtvCY8FO",0.829,0.715,0.308,0,0.16,-8.829,0.0305,124.899,0.547,48,"04:50"
"Enchanted","Speak Now","2010-10-25",9,"spotify:track:04S1pkp1VaIqjg8zZqknR5",0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,0.228,71,"05:52"
"Better Than Revenge","Speak Now","2010-10-25",10,"spotify:track:0PWgAyoxsjwGRuFSO0fyya",0.0167,0.519,0.917,2.06e-05,0.359,-3.185,0.0887,145.882,0.652,54,"03:37"
"Innocent","Speak Now","2010-10-25",11,"spotify:track:0mTgFzkDgSAF3nJY25XCXG",0.202,0.553,0.604,0,0.125,-5.295,0.0258,133.989,0.186,38,"05:02"
"Haunted","Speak Now","2010-10-25",12,"spotify:track:2YjKcFQ1vYFhQPgsmCOjss",0.0769,0.434,0.944,0,0.151,-2.641,0.0581,162.02,0.361,47,"04:02"
"Last Kiss","Speak Now","2010-10-25",13,"spotify:track:4EUQXLipplO2v9mVaqQtjc",0.581,0.359,0.329,3.75e-05,0.0979,-9.531,0.0293,84.358,0.208,49,"06:07"
"Long Live","Speak Now","2010-10-25",14,"spotify:track:4ewAfHYpDTzpW1GKO44CVP",0.0426,0.412,0.682,7.47e-05,0.106,-4.319,0.0339,203.959,0.146,51,"05:17"
