"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Tim McGraw","Taylor Swift (Deluxe Edition)","2006-10-24",1,"spotify:track:2Fn01AIMyHbha2ceNQeOqw",0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,56,"03:52"
"Picture To Burn","Taylor Swift (Deluxe Edition)","2006-10-24",2,"spotify:track:4BYejINgfZF0qKDMEH2cim",0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,61,"02:53"
"Teardrops On My Guitar - Radio Single Remix","Taylor Swift (Deluxe Edition)","2006-10-24",3,"spotify:track:2TF4UtYreqNbQ6Z9AccldU",0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,63,"03:23"
"A Place in this World","Taylor Swift (Deluxe Edition)","2006-10-24",4,"spotify:track:1oR4MUBpyNrAViC8wPNpfm",0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,0.428,55,"03:19"
"Cold As You","Taylor Swift (Deluxe Edition)","2006-10-24",5,"spotify:track:569sXXQ7t0jSdqHooi2yqs",0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,55,"03:59"
"The Outside","Taylor Swift (Deluxe Edition)","2006-10-24",6,"spotify:track:5Tj2MqcFMf60CaGsKbM1aq",0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,0.591,54,"03:27"
"Tied Together with a Smile","Taylor Swift (Deluxe Edition)","2006-10-24",7,"spotify:track:2zzxwmoOBnXDT0KnJsoIWk",0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,54,"04:08"
"Stay Beautiful","Taylor Swift (Deluxe Edition)","2006-10-24",8,"spotify:track:41sjzdjScVwnxnxADElts6",0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,53,"03:56"
"Should've Said No","Taylor Swift (Deluxe Edition)","2006-10-24",9,"spotify:track:6CdaXOq1MWe2JHDalTG01d",0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,60,"04:02"
"Mary's Song (Oh My My My)","Taylor Swift (Deluxe Edition)","2006-10-24",10,"spotify:track:2O8sogKJCfVZ4rotBv1vVF",0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,57,"03:33"
"Our Song","Taylor Swift (Deluxe Edition)","2006-10-24",11,"spotify:track:1j6gmK6u4WNI33lMZ8dC1s",0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,64,"03:21"
"I'm Only Me When I'm With You","Taylor Swift (Deluxe Edition)","2006-10-24",12,"spotify:track:7CzxXgQXurKZCyHz9ufbo1",0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,56,"03:33"
"Invisible","Taylor Swift (Deluxe Edition)","2006-10-24",13,"spotify:track:1k3PzDNjg38cWqOvL4M9vq",0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,54,"03:23"
"A Perfectly Good Heart","Taylor Swift (Deluxe Edition)","2006-10-24",14,"spotify:track:0YgHuReCSPwTXYny7isLja",0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,53,"03:40"
"Teardrops on My Guitar - Pop Version","Taylor Swift (Deluxe Edition)","2006-10-24",15,"spotify:track:1hxLyjC9D9Jpw6EAPKqWv4",0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,0.483,55,"02:59"
