fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
1001,Alabama,Autauga,2014-12-24 13:45:00,1.0,640,643,641.0
1003,Alabama,Baldwin,2014-11-03 12:30:00,0.75,348,348,348.0
1003,Alabama,Baldwin,2014-11-16 10:30:00,2.0,300,461,320.125
1003,Alabama,Baldwin,2014-11-18 18:45:00,1.25,296,297,296.4
1003,Alabama,Baldwin,2014-11-19 18:30:00,0.25,297,297,297.0
1003,Alabama,Baldwin,2014-12-24 03:15:00,0.5,208,729,468.5
1003,Alabama,Baldwin,2014-12-24 08:15:00,0.5,532,554,543.0
1003,Alabama,Baldwin,2014-12-25 09:45:00,2.25,722,724,723.0
1013,Alabama,Butler,2014-11-17 12:15:00,0.5,615,615,615.0
1013,Alabama,Butler,2014-11-17 13:30:00,1.5,215,244,224.66666666666666
1021,Alabama,Chilton,2014-12-24 00:30:00,2.5,508,588,548.9
1031,Alabama,Coffee,2014-11-17 09:15:00,0.25,268,268,268.0
1039,Alabama,Covington,2014-11-17 11:00:00,1.5,383,383,383.0
1041,Alabama,Crenshaw,2014-11-17 10:30:00,2.25,815,818,816.0
1041,Alabama,Crenshaw,2014-11-17 13:45:00,8.5,204,1026,740.4705882352941
1041,Alabama,Crenshaw,2014-11-21 17:00:00,0.25,465,465,465.0
1041,Alabama,Crenshaw,2014-11-23 17:30:00,1.5,223,223,223.0
1041,Alabama,Crenshaw,2014-12-01 07:15:00,1.25,227,733,631.8
1047,Alabama,Dallas,2014-11-11 18:45:00,1.5,202,278,265.3333333333333
1047,Alabama,Dallas,2014-11-17 11:15:00,1.0,279,279,279.0
1051,Alabama,Elmore,2014-11-05 13:30:00,26.5,781,1740,1096.198113207547
1051,Alabama,Elmore,2014-11-06 16:15:00,0.5,777,777,777.0
1051,Alabama,Elmore,2014-12-04 15:30:00,1.25,589,589,589.0
1051,Alabama,Elmore,2014-12-04 17:15:00,0.5,589,589,589.0
1051,Alabama,Elmore,2014-12-28 20:45:00,1.0,255,261,259.5
1085,Alabama,Lowndes,2014-12-15 14:15:00,0.25,328,328,328.0
1085,Alabama,Lowndes,2014-12-16 16:15:00,0.25,225,225,225.0
1085,Alabama,Lowndes,2014-12-19 22:45:00,2.25,606,606,606.0
1085,Alabama,Lowndes,2014-12-24 01:45:00,2.5,403,408,407.2
1099,Alabama,Monroe,2014-12-24 03:15:00,0.25,460,460,460.0
1109,Alabama,Pike,2014-11-23 19:30:00,2.0,239,380,336.875
1131,Alabama,Wilcox,2014-11-24 10:15:00,0.5,405,405,405.0
1131,Alabama,Wilcox,2014-12-24 05:00:00,0.5,288,288,288.0
5007,Arkansas,Benton,2014-11-23 00:00:00,1.25,209,209,209.0
5007,Arkansas,Benton,2014-12-27 01:45:00,0.75,223,589,467.0
5009,Arkansas,Boone,2014-12-18 00:30:00,1.25,399,401,400.6
5021,Arkansas,Clay,2014-11-01 23:30:00,4.5,214,266,257.77777777777777
5021,Arkansas,Clay,2014-11-22 23:30:00,0.25,1385,1385,1385.0
5021,Arkansas,Clay,2014-11-24 09:30:00,5.75,456,1803,1301.4782608695652
5023,Arkansas,Cleburne,2014-12-19 06:15:00,0.25,512,512,512.0
5027,Arkansas,Columbia,2014-11-17 16:30:00,0.25,1249,1249,1249.0
5029,Arkansas,Conway,2014-11-16 17:45:00,1.25,520,520,520.0
5029,Arkansas,Conway,2014-11-27 03:00:00,6.0,320,568,494.0833333333333
5029,Arkansas,Conway,2014-12-15 05:30:00,6.75,254,254,254.0
5031,Arkansas,Craighead,2014-12-09 21:45:00,2.0,1507,1557,1550.75
5033,Arkansas,Crawford,2014-11-18 09:45:00,3.75,220,1152,663.5333333333333
5033,Arkansas,Crawford,2014-11-18 16:00:00,0.75,940,941,940.6666666666666
5033,Arkansas,Crawford,2014-12-05 15:30:00,2.25,931,2481,1964.5555555555557
5033,Arkansas,Crawford,2014-12-06 19:45:00,1.25,2481,2481,2481.0
5033,Arkansas,Crawford,2014-12-08 14:00:00,4.75,708,709,708.0526315789474
5033,Arkansas,Crawford,2014-12-08 19:15:00,2.5,708,708,708.0
5033,Arkansas,Crawford,2014-12-08 22:45:00,1.75,708,708,708.0
5035,Arkansas,Crittenden,2014-11-18 14:00:00,1.5,394,397,394.5
5035,Arkansas,Crittenden,2014-11-24 09:30:00,1.25,755,755,755.0
5035,Arkansas,Crittenden,2014-12-06 00:15:00,6.25,234,660,575.52
5035,Arkansas,Crittenden,2014-12-15 12:45:00,2.75,620,620,620.0
5035,Arkansas,Crittenden,2014-12-15 17:15:00,0.25,267,267,267.0
5037,Arkansas,Cross,2014-11-17 15:45:00,1.5,1079,1079,1079.0
5041,Arkansas,Desha,2014-11-11 22:00:00,4.5,665,666,665.1111111111111
5041,Arkansas,Desha,2014-11-29 22:00:00,5.5,961,1413,1314.5
5045,Arkansas,Faulkner,2014-11-29 18:45:00,3.5,287,420,395.07142857142856
5051,Arkansas,Garland,2014-11-05 03:00:00,8.5,417,539,454.8235294117647
5051,Arkansas,Garland,2014-11-16 22:30:00,1.0,657,657,657.0
5051,Arkansas,Garland,2014-11-19 15:30:00,1.0,593,594,593.75
5051,Arkansas,Garland,2014-11-19 17:45:00,0.5,206,208,207.0
5051,Arkansas,Garland,2014-11-21 14:45:00,0.5,202,202,202.0
5051,Arkansas,Garland,2014-11-24 06:15:00,0.75,279,293,287.3333333333333
5051,Arkansas,Garland,2014-11-30 22:30:00,0.75,1867,1868,1867.3333333333333
5051,Arkansas,Garland,2014-12-06 13:00:00,0.5,1206,1206,1206.0
5051,Arkansas,Garland,2014-12-13 16:30:00,2.25,2168,2190,2184.0
5051,Arkansas,Garland,2014-12-15 17:30:00,0.75,1233,5585,4132.666666666667
5051,Arkansas,Garland,2014-12-22 17:00:00,0.25,1070,1070,1070.0
5051,Arkansas,Garland,2014-12-25 15:00:00,6.0,732,1041,954.875
5051,Arkansas,Garland,2014-12-27 10:45:00,7.0,267,281,271.39285714285717
5051,Arkansas,Garland,2014-12-28 03:45:00,3.25,450,664,592.6153846153846
5053,Arkansas,Grant,2014-11-02 04:00:00,0.25,805,805,805.0
5053,Arkansas,Grant,2014-11-02 05:15:00,2.75,805,805,805.0
5057,Arkansas,Hempstead,2014-11-23 10:30:00,0.25,460,460,460.0
5057,Arkansas,Hempstead,2014-11-23 11:00:00,0.25,462,462,462.0
5057,Arkansas,Hempstead,2014-11-23 11:30:00,0.25,460,460,460.0
5057,Arkansas,Hempstead,2014-11-23 12:30:00,0.25,460,460,460.0
5057,Arkansas,Hempstead,2014-11-23 13:00:00,0.25,460,460,460.0
5057,Arkansas,Hempstead,2014-11-23 14:15:00,2.5,341,341,341.0
5057,Arkansas,Hempstead,2014-12-13 17:45:00,3.25,342,342,342.0
5057,Arkansas,Hempstead,2014-12-15 14:15:00,0.25,460,460,460.0
5059,Arkansas,Hot Spring,2014-11-21 05:15:00,0.25,1355,1355,1355.0
5059,Arkansas,Hot Spring,2014-12-12 17:15:00,0.75,743,743,743.0
5059,Arkansas,Hot Spring,2014-12-14 10:30:00,0.25,518,518,518.0
5059,Arkansas,Hot Spring,2014-12-15 19:15:00,3.25,516,522,516.8461538461538
5059,Arkansas,Hot Spring,2014-12-17 03:45:00,3.0,256,256,256.0
5059,Arkansas,Hot Spring,2014-12-17 07:00:00,5.25,256,256,256.0
5059,Arkansas,Hot Spring,2014-12-23 18:00:00,0.25,1354,1354,1354.0
5059,Arkansas,Hot Spring,2014-12-25 15:00:00,6.0,293,295,293.0833333333333
5059,Arkansas,Hot Spring,2014-12-27 10:45:00,7.0,298,298,298.0
5061,Arkansas,Howard,2014-11-23 10:30:00,0.25,519,519,519.0
5061,Arkansas,Howard,2014-11-23 11:00:00,0.25,523,523,523.0
5061,Arkansas,Howard,2014-11-23 11:30:00,0.25,519,519,519.0
5061,Arkansas,Howard,2014-11-23 12:30:00,0.25,519,519,519.0
5061,Arkansas,Howard,2014-11-23 13:00:00,0.25,519,519,519.0
5061,Arkansas,Howard,2014-12-15 14:15:00,0.25,519,519,519.0
5063,Arkansas,Independence,2014-12-07 03:00:00,3.75,291,313,295.4
5063,Arkansas,Independence,2014-12-29 23:45:00,0.25,330,330,330.0
5063,Arkansas,Independence,2014-12-30 01:15:00,1.0,324,324,324.0
5065,Arkansas,Izard,2014-12-21 13:30:00,0.5,588,588,588.0
5069,Arkansas,Jefferson,2014-11-23 14:45:00,0.5,252,252,252.0
5069,Arkansas,Jefferson,2014-11-23 22:45:00,4.0,1210,1255,1213.9375
5069,Arkansas,Jefferson,2014-11-25 18:15:00,1.25,252,256,254.0
5069,Arkansas,Jefferson,2014-11-30 03:00:00,0.5,659,659,659.0
5069,Arkansas,Jefferson,2014-12-23 21:45:00,1.75,413,477,423.7142857142857
5075,Arkansas,Lawrence,2014-11-03 19:00:00,3.0,801,1466,970.5833333333334
5075,Arkansas,Lawrence,2014-11-08 14:15:00,0.25,539,539,539.0
5075,Arkansas,Lawrence,2014-12-19 15:15:00,0.5,289,289,289.0
5075,Arkansas,Lawrence,2014-12-20 21:15:00,3.0,288,1453,773.4166666666666
5075,Arkansas,Lawrence,2014-12-21 13:00:00,1.75,288,288,288.0
5085,Arkansas,Lonoke,2014-12-10 14:15:00,1.5,255,256,255.83333333333334
5085,Arkansas,Lonoke,2014-12-16 05:30:00,0.5,1173,1173,1173.0
5093,Arkansas,Mississippi,2014-11-19 16:00:00,2.25,460,460,460.0
5093,Arkansas,Mississippi,2014-11-24 09:30:00,0.75,301,301,301.0
5093,Arkansas,Mississippi,2014-12-18 16:15:00,2.25,243,243,243.0
5095,Arkansas,Monroe,2014-12-09 11:45:00,0.25,449,449,449.0
5097,Arkansas,Montgomery,2014-11-05 14:00:00,1.0,344,344,344.0
5097,Arkansas,Montgomery,2014-11-15 21:45:00,4.25,776,1084,810.4117647058823
5097,Arkansas,Montgomery,2014-11-29 17:00:00,1.25,1853,1853,1853.0
5097,Arkansas,Montgomery,2014-12-17 03:30:00,3.25,255,1354,1269.4615384615386
5097,Arkansas,Montgomery,2014-12-17 07:00:00,6.0,452,1354,1228.7916666666667
5099,Arkansas,Nevada,2014-11-17 16:30:00,0.25,656,656,656.0
5103,Arkansas,Ouachita,2014-12-15 16:30:00,2.25,214,229,221.11111111111111
5107,Arkansas,Phillips,2014-11-18 17:00:00,1.0,330,332,331.5
5109,Arkansas,Pike,2014-11-13 21:00:00,1.5,470,471,470.3333333333333
5109,Arkansas,Pike,2014-12-17 03:30:00,3.25,660,1533,1465.8461538461538
5109,Arkansas,Pike,2014-12-17 07:00:00,6.0,957,1533,1461.0
5111,Arkansas,Poinsett,2014-12-15 12:45:00,0.25,1092,1092,1092.0
5113,Arkansas,Polk,2014-11-04 14:00:00,0.75,254,465,394.6666666666667
5115,Arkansas,Pope,2014-11-06 13:30:00,0.75,506,506,506.0
5115,Arkansas,Pope,2014-11-09 13:45:00,0.5,425,425,425.0
5115,Arkansas,Pope,2014-11-14 07:00:00,3.25,1210,1808,1256.0
5115,Arkansas,Pope,2014-11-14 10:30:00,0.5,293,293,293.0
5115,Arkansas,Pope,2014-12-18 04:30:00,1.25,758,1773,1567.2
5117,Arkansas,Prairie,2014-12-02 16:30:00,4.0,393,394,393.9375
5117,Arkansas,Prairie,2014-12-03 17:15:00,6.75,1017,1749,1207.0
