state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2018,0,4361,161.25,10377495.25
Alabama,2018,1,219,9.75,178703.5
Alabama,2018,2,97,101.0,137461.25
Alabama,2018,3,299,68.0,530617.0
Alabama,2018,4,367,22.25,565984.5
Alabama,2018,5,489,23.75,772680.25
Alabama,2018,6,637,28.25,2771172.5
Alabama,2018,7,535,20.25,474484.0
Alabama,2018,8,457,12.25,411116.0
Alabama,2018,9,354,27.75,705397.5
Alabama,2018,10,277,161.25,2544783.5
Alabama,2018,11,332,9.75,297901.5
Alabama,2018,12,298,56.0,987193.75
Alaska,2018,0,492,46.0,1419569.75
Alaska,2018,1,49,18.5,106808.75
Alaska,2018,2,46,41.75,190070.25
Alaska,2018,3,31,46.0,36901.0
Alaska,2018,4,26,16.25,191576.5
Alaska,2018,5,27,14.75,56297.0
Alaska,2018,6,26,7.5,27651.75
Alaska,2018,7,29,6.5,67686.75
Alaska,2018,8,53,20.5,103913.5
Alaska,2018,9,29,9.5,84037.5
Alaska,2018,10,69,18.75,245699.0
Alaska,2018,11,31,14.25,147672.75
Alaska,2018,12,76,13.75,161255.0
Arizona,2018,0,1585,153.0,5467807.75
Arizona,2018,1,102,9.25,118115.25
Arizona,2018,2,66,13.75,129309.25
Arizona,2018,3,83,153.0,233167.0
Arizona,2018,4,131,74.25,312599.75
Arizona,2018,5,138,25.5,281815.75
Arizona,2018,6,159,58.25,474136.5
Arizona,2018,7,231,19.0,1692841.0
Arizona,2018,8,202,22.5,1175153.75
Arizona,2018,9,129,32.5,214491.25
Arizona,2018,10,176,30.0,418878.5
Arizona,2018,11,90,27.25,247822.0
Arizona,2018,12,78,25.0,169477.75
Arkansas,2018,0,2081,72.75,5885007.25
Arkansas,2018,1,195,8.5,230241.5
Arkansas,2018,2,131,25.0,192114.75
Arkansas,2018,3,138,11.75,161906.25
Arkansas,2018,4,150,42.25,392881.25
Arkansas,2018,5,190,30.75,409914.5
Arkansas,2018,6,234,72.75,898317.5
Arkansas,2018,7,253,49.25,1970075.75
Arkansas,2018,8,252,68.5,528041.0
Arkansas,2018,9,130,15.0,153196.75
Arkansas,2018,10,123,14.25,207929.0
Arkansas,2018,11,128,10.75,179029.25
Arkansas,2018,12,157,38.25,561359.75
California,2018,0,9512,244.0,53215419.25
California,2018,1,525,67.0,2153168.75
California,2018,2,459,27.25,1693922.5
California,2018,3,642,47.25,2004368.75
California,2018,4,588,63.0,2105943.5
California,2018,5,591,35.25,1777819.75
California,2018,6,1144,67.0,3019275.0
California,2018,7,1186,61.0,5690344.5
California,2018,8,941,244.0,3847910.0
California,2018,9,858,78.0,2788147.5
California,2018,10,910,108.5,6377446.75
California,2018,11,829,209.75,15973796.0
California,2018,12,839,171.5,5783276.25
Colorado,2018,0,1767,42.25,3482745.75
Colorado,2018,1,102,10.75,90205.5
Colorado,2018,2,104,15.5,141061.25
Colorado,2018,3,145,27.0,284812.75
Colorado,2018,4,158,42.25,727421.0
Colorado,2018,5,148,16.5,207832.5
Colorado,2018,6,220,23.75,414437.5
Colorado,2018,7,243,25.0,529246.0
Colorado,2018,8,156,15.75,268580.0
Colorado,2018,9,123,14.5,204604.25
Colorado,2018,10,150,13.5,266794.25
Colorado,2018,11,130,8.75,254219.75
Colorado,2018,12,88,10.75,93531.0
Connecticut,2018,0,1379,154.75,11892473.75
Connecticut,2018,1,100,6.25,70862.0
Connecticut,2018,2,58,13.25,153586.0
Connecticut,2018,3,100,110.25,7333381.5
Connecticut,2018,4,97,9.5,83376.0
Connecticut,2018,5,108,154.75,3010773.5
Connecticut,2018,6,147,7.75,152293.5
Connecticut,2018,7,161,13.75,202095.75
Connecticut,2018,8,152,15.5,196235.0
Connecticut,2018,9,123,21.5,245978.25
Connecticut,2018,10,137,21.0,185778.0
Connecticut,2018,11,102,12.0,120866.25
Connecticut,2018,12,94,16.0,137248.0
Delaware,2018,0,316,81.5,1037140.5
Delaware,2018,1,45,5.0,45005.5
Delaware,2018,2,11,2.75,9583.25
Delaware,2018,3,36,81.5,721968.25
Delaware,2018,4,14,6.5,22199.75
Delaware,2018,5,35,5.75,45754.5
Delaware,2018,6,21,4.25,21370.0
Delaware,2018,7,35,11.0,41553.5
Delaware,2018,8,44,12.0,33829.25
Delaware,2018,9,22,6.75,23067.25
Delaware,2018,10,16,9.25,15322.0
Delaware,2018,11,20,9.0,38124.75
Delaware,2018,12,17,11.25,19362.5
District of Columbia,2018,0,321,89.0,1436950.5
District of Columbia,2018,1,25,8.5,30876.0
District of Columbia,2018,2,21,3.5,9821.75
District of Columbia,2018,3,20,89.0,1073136.25
District of Columbia,2018,4,15,6.25,14574.0
District of Columbia,2018,5,42,6.25,37952.25
District of Columbia,2018,6,21,4.5,18607.25
District of Columbia,2018,7,40,10.75,81092.0
District of Columbia,2018,8,35,31.25,73065.0
District of Columbia,2018,9,37,8.25,38104.0
District of Columbia,2018,10,29,9.25,24171.0
District of Columbia,2018,11,22,7.25,17286.75
District of Columbia,2018,12,14,6.0,18264.25
Florida,2018,0,12120,532.75,56242509.25
Florida,2018,1,1103,13.5,1364369.25
Florida,2018,2,553,29.25,553881.25
Florida,2018,3,729,15.75,864195.0
Florida,2018,4,891,186.0,1407815.25
Florida,2018,5,1158,31.5,1327441.0
Florida,2018,6,1312,30.25,1699622.0
Florida,2018,7,1328,21.0,1814930.5
Florida,2018,8,1329,22.5,1742035.75
Florida,2018,9,1062,90.5,1389857.0
Florida,2018,10,891,532.75,41679423.5
Florida,2018,11,891,25.75,984862.75
Florida,2018,12,873,35.75,1414076.0
Georgia,2018,0,6260,269.75,20625028.75
Georgia,2018,1,428,10.0,692688.0
Georgia,2018,2,256,8.5,189494.25
Georgia,2018,3,430,29.0,665246.75
Georgia,2018,4,347,21.25,525139.25
Georgia,2018,5,552,13.5,478866.75
Georgia,2018,6,920,35.5,1530286.25
Georgia,2018,7,721,44.75,1648498.5
Georgia,2018,8,727,21.25,811574.0
Georgia,2018,9,471,10.5,451384.25
