"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-17 00:45:00,41.75,2017-06-18 18:30:00,229,959,814.203592814371
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-18 21:00:00,21.5,2017-06-19 18:30:00,247,269,254.709302325581
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31097,"Nebraska","Johnson",2017-06-17 04:00:00,1.75,2017-06-17 05:45:00,232,377,314.857142857143
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31131,"Nebraska","Otoe",2017-06-17 03:15:00,11,2017-06-17 14:15:00,218,356,346.909090909091
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31155,"Nebraska","Saunders",2017-06-17 00:45:00,65.5,2017-06-19 18:15:00,204,2660,957.103053435114
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31177,"Nebraska","Washington",2017-06-17 00:45:00,8.25,2017-06-17 09:00:00,975,3364,2009.69696969697
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-17 00:45:00,41.75,2017-06-18 18:30:00,229,959,814.203592814371
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-18 21:00:00,21.5,2017-06-19 18:30:00,247,269,254.709302325581
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31097,"Nebraska","Johnson",2017-06-17 04:00:00,1.75,2017-06-17 05:45:00,232,377,314.857142857143
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31131,"Nebraska","Otoe",2017-06-17 03:15:00,11,2017-06-17 14:15:00,218,356,346.909090909091
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31155,"Nebraska","Saunders",2017-06-17 00:45:00,65.5,2017-06-19 18:15:00,204,2660,957.103053435114
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31177,"Nebraska","Washington",2017-06-17 00:45:00,8.25,2017-06-17 09:00:00,975,3364,2009.69696969697
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-17 00:45:00,41.75,2017-06-18 18:30:00,229,959,814.203592814371
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31053,"Nebraska","Dodge",2017-06-18 21:00:00,21.5,2017-06-19 18:30:00,247,269,254.709302325581
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31097,"Nebraska","Johnson",2017-06-17 04:00:00,1.75,2017-06-17 05:45:00,232,377,314.857142857143
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31131,"Nebraska","Otoe",2017-06-17 03:15:00,11,2017-06-17 14:15:00,218,356,346.909090909091
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31155,"Nebraska","Saunders",2017-06-17 00:45:00,65.5,2017-06-19 18:15:00,204,2660,957.103053435114
"Nebraska",2017-06-16 20:00:00,2017-06-16 20:00:00,"Severe Weather",31177,"Nebraska","Washington",2017-06-17 00:45:00,8.25,2017-06-17 09:00:00,975,3364,2009.69696969697
"Nebraska",2018-11-18 13:10:00,2018-11-18 13:10:00,"Vandalism",31025,"Nebraska","Cass",2018-11-20 07:30:00,1,2018-11-20 08:30:00,1194,1194,1194
"Nebraska",2018-11-18 13:10:00,2018-11-18 13:10:00,"Vandalism",31025,"Nebraska","Cass",2018-11-20 09:30:00,1.75,2018-11-20 11:15:00,1194,1194,1194
"Nebraska",2018-11-18 13:10:00,2018-11-18 13:10:00,"Vandalism",31025,"Nebraska","Cass",2018-11-21 07:45:00,2,2018-11-21 09:45:00,828,829,828.375
"Nebraska",2019-01-12 11:30:00,2019-01-12 11:30:00,"Severe Weather",31019,"Nebraska","Buffalo",2019-01-13 21:15:00,0.75,2019-01-13 22:00:00,666,666,666
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31053,"Nebraska","Dodge",2019-01-21 08:15:00,0.25,2019-01-21 08:30:00,1056,1056,1056
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-19 01:00:00,2.5,2019-01-19 03:30:00,507,1218,957.9
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-19 22:45:00,0.75,2019-01-19 23:30:00,440,516,468.333333333333
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-21 05:45:00,1,2019-01-21 06:45:00,1289,1290,1289.5
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-21 07:00:00,0.25,2019-01-21 07:15:00,1290,1290,1290
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-21 21:00:00,1.25,2019-01-21 22:15:00,1536,1542,1537.4
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-01-21 22:30:00,0.25,2019-01-21 22:45:00,1536,1536,1536
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31127,"Nebraska","Nemaha",2019-01-21 13:15:00,1.5,2019-01-21 14:45:00,202,235,229.5
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31131,"Nebraska","Otoe",2019-01-19 04:15:00,2.5,2019-01-19 06:45:00,330,459,424.9
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31131,"Nebraska","Otoe",2019-01-19 07:00:00,8,2019-01-19 15:00:00,306,330,313.8125
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31147,"Nebraska","Richardson",2019-01-19 10:15:00,3.75,2019-01-19 14:00:00,451,451,451
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31153,"Nebraska","Sarpy",2019-01-21 21:00:00,1.75,2019-01-21 22:45:00,241,241,241
"Nebraska",2019-01-18 21:54:00,2019-01-19 00:19:00,"Transmission Interruption",31155,"Nebraska","Saunders",2019-01-19 15:00:00,0.25,2019-01-19 15:15:00,1072,1072,1072
"Nebraska",2019-07-23 23:55:00,2019-07-23 23:56:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-07-24 16:15:00,0.5,2019-07-24 16:45:00,211,211,211
"Nebraska",2019-07-23 23:55:00,2019-07-23 23:56:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-07-26 01:30:00,1.75,2019-07-26 03:15:00,2177,2178,2177.71428571429
"Nebraska",2019-12-19 02:58:00,2019-12-19 03:46:00,"System Operations",31055,"Nebraska","Douglas",2019-12-21 15:15:00,1,2019-12-21 16:15:00,270,403,306.5
"Nebraska",2019-12-19 02:58:00,2019-12-19 03:46:00,"System Operations",31173,"Nebraska","Thurston",2019-12-19 17:00:00,1.25,2019-12-19 18:15:00,341,341,341
"Nebraska",2019-07-23 23:55:00,2019-07-24 05:22:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-07-24 16:15:00,0.5,2019-07-24 16:45:00,211,211,211
"Nebraska",2019-07-23 23:55:00,2019-07-24 05:22:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-07-26 01:30:00,1.75,2019-07-26 03:15:00,2177,2178,2177.71428571429
"Nebraska",2019-10-19 05:57:00,2019-10-19 13:58:00,"Transmission Interruption",31055,"Nebraska","Douglas",2019-10-22 02:45:00,1,2019-10-22 03:45:00,200,201,200.75
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31055,"Nebraska","Douglas",2020-08-29 04:45:00,0.75,2020-08-29 05:30:00,898,900,899
"Nebraska",2020-08-27 12:29:00,2020-08-27 12:59:00,"System Operations",31109,"Nebraska","Lancaster",2020-08-29 20:45:00,1,2020-08-29 21:45:00,212,212,212
