"state_event","datetime_event_began","datetime_restoration","event_type","fips","state","county","start_time","duration","end_time","min_customers","max_customers","mean_customers"
"South Dakota",2019-10-19 05:57:00,2019-10-19 13:58:00,"Transmission Interruption",46047,"South Dakota","Fall River",2019-10-21 00:15:00,0.25,2019-10-21 00:30:00,481,481,481
"South Dakota",2019-10-19 05:57:00,2019-10-19 13:58:00,"Transmission Interruption",46081,"South Dakota","Lawrence",2019-10-21 17:45:00,0.25,2019-10-21 18:00:00,1238,1238,1238
"South Dakota",2019-06-05 10:16:00,2019-06-05 10:17:00,"Vandalism",46099,"South Dakota","Minnehaha",2019-06-06 19:45:00,0.25,2019-06-06 20:00:00,246,246,246
"South Dakota",2019-06-05 10:16:00,2019-06-05 10:17:00,"Vandalism",46125,"South Dakota","Turner",2019-06-07 17:00:00,0.75,2019-06-07 17:45:00,211,215,213.666666666667
"South Dakota",2020-01-27 14:10:00,2020-01-27 18:58:00,"System Operations",46101,"South Dakota","Moody",2020-01-30 17:15:00,1,2020-01-30 18:15:00,203,463,376.5
"South Dakota",2020-02-26 11:29:00,2020-02-26 12:14:00,"System Operations",46083,"South Dakota","Lincoln",2020-02-27 23:00:00,1.25,2020-02-28 00:15:00,1294,1296,1294.6
"South Dakota",2020-02-26 11:29:00,2020-02-26 12:14:00,"System Operations",46099,"South Dakota","Minnehaha",2020-02-26 19:00:00,29.5,2020-02-28 00:30:00,516,897,532.64406779661
"South Dakota",2020-02-26 11:29:00,2020-02-26 12:14:00,"System Operations",46099,"South Dakota","Minnehaha",2020-02-28 00:45:00,14.75,2020-02-28 15:30:00,514,3443,567.271186440678
"South Dakota",2020-02-26 11:29:00,2020-02-26 12:14:00,"System Operations",46103,"South Dakota","Pennington",2020-02-27 16:00:00,0.75,2020-02-27 16:45:00,551,551,551
"South Dakota",2020-02-26 11:29:00,2020-02-26 12:14:00,"System Operations",46105,"South Dakota","Perkins",2020-02-28 17:15:00,0.5,2020-02-28 17:45:00,369,369,369
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46013,"South Dakota","Brown",2020-09-16 18:45:00,2,2020-09-16 20:45:00,1059,3190,2853.875
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46017,"South Dakota","Buffalo",2020-09-16 14:30:00,3,2020-09-16 17:30:00,633,633,633
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46037,"South Dakota","Day",2020-09-16 11:00:00,0.25,2020-09-16 11:15:00,571,571,571
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46039,"South Dakota","Deuel",2020-09-16 21:00:00,0.5,2020-09-16 21:30:00,209,209,209
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46103,"South Dakota","Pennington",2020-09-16 00:15:00,0.75,2020-09-16 01:00:00,253,257,255.666666666667
"South Dakota",2020-09-15 15:04:00,2020-09-15 15:37:00,"System Operations",46103,"South Dakota","Pennington",2020-09-16 14:30:00,0.25,2020-09-16 14:45:00,789,789,789
"South Dakota",2020-04-20 12:42:00,2020-04-20 13:27:00,"Vandalism",46049,"South Dakota","Faulk",2020-04-22 14:00:00,2.25,2020-04-22 16:15:00,357,793,615.555555555556
"South Dakota",2020-04-20 12:42:00,2020-04-20 13:27:00,"Vandalism",46075,"South Dakota","Jones",2020-04-20 23:45:00,2.25,2020-04-21 02:00:00,211,415,234
"South Dakota",2020-04-20 12:42:00,2020-04-20 13:27:00,"Vandalism",46115,"South Dakota","Spink",2020-04-22 14:00:00,2.5,2020-04-22 16:30:00,920,2219,2011
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46005,"South Dakota","Beadle",2021-02-16 15:30:00,2,2021-02-16 17:30:00,2255,2256,2255.25
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46013,"South Dakota","Brown",2021-02-16 14:30:00,3,2021-02-16 17:30:00,1155,3279,2186
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46023,"South Dakota","Charles Mix",2021-02-16 15:00:00,2.75,2021-02-16 17:45:00,1464,1464,1464
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46035,"South Dakota","Davison",2021-02-16 14:30:00,1,2021-02-16 15:30:00,223,223,223
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46043,"South Dakota","Douglas",2021-02-16 15:00:00,2.25,2021-02-16 17:15:00,634,634,634
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46081,"South Dakota","Lawrence",2021-02-15 15:30:00,0.25,2021-02-15 15:45:00,203,203,203
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46085,"South Dakota","Lyman",2021-02-16 13:15:00,1.25,2021-02-16 14:30:00,710,1034,774.8
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46099,"South Dakota","Minnehaha",2021-02-16 13:45:00,2.75,2021-02-16 16:30:00,1665,7033,5666.18181818182
"South Dakota",2021-02-14 20:00:00,2021-02-18 09:28:00,"Severe Weather",46125,"South Dakota","Turner",2021-02-16 13:45:00,0.25,2021-02-16 14:00:00,203,203,203
"South Dakota",2021-06-11 03:26:00,2021-06-11 03:48:00,"Severe Weather/Transmission Interruption",46035,"South Dakota","Davison",2021-06-11 11:15:00,0.25,2021-06-11 11:30:00,735,735,735
"South Dakota",2021-06-11 03:26:00,2021-06-11 03:48:00,"Severe Weather/Transmission Interruption",46035,"South Dakota","Davison",2021-06-11 11:45:00,1.5,2021-06-11 13:15:00,737,737,737
"South Dakota",2021-06-11 03:26:00,2021-06-11 03:48:00,"Severe Weather/Transmission Interruption",46081,"South Dakota","Lawrence",2021-06-13 07:15:00,3.25,2021-06-13 10:30:00,214,1231,954.769230769231
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46045,"South Dakota","Edmunds",2021-02-03 22:15:00,0.25,2021-02-03 22:30:00,1188,1188,1188
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46045,"South Dakota","Edmunds",2021-02-03 23:00:00,0.25,2021-02-03 23:15:00,1167,1167,1167
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46045,"South Dakota","Edmunds",2021-02-04,4.5,2021-02-04 04:30:00,1010,1177,1147.05555555556
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46083,"South Dakota","Lincoln",2021-02-03 15:15:00,2.25,2021-02-03 17:30:00,385,456,415.888888888889
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46089,"South Dakota","McPherson",2021-02-03 22:15:00,0.25,2021-02-03 22:30:00,643,643,643
"South Dakota",2021-02-02 09:25:00,2021-02-03 11:38:00,"Severe Weather/Transmission Interruption",46089,"South Dakota","McPherson",2021-02-03 23:00:00,0.25,2021-02-03 23:15:00,582,582,582
