event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-22 19:15:00,0.25,2017-01-22 19:30:00,259.0,259.0,259.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-22 20:00:00,3.5,2017-01-22 23:30:00,213.0,1175.0,387.35714285714283
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-23 02:00:00,0.25,2017-01-23 02:15:00,269.0,269.0,269.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-23 03:15:00,0.25,2017-01-23 03:30:00,254.0,254.0,254.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1003,Alabama,Baldwin,2017-01-22 17:30:00,0.5,2017-01-22 18:00:00,1116.0,1169.0,1142.5
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1013,Alabama,Butler,2017-01-22 18:15:00,7.25,2017-01-23 01:30:00,214.0,1262.0,455.7931034482759
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1021,Alabama,Chilton,2017-01-23 16:00:00,5.75,2017-01-23 21:45:00,357.0,1031.0,532.304347826087
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1035,Alabama,Conecuh,2017-01-22 18:45:00,0.25,2017-01-22 19:00:00,204.0,204.0,204.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1037,Alabama,Coosa,2017-01-22 20:00:00,4.0,2017-01-23 00:00:00,273.0,1067.0,569.375
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1047,Alabama,Dallas,2017-01-22 18:30:00,1.25,2017-01-22 19:45:00,344.0,420.0,386.4
